ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-0038f6d3,0.336000,0.320000,0.136000,0.136000,0.072000,2.470588,3.076923,1.888889,1.888889,1.285714
sub-0065c4e7,0.160000,0.184000,0.272000,0.248000,0.136000,2.000000,2.090909,2.000000,2.066667,1.545455
sub-00a5f155,0.168000,0.200000,0.160000,0.200000,0.272000,1.909091,1.666667,2.000000,2.272727,2.428571
sub-0103fd3b,0.368000,0.384000,0.024000,0.088000,0.136000,3.285714,3.428571,1.000000,1.222222,1.545455
sub-017bc66c,0.288000,0.320000,0.152000,0.184000,0.056000,2.400000,2.352941,1.727273,2.555556,1.166667
sub-0223ca30,0.344000,0.272000,0.200000,0.144000,0.040000,3.583333,3.400000,1.923077,2.250000,1.250000
sub-0262fb07,0.296000,0.240000,0.192000,0.168000,0.104000,2.846154,2.500000,2.181818,1.909091,1.444444
sub-028396a2,0.208000,0.200000,0.200000,0.176000,0.216000,1.857143,1.923077,2.272727,1.833333,1.928571
sub-02e70592,0.320000,0.336000,0.120000,0.152000,0.072000,3.636364,4.200000,1.363636,1.727273,1.500000
sub-030862f3,0.224000,0.192000,0.288000,0.200000,0.096000,1.647059,1.600000,2.000000,2.500000,2.000000
sub-030a2f21,0.336000,0.352000,0.136000,0.072000,0.104000,3.500000,2.933333,1.545455,1.500000,1.625000
sub-0312aa2f,0.360000,0.280000,0.088000,0.136000,0.136000,2.647059,2.916667,1.222222,1.545455,1.700000
sub-032bc148,0.080000,0.072000,0.368000,0.376000,0.104000,1.666667,1.800000,3.285714,2.473684,1.625000
sub-037ebdea,0.248000,0.168000,0.240000,0.248000,0.096000,1.823529,2.333333,2.142857,2.583333,2.000000
sub-03b4fac2,0.104000,0.080000,0.336000,0.360000,0.120000,1.181818,1.250000,2.625000,3.000000,1.500000
sub-03d5f6b2,0.224000,0.168000,0.208000,0.176000,0.224000,2.000000,1.750000,1.857143,1.833333,2.545455
sub-03dbb3ef,0.112000,0.144000,0.232000,0.272000,0.240000,1.750000,1.500000,2.636364,2.833333,2.307692
sub-0424f0cc,0.248000,0.240000,0.216000,0.208000,0.088000,2.583333,2.000000,2.454545,2.363636,1.375000
sub-0431abda,0.264000,0.264000,0.144000,0.184000,0.144000,2.062500,2.200000,1.285714,2.555556,1.636364
sub-044c81a4,0.248000,0.248000,0.160000,0.144000,0.200000,2.066667,2.384615,1.818182,1.500000,1.923077
sub-04d422d4,0.272000,0.296000,0.136000,0.128000,0.168000,2.428571,2.846154,1.700000,1.333333,1.750000
sub-05804543,0.336000,0.296000,0.080000,0.144000,0.144000,2.625000,2.642857,1.666667,1.636364,1.800000
sub-05b68380,0.368000,0.384000,0.088000,0.056000,0.104000,2.705882,3.200000,1.100000,1.166667,1.444444
sub-05c8148a,0.304000,0.312000,0.088000,0.104000,0.192000,2.533333,2.437500,1.571429,1.300000,1.600000
sub-05da9db8,0.072000,0.064000,0.376000,0.200000,0.288000,1.500000,1.600000,3.133333,2.777778,2.250000
sub-0618a7a8,0.200000,0.128000,0.256000,0.304000,0.112000,1.666667,1.777778,2.133333,2.533333,1.555556
sub-0619f332,0.248000,0.248000,0.096000,0.168000,0.240000,2.583333,2.214286,1.500000,1.909091,2.142857
sub-062a3828,0.248000,0.240000,0.160000,0.200000,0.152000,1.937500,2.307692,2.222222,1.785714,1.727273
sub-063189b9,0.208000,0.152000,0.256000,0.216000,0.168000,2.166667,2.111111,2.666667,2.250000,1.615385
sub-0640fc90,0.112000,0.136000,0.288000,0.248000,0.216000,1.750000,1.700000,2.400000,2.214286,2.700000
sub-0647d024,0.264000,0.240000,0.168000,0.176000,0.152000,1.941176,3.000000,1.750000,1.833333,2.375000
