ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-0038f6d3,0.352000,0.264000,0.168000,0.136000,0.080000,2.588235,2.062500,1.400000,1.545455,1.111111
sub-0065c4e7,0.176000,0.248000,0.248000,0.152000,0.176000,2.200000,2.583333,2.214286,1.461538,1.692308
sub-00a5f155,0.208000,0.224000,0.152000,0.208000,0.208000,1.857143,1.866667,1.900000,1.733333,1.857143
sub-0103fd3b,0.288000,0.264000,0.136000,0.128000,0.184000,1.894737,1.941176,1.545455,1.333333,1.769231
sub-017bc66c,0.376000,0.368000,0.072000,0.120000,0.064000,2.473684,3.066667,1.285714,1.153846,1.333333
sub-0223ca30,0.320000,0.296000,0.112000,0.104000,0.168000,2.222222,2.055556,1.272727,1.444444,1.615385
sub-0262fb07,0.360000,0.320000,0.096000,0.112000,0.112000,2.368421,2.666667,1.500000,1.400000,1.272727
sub-028396a2,0.240000,0.288000,0.176000,0.144000,0.152000,1.764706,1.894737,1.466667,1.500000,1.461538
sub-02e70592,0.264000,0.232000,0.200000,0.208000,0.096000,1.736842,1.933333,1.666667,1.625000,1.333333
sub-030862f3,0.248000,0.312000,0.200000,0.096000,0.144000,1.937500,2.052632,1.562500,1.200000,1.384615
sub-030a2f21,0.240000,0.272000,0.128000,0.152000,0.208000,2.000000,2.428571,1.777778,1.461538,1.857143
sub-0312aa2f,0.240000,0.192000,0.176000,0.208000,0.184000,1.666667,1.714286,1.571429,1.733333,1.533333
sub-032bc148,0.184000,0.096000,0.352000,0.184000,0.184000,1.533333,1.714286,2.444444,1.642857,1.916667
sub-037ebdea,0.160000,0.136000,0.224000,0.240000,0.240000,1.428571,1.307692,1.750000,2.000000,1.578947
sub-03b4fac2,0.064000,0.056000,0.344000,0.352000,0.184000,1.333333,1.400000,1.954545,2.200000,1.533333
sub-03d5f6b2,0.144000,0.160000,0.280000,0.216000,0.200000,1.500000,1.538462,2.500000,1.421053,1.315789
sub-03dbb3ef,0.176000,0.176000,0.208000,0.208000,0.232000,1.466667,1.833333,1.857143,1.857143,1.611111
sub-0424f0cc,0.280000,0.208000,0.192000,0.160000,0.160000,2.187500,1.529412,1.600000,1.428571,1.428571
sub-0431abda,0.296000,0.272000,0.144000,0.128000,0.160000,2.312500,1.888889,1.800000,1.333333,1.818182
sub-044c81a4,0.200000,0.208000,0.224000,0.208000,0.160000,1.785714,1.529412,2.000000,1.857143,1.333333
sub-04d422d4,0.288000,0.280000,0.184000,0.104000,0.144000,2.400000,2.187500,1.533333,1.444444,1.500000
sub-05804543,0.376000,0.376000,0.032000,0.112000,0.104000,2.611111,2.473684,1.000000,1.272727,1.083333
sub-05b68380,0.208000,0.256000,0.088000,0.160000,0.288000,1.733333,2.000000,1.222222,1.818182,2.250000
sub-05c8148a,0.312000,0.288000,0.056000,0.168000,0.176000,2.052632,1.894737,1.166667,1.500000,1.571429
sub-05da9db8,0.152000,0.112000,0.320000,0.184000,0.232000,1.900000,1.555556,2.222222,1.437500,1.812500
sub-0618a7a8,0.192000,0.120000,0.216000,0.344000,0.128000,1.714286,1.250000,1.928571,2.388889,1.333333
sub-0619f332,0.184000,0.176000,0.160000,0.248000,0.232000,1.437500,1.833333,1.538462,1.722222,2.071429
sub-062a3828,0.184000,0.168000,0.256000,0.272000,0.120000,1.769231,2.100000,2.461538,2.833333,1.500000
sub-063189b9,0.216000,0.256000,0.192000,0.120000,0.216000,2.076923,1.684211,1.846154,1.363636,1.800000
sub-0640fc90,0.120000,0.032000,0.256000,0.320000,0.272000,1.666667,1.333333,2.000000,1.739130,2.125000
sub-0647d024,0.184000,0.152000,0.248000,0.208000,0.208000,1.642857,1.461538,2.384615,1.857143,1.733333
sub-0677b0ae,0.232000,0.248000,0.112000,0.232000,0.176000,1.812500,2.066667,1.555556,1.705882,1.692308
sub-073db40d,0.136000,0.176000,0.272000,0.232000,0.184000,2.125000,1.692308,2.266667,1.933333,1.642857
sub-074c7ae0,0.336000,0.296000,0.120000,0.160000,0.088000,2.470588,2.055556,1.363636,1.538462,1.100000
sub-075ba38c,0.200000,0.216000,0.184000,0.160000,0.240000,1.785714,1.687500,1.437500,1.818182,1.764706
sub-078d0115,0.248000,0.216000,0.160000,0.104000,0.272000,1.823529,1.687500,2.000000,1.444444,2.000000
sub-079ad0b1,0.288000,0.240000,0.152000,0.144000,0.176000,2.571429,1.764706,1.727273,1.384615,1.571429
sub-08bdadc8,0.184000,0.248000,0.144000,0.176000,0.248000,1.916667,1.937500,1.384615,1.571429,1.823529
sub-08d4a49b,0.296000,0.264000,0.168000,0.088000,0.184000,2.176471,1.941176,1.750000,1.222222,1.642857
sub-08fc6819,0.280000,0.272000,0.200000,0.072000,0.176000,2.187500,2.266667,1.666667,1.285714,1.571429
sub-09378b74,0.256000,0.240000,0.136000,0.176000,0.192000,2.000000,1.875000,1.545455,1.692308,1.714286
sub-09927d73,0.144000,0.152000,0.280000,0.160000,0.264000,1.285714,1.357143,1.842105,1.538462,2.357143
sub-09ff79ff,0.360000,0.336000,0.144000,0.096000,0.064000,2.368421,2.100000,1.125000,1.333333,1.000000
sub-0a249e33,0.344000,0.296000,0.120000,0.088000,0.152000,1.791667,2.055556,1.363636,1.222222,1.357143
sub-0aa36d72,0.248000,0.192000,0.296000,0.160000,0.104000,2.583333,2.000000,2.055556,1.666667,1.625000
sub-0ab8eedd,0.208000,0.200000,0.208000,0.144000,0.240000,2.000000,1.666667,1.857143,1.384615,2.000000
sub-0abfcc01,0.328000,0.304000,0.096000,0.128000,0.144000,2.050000,2.000000,1.333333,1.333333,1.500000
sub-0b35d330,0.232000,0.240000,0.120000,0.248000,0.160000,1.705882,2.000000,1.250000,1.823529,1.538462
sub-0b6e882e,0.168000,0.088000,0.248000,0.200000,0.296000,1.500000,1.100000,1.722222,1.470588,2.312500
sub-0bb849b5,0.112000,0.136000,0.200000,0.280000,0.272000,1.400000,1.307692,2.272727,2.187500,2.266667
sub-0bd59c4e,0.352000,0.320000,0.128000,0.016000,0.184000,2.588235,2.500000,1.454545,1.000000,2.090909
sub-0be9a317,0.264000,0.256000,0.136000,0.184000,0.160000,1.833333,1.684211,1.307692,1.437500,1.428571
sub-0bea5471,0.240000,0.184000,0.160000,0.192000,0.224000,1.875000,1.769231,1.538462,1.846154,1.866667
sub-0c41aed6,0.192000,0.216000,0.192000,0.160000,0.240000,1.714286,1.421053,1.714286,1.428571,1.875000
sub-0c6dd44d,0.192000,0.232000,0.200000,0.128000,0.248000,1.714286,1.933333,1.666667,1.230769,1.937500
sub-0cc78551,0.168000,0.192000,0.232000,0.200000,0.208000,1.615385,1.714286,1.933333,1.666667,1.857143
sub-0d08a585,0.120000,0.120000,0.272000,0.312000,0.176000,1.500000,1.500000,2.000000,2.437500,1.833333
sub-0d109f78,0.248000,0.288000,0.224000,0.152000,0.088000,2.066667,2.000000,1.866667,1.727273,1.100000
sub-0d4055a4,0.392000,0.360000,0.104000,0.056000,0.088000,2.333333,2.368421,1.300000,1.000000,1.222222
sub-0dd04d8d,0.248000,0.264000,0.208000,0.184000,0.096000,1.823529,2.062500,1.529412,1.916667,1.333333
sub-0e0b5c03,0.272000,0.224000,0.184000,0.096000,0.224000,2.000000,1.647059,1.437500,1.200000,2.000000
sub-0e92323e,0.240000,0.216000,0.184000,0.160000,0.200000,1.875000,2.250000,1.437500,1.428571,2.272727
sub-0ea01690,0.200000,0.168000,0.272000,0.208000,0.152000,1.785714,1.400000,2.000000,1.733333,1.900000
sub-0ef9a840,0.232000,0.272000,0.120000,0.144000,0.232000,2.071429,1.888889,1.666667,1.500000,1.812500
