ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-0065c4e7,0.229167,0.177083,0.343750,0.156250,0.093750,4.400000,2.428571,3.666667,2.500000,3.000000
sub-0223ca30,0.382979,0.063830,0.276596,0.212766,0.063830,4.500000,1.500000,3.250000,3.333333,1.500000
sub-028396a2,0.145833,0.333333,0.104167,0.354167,0.062500,1.750000,5.333333,2.500000,4.250000,3.000000
sub-030862f3,0.181818,0.295455,0.147727,0.113636,0.261364,3.200000,5.200000,2.600000,2.500000,4.600000
sub-0424f0cc,0.083333,0.100000,0.200000,0.216667,0.400000,2.500000,2.000000,3.000000,4.333333,4.800000
sub-05804543,0.214286,0.306122,0.183673,0.183673,0.112245,2.625000,3.750000,3.000000,3.600000,1.833333
sub-05b68380,0.137255,0.254902,0.078431,0.352941,0.176471,1.750000,4.333333,2.000000,4.500000,4.500000
sub-0619f332,0.252252,0.162162,0.198198,0.225225,0.162162,4.666667,2.250000,3.142857,3.125000,4.500000
sub-0677b0ae,0.305263,0.178947,0.136842,0.231579,0.147368,3.625000,2.833333,1.857143,3.142857,2.800000
sub-075ba38c,0.072727,0.236364,0.054545,0.236364,0.400000,1.333333,2.600000,1.000000,3.250000,5.500000
sub-078d0115,0.155963,0.366972,0.110092,0.229358,0.137615,2.833333,5.000000,2.400000,4.166667,3.750000
sub-079ad0b1,0.262712,0.186441,0.262712,0.110169,0.177966,4.428571,2.750000,2.818182,3.250000,3.500000
sub-08bdadc8,0.157143,0.285714,0.057143,0.271429,0.228571,1.833333,3.333333,2.000000,3.166667,4.000000
sub-08fc6819,0.346774,0.217742,0.258065,0.112903,0.064516,6.142857,3.857143,5.333333,2.333333,2.666667
sub-09ff79ff,0.218182,0.181818,0.309091,0.181818,0.109091,3.000000,2.500000,3.400000,2.500000,1.500000
sub-0aa36d72,0.359375,0.078125,0.437500,0.046875,0.078125,5.750000,2.500000,9.333333,1.500000,2.500000
sub-0ab8eedd,0.138889,0.319444,0.069444,0.277778,0.194444,2.500000,4.600000,1.666667,4.000000,3.500000
sub-0bb849b5,0.113636,0.272727,0.147727,0.352273,0.113636,2.000000,4.000000,3.250000,5.166667,2.500000
sub-0d109f78,0.213483,0.157303,0.337079,0.202247,0.089888,3.800000,2.000000,4.285714,3.600000,2.666667
sub-0d4055a4,0.133333,0.233333,0.233333,0.116667,0.283333,2.000000,2.333333,2.800000,3.500000,3.400000
sub-0ea01690,0.234043,0.255319,0.170213,0.170213,0.170213,2.750000,3.000000,4.000000,2.666667,4.000000
sub-0f6654ce,0.215909,0.181818,0.170455,0.090909,0.340909,3.166667,3.200000,1.875000,2.666667,4.285714
sub-0ffb32d2,0.313725,0.245098,0.186275,0.137255,0.117647,4.000000,4.166667,2.714286,2.800000,2.400000
sub-1000f047,0.278481,0.151899,0.227848,0.215190,0.126582,4.400000,3.000000,4.500000,2.833333,3.333333
sub-11094134,0.115385,0.384615,0.096154,0.230769,0.173077,3.000000,5.000000,2.500000,3.000000,2.250000
