ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-0065c4e7,0.395833,0.427083,0.052083,0.052083,0.072917,6.333333,5.857143,2.500000,1.250000,1.750000
sub-0223ca30,0.382979,0.531915,0.021277,0.042553,0.021277,3.600000,5.000000,1.000000,1.000000,1.000000
sub-028396a2,0.395833,0.354167,0.208333,0.020833,0.020833,4.750000,2.833333,2.500000,1.000000,1.000000
sub-030862f3,0.250000,0.397727,0.102273,0.102273,0.147727,3.142857,3.888889,2.250000,2.250000,2.166667
sub-0424f0cc,0.300000,0.616667,0.016667,0.033333,0.033333,6.000000,6.166667,1.000000,2.000000,1.000000
sub-05804543,0.163265,0.244898,0.234694,0.153061,0.204082,2.666667,3.428571,2.555556,3.000000,5.000000
sub-05b68380,0.333333,0.333333,0.176471,0.098039,0.058824,3.400000,2.833333,3.000000,1.666667,1.500000
sub-0619f332,0.378378,0.441441,0.045045,0.018018,0.117117,7.000000,6.125000,1.666667,1.000000,2.166667
sub-0677b0ae,0.389474,0.431579,0.063158,0.031579,0.084211,4.625000,8.200000,2.000000,1.500000,2.666667
sub-075ba38c,0.181818,0.254545,0.254545,0.200000,0.109091,2.500000,2.800000,2.800000,2.750000,1.500000
sub-078d0115,0.321101,0.311927,0.192661,0.165138,0.009174,4.375000,4.857143,3.000000,2.571429,1.000000
sub-079ad0b1,0.474576,0.449153,0.016949,0.025424,0.033898,8.000000,8.833333,1.000000,1.000000,4.000000
sub-08bdadc8,0.457143,0.285714,0.085714,0.114286,0.057143,8.000000,3.333333,1.500000,1.600000,2.000000
sub-08fc6819,0.120968,0.145161,0.201613,0.161290,0.370968,2.500000,3.000000,3.125000,4.000000,6.571429
sub-09ff79ff,0.109091,0.145455,0.309091,0.381818,0.054545,2.000000,2.000000,3.400000,3.500000,3.000000
sub-0aa36d72,0.359375,0.406250,0.062500,0.015625,0.156250,7.666667,6.500000,2.000000,1.000000,5.000000
