ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-0065c4e7,0.135417,0.218750,0.281250,0.156250,0.208333,2.600000,5.250000,6.750000,3.000000,2.857143
sub-0223ca30,0.063830,0.085106,0.191489,0.404255,0.255319,1.500000,1.333333,3.000000,3.166667,3.000000
sub-028396a2,0.125000,0.250000,0.270833,0.000000,0.354167,3.000000,4.000000,4.333333,NaN,4.250000
sub-030862f3,0.306818,0.215909,0.227273,0.125000,0.125000,3.857143,4.750000,2.857143,1.833333,2.200000
sub-0424f0cc,0.333333,0.266667,0.133333,0.150000,0.116667,3.333333,2.666667,1.600000,1.500000,3.500000
sub-05804543,0.346939,0.346939,0.091837,0.112245,0.102041,4.857143,5.666667,2.250000,2.200000,3.333333
sub-05b68380,0.431373,0.254902,0.137255,0.019608,0.156863,4.400000,2.600000,3.500000,1.000000,2.666667
sub-0619f332,0.171171,0.297297,0.207207,0.099099,0.225225,4.750000,4.125000,3.833333,2.200000,3.125000
sub-0677b0ae,0.200000,0.200000,0.189474,0.200000,0.210526,3.800000,3.800000,3.600000,3.166667,2.857143
sub-075ba38c,0.236364,0.054545,0.254545,0.218182,0.236364,2.166667,1.500000,3.500000,2.400000,2.600000
sub-078d0115,0.256881,0.284404,0.137615,0.174312,0.146789,4.666667,5.166667,3.750000,2.714286,4.000000
sub-079ad0b1,0.279661,0.288136,0.101695,0.152542,0.177966,4.125000,4.250000,2.000000,2.571429,3.000000
sub-08bdadc8,0.328571,0.357143,0.042857,0.114286,0.157143,3.833333,4.166667,1.500000,1.600000,5.500000
sub-08fc6819,0.258065,0.258065,0.217742,0.169355,0.096774,4.571429,4.000000,4.500000,2.333333,2.000000
sub-09ff79ff,0.254545,0.218182,0.236364,0.145455,0.145455,3.500000,12.000000,2.600000,2.666667,2.666667
sub-0aa36d72,0.187500,0.203125,0.265625,0.187500,0.156250,4.000000,4.333333,8.500000,4.000000,3.333333
