ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-0065c4e7,0.291667,0.291667,0.114583,0.125000,0.177083,4.666667,4.666667,2.200000,3.000000,3.400000
sub-0223ca30,0.021277,0.000000,0.234043,0.234043,0.510638,1.000000,NaN,2.200000,2.750000,4.000000
sub-028396a2,0.125000,0.000000,0.291667,0.375000,0.208333,2.000000,NaN,3.500000,3.000000,5.000000
sub-030862f3,0.238636,0.261364,0.113636,0.170455,0.215909,3.500000,2.875000,2.000000,3.000000,3.166667
sub-0424f0cc,0.183333,0.083333,0.366667,0.100000,0.266667,2.750000,2.500000,3.666667,3.000000,8.000000
sub-05804543,0.357143,0.295918,0.153061,0.091837,0.102041,5.833333,7.250000,3.000000,4.500000,3.333333
sub-05b68380,0.039216,0.215686,0.019608,0.411765,0.313725,2.000000,2.750000,1.000000,5.250000,8.000000
sub-0619f332,0.207207,0.126126,0.279279,0.252252,0.135135,4.600000,2.000000,3.875000,4.666667,3.750000
sub-0677b0ae,0.210526,0.315789,0.178947,0.147368,0.147368,3.333333,4.285714,2.833333,2.000000,2.333333
sub-075ba38c,0.181818,0.145455,0.345455,0.327273,0.000000,2.500000,2.000000,4.750000,3.600000,NaN
sub-078d0115,0.311927,0.321101,0.119266,0.155963,0.091743,4.857143,3.888889,2.166667,3.400000,2.000000
sub-079ad0b1,0.211864,0.161017,0.228814,0.254237,0.144068,3.571429,3.800000,4.500000,5.000000,3.400000
sub-08bdadc8,0.200000,0.214286,0.171429,0.214286,0.200000,3.500000,3.750000,3.000000,2.500000,2.800000
sub-08fc6819,0.217742,0.274194,0.185484,0.080645,0.241935,5.400000,4.857143,3.285714,2.500000,6.000000
sub-09ff79ff,0.181818,0.236364,0.309091,0.127273,0.145455,2.500000,4.333333,3.400000,1.750000,2.000000
sub-0aa36d72,0.312500,0.218750,0.156250,0.140625,0.171875,3.333333,3.500000,2.500000,3.000000,3.666667
sub-0ab8eedd,0.152778,0.138889,0.263889,0.388889,0.055556,2.750000,1.666667,2.714286,4.000000,2.000000
sub-0bb849b5,0.011364,0.045455,0.431818,0.090909,0.420455,1.000000,2.000000,4.222222,2.666667,4.625000
sub-0d109f78,0.247191,0.247191,0.235955,0.224719,0.044944,3.666667,3.142857,4.200000,2.222222,2.000000
sub-0d4055a4,0.150000,0.066667,0.333333,0.150000,0.300000,3.000000,2.000000,4.000000,1.800000,3.600000
