ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-0065c4e7,0.229167,0.229167,0.208333,0.197917,0.135417,3.666667,4.400000,3.333333,2.714286,6.500000
sub-0223ca30,0.085106,0.106383,0.234043,0.404255,0.170213,1.333333,1.250000,1.833333,4.750000,2.000000
sub-028396a2,0.291667,0.208333,0.062500,0.145833,0.291667,3.500000,5.000000,3.000000,7.000000,4.666667
sub-030862f3,0.238636,0.227273,0.159091,0.215909,0.159091,3.000000,4.000000,2.800000,2.375000,2.800000
sub-0424f0cc,0.233333,0.200000,0.150000,0.283333,0.133333,2.800000,2.000000,1.500000,3.400000,2.666667
sub-05804543,0.306122,0.336735,0.132653,0.112245,0.112245,4.285714,4.714286,2.166667,2.750000,3.666667
sub-05b68380,0.490196,0.294118,0.019608,0.098039,0.098039,5.000000,3.000000,1.000000,1.666667,1.666667
sub-0619f332,0.180180,0.216216,0.297297,0.099099,0.207207,4.000000,4.000000,4.714286,3.666667,5.750000
sub-0677b0ae,0.200000,0.178947,0.294737,0.221053,0.105263,2.714286,3.400000,4.666667,3.500000,2.000000
sub-075ba38c,0.363636,0.254545,0.054545,0.090909,0.236364,3.333333,3.500000,1.500000,1.666667,3.250000
sub-078d0115,0.302752,0.275229,0.146789,0.055046,0.220183,6.600000,4.285714,4.000000,2.000000,3.428571
sub-079ad0b1,0.110169,0.220339,0.237288,0.211864,0.220339,1.857143,2.888889,4.000000,3.125000,2.888889
sub-08bdadc8,0.257143,0.328571,0.071429,0.171429,0.171429,3.000000,3.833333,1.250000,3.000000,3.000000
sub-08fc6819,0.193548,0.250000,0.153226,0.209677,0.193548,4.800000,4.428571,3.166667,3.714286,3.000000
sub-09ff79ff,0.200000,0.236364,0.163636,0.236364,0.163636,3.666667,13.000000,3.000000,2.166667,3.000000
sub-0aa36d72,0.203125,0.187500,0.218750,0.375000,0.015625,2.600000,4.000000,2.333333,8.000000,1.000000
sub-0ab8eedd,0.222222,0.236111,0.138889,0.208333,0.194444,3.200000,2.833333,2.500000,3.000000,2.333333
sub-0bb849b5,0.159091,0.181818,0.250000,0.215909,0.193182,2.333333,4.000000,4.400000,3.166667,3.400000
sub-0d109f78,0.269663,0.168539,0.235955,0.235955,0.089888,3.428571,2.142857,3.000000,3.500000,1.333333
sub-0d4055a4,0.266667,0.233333,0.133333,0.216667,0.150000,3.200000,3.500000,1.600000,3.250000,3.000000
sub-0ea01690,0.212766,0.148936,0.170213,0.170213,0.297872,2.500000,2.333333,1.600000,2.666667,2.800000
sub-0f6654ce,0.147727,0.136364,0.215909,0.193182,0.306818,3.250000,1.500000,3.800000,2.428571,6.750000
sub-0ffb32d2,0.274510,0.323529,0.196078,0.137255,0.068627,4.666667,5.500000,3.333333,4.666667,2.333333
sub-1000f047,0.265823,0.265823,0.139241,0.151899,0.177215,3.500000,2.625000,2.200000,2.000000,2.333333
sub-11094134,0.346154,0.365385,0.115385,0.057692,0.115385,6.000000,6.333333,3.000000,1.500000,2.000000
sub-143c05b0,0.336207,0.370690,0.112069,0.034483,0.146552,5.571429,6.142857,2.166667,2.000000,2.833333
sub-14921d16,0.286957,0.226087,0.226087,0.095652,0.165217,6.600000,3.714286,4.333333,2.750000,3.166667
sub-156dd92b,0.235294,0.176471,0.176471,0.235294,0.176471,4.000000,3.600000,3.000000,4.800000,3.600000
sub-15a45610,0.360465,0.395349,0.139535,0.046512,0.058140,5.166667,4.250000,2.400000,1.333333,1.666667
sub-15bf4c30,0.152941,0.164706,0.235294,0.317647,0.129412,2.166667,2.800000,2.857143,3.857143,1.833333
sub-16f7c767,0.250000,0.150000,0.250000,0.050000,0.300000,2.000000,2.000000,2.500000,2.000000,3.000000
sub-185510a2,0.361702,0.382979,0.053191,0.106383,0.095745,6.800000,6.000000,5.000000,2.000000,1.800000
sub-18843b7b,0.162791,0.116279,0.372093,0.209302,0.139535,3.500000,1.666667,4.000000,3.000000,3.000000
sub-18dcd71e,0.308411,0.299065,0.102804,0.084112,0.205607,5.500000,5.333333,1.571429,3.000000,4.400000
sub-1a7ffbab,0.226087,0.165217,0.252174,0.191304,0.165217,3.714286,3.166667,3.222222,4.400000,4.750000
sub-1bd6ef0e,0.159091,0.227273,0.295455,0.181818,0.136364,3.500000,3.333333,4.333333,4.000000,2.000000
sub-1c9dca29,0.302752,0.256881,0.174312,0.128440,0.137615,4.125000,4.000000,3.800000,3.500000,2.142857
sub-1e805bd2,0.173077,0.173077,0.269231,0.134615,0.250000,3.000000,2.250000,2.800000,1.400000,3.250000
sub-1f989207,0.093023,0.081395,0.418605,0.290698,0.116279,2.000000,1.400000,6.000000,4.166667,2.500000
sub-1fead018,0.316667,0.450000,0.066667,0.050000,0.116667,6.333333,5.400000,1.333333,3.000000,3.500000
sub-20a17075,0.237705,0.229508,0.155738,0.114754,0.262295,7.250000,3.111111,3.800000,2.333333,5.333333
sub-20a2b1b4,0.215385,0.215385,0.246154,0.230769,0.092308,2.800000,2.000000,4.000000,2.142857,3.000000
sub-20b7485e,0.197183,0.239437,0.056338,0.169014,0.338028,2.333333,2.833333,2.000000,3.000000,3.428571
sub-20d43624,0.346939,0.265306,0.061224,0.081633,0.244898,3.400000,4.333333,1.000000,1.333333,2.400000
sub-22c762ef,0.186667,0.160000,0.253333,0.226667,0.173333,2.800000,2.400000,2.375000,3.400000,2.600000
sub-23826a62,0.373913,0.356522,0.130435,0.060870,0.078261,4.777778,6.833333,2.500000,1.750000,2.250000
sub-23ae845f,0.207921,0.257426,0.138614,0.188119,0.207921,4.200000,4.333333,2.800000,3.800000,3.500000
sub-24995e17,0.140000,0.200000,0.220000,0.320000,0.120000,2.333333,3.333333,2.200000,5.333333,2.000000
sub-24c13105,0.368421,0.315789,0.094737,0.094737,0.126316,4.375000,4.285714,1.500000,1.800000,2.000000
sub-24ed9807,0.230769,0.230769,0.184615,0.076923,0.276923,3.000000,3.000000,2.400000,2.500000,3.000000
sub-257bbec9,0.133333,0.216667,0.383333,0.066667,0.200000,2.666667,3.250000,4.600000,1.333333,2.400000
sub-28a0fdd3,0.129630,0.074074,0.314815,0.407407,0.074074,3.500000,2.000000,4.250000,4.400000,1.333333
sub-28c7360d,0.316327,0.275510,0.102041,0.183673,0.122449,5.166667,4.500000,2.000000,3.000000,3.000000
sub-29855626,0.189189,0.216216,0.175676,0.189189,0.229730,2.800000,2.285714,2.166667,3.500000,2.833333
sub-2b4ee1eb,0.336283,0.283186,0.168142,0.141593,0.070796,4.750000,5.333333,3.800000,2.285714,2.000000
sub-2ca8e629,0.272727,0.329545,0.056818,0.227273,0.113636,4.800000,4.142857,1.666667,4.000000,2.500000
sub-2e02a615,0.211111,0.255556,0.166667,0.177778,0.188889,3.166667,2.875000,2.500000,3.200000,2.833333
sub-2e2c9089,0.161765,0.323529,0.176471,0.147059,0.191176,2.750000,4.400000,4.000000,3.333333,3.250000
sub-30ab196e,0.326087,0.130435,0.043478,0.217391,0.282609,3.750000,2.000000,2.000000,3.333333,3.250000
sub-31c71fe5,0.216867,0.313253,0.132530,0.240964,0.096386,3.600000,5.200000,5.500000,4.000000,2.000000
sub-32ad6734,0.237624,0.277228,0.118812,0.059406,0.306931,4.800000,4.000000,3.000000,3.000000,5.166667
sub-33aa81b1,0.342105,0.381579,0.118421,0.052632,0.105263,4.333333,4.833333,3.000000,1.333333,2.000000
sub-3405c96d,0.550000,0.266667,0.050000,0.083333,0.050000,6.600000,4.000000,1.500000,1.000000,1.500000
sub-34458bb9,0.153846,0.109890,0.230769,0.252747,0.252747,3.500000,3.333333,5.250000,4.600000,3.833333
sub-34539ef6,0.230769,0.294872,0.153846,0.064103,0.256410,6.000000,3.833333,4.000000,2.500000,2.857143
sub-363fef83,0.242991,0.233645,0.214953,0.130841,0.177570,4.333333,5.000000,4.600000,2.800000,6.333333
sub-3948081f,0.325000,0.300000,0.150000,0.100000,0.125000,5.200000,4.800000,3.000000,2.000000,3.333333
sub-395cc66e,0.262295,0.196721,0.114754,0.180328,0.245902,2.666667,2.400000,1.750000,2.750000,2.500000
sub-39ec2b3a,0.313953,0.220930,0.232558,0.104651,0.127907,4.500000,4.750000,5.000000,3.000000,2.200000
sub-3a64891e,0.186275,0.098039,0.313725,0.303922,0.098039,2.714286,2.000000,5.333333,4.428571,2.500000
sub-3afc22be,0.273684,0.115789,0.200000,0.294737,0.115789,3.250000,2.200000,3.800000,4.666667,2.200000
sub-3c412bbf,0.281818,0.263636,0.163636,0.181818,0.109091,3.875000,4.833333,3.600000,2.857143,2.400000
sub-3c46c07f,0.180851,0.085106,0.329787,0.202128,0.202128,2.428571,1.600000,3.444444,3.800000,2.375000
sub-3e8e8f70,0.281690,0.281690,0.098592,0.197183,0.140845,2.857143,3.333333,2.333333,2.333333,2.000000
sub-3fa321e5,0.096774,0.064516,0.322581,0.370968,0.145161,1.500000,2.000000,5.000000,4.600000,2.250000
sub-3fdf00ec,0.310680,0.320388,0.097087,0.106796,0.165049,5.333333,4.714286,2.500000,2.750000,2.428571
sub-40a8af30,0.177419,0.177419,0.241935,0.209677,0.193548,3.666667,2.200000,2.500000,2.600000,2.000000
sub-40cd38aa,0.245098,0.215686,0.274510,0.205882,0.058824,3.571429,4.400000,5.600000,3.500000,2.000000
sub-4116e37f,0.450980,0.431373,0.019608,0.000000,0.098039,7.666667,7.333333,1.000000,NaN,2.500000
sub-41837856,0.421053,0.368421,0.017544,0.052632,0.140351,4.800000,4.200000,1.000000,1.500000,2.666667
sub-41c65311,0.298701,0.324675,0.012987,0.142857,0.220779,7.666667,4.166667,1.000000,3.666667,3.400000
sub-42be1b79,0.267857,0.151786,0.312500,0.250000,0.017857,4.285714,3.400000,4.375000,4.000000,1.000000
sub-42ff619b,0.306122,0.265306,0.163265,0.061224,0.204082,3.750000,2.600000,2.000000,1.000000,3.333333
sub-43687c63,0.250000,0.267241,0.189655,0.129310,0.163793,4.833333,4.428571,3.666667,2.500000,3.800000
sub-43e6771c,0.208333,0.270833,0.114583,0.114583,0.291667,3.333333,2.888889,1.833333,1.833333,3.500000
sub-4507f914,0.245763,0.254237,0.186441,0.127119,0.186441,4.142857,4.285714,3.666667,2.500000,3.666667
sub-459d2f41,0.163636,0.200000,0.145455,0.181818,0.309091,3.000000,3.666667,2.666667,3.333333,3.400000
sub-45bcc689,0.194030,0.328358,0.164179,0.164179,0.149254,2.600000,3.666667,5.500000,2.200000,2.500000
sub-45c1d1f7,0.314815,0.074074,0.277778,0.203704,0.129630,3.400000,2.000000,3.750000,2.750000,2.333333
sub-45d3f841,0.291139,0.227848,0.113924,0.126582,0.240506,3.285714,3.000000,1.285714,2.000000,3.800000
sub-477fa3ad,0.368421,0.368421,0.078947,0.144737,0.039474,4.666667,5.600000,1.200000,2.200000,1.500000
sub-481c79cc,0.173913,0.260870,0.217391,0.282609,0.065217,2.666667,4.000000,2.500000,4.333333,3.000000
sub-48aef4b5,0.175926,0.185185,0.231481,0.240741,0.166667,2.714286,2.857143,3.571429,3.250000,3.000000
sub-48b8b0e4,0.357143,0.442857,0.042857,0.057143,0.100000,6.250000,6.200000,1.000000,2.000000,1.750000
sub-4ac4cb0a,0.202381,0.119048,0.261905,0.107143,0.309524,4.250000,2.500000,3.666667,2.250000,3.714286
sub-4ac8cb38,0.261364,0.193182,0.170455,0.204545,0.170455,4.600000,2.833333,3.000000,3.600000,3.000000
sub-4b1369b2,0.271845,0.281553,0.116505,0.145631,0.184466,3.500000,4.142857,2.000000,3.000000,3.166667
sub-4cff45db,0.105263,0.078947,0.328947,0.381579,0.105263,2.666667,2.000000,4.166667,5.800000,2.666667
sub-4d7b20c6,0.227273,0.204545,0.238636,0.193182,0.136364,3.333333,3.600000,2.625000,4.250000,3.000000
sub-4ddbfa65,0.217391,0.195652,0.195652,0.326087,0.065217,3.333333,3.000000,4.500000,2.500000,1.500000
sub-4e349387,0.283333,0.333333,0.150000,0.116667,0.116667,5.666667,10.000000,2.571429,2.333333,2.333333
sub-4e6e7db0,0.164948,0.247423,0.237113,0.164948,0.185567,2.666667,6.000000,4.600000,2.285714,3.600000
sub-4fc822e3,0.145833,0.208333,0.208333,0.208333,0.229167,3.500000,2.000000,3.333333,2.500000,3.666667
sub-501a5ca8,0.076923,0.057692,0.346154,0.269231,0.250000,1.333333,3.000000,3.600000,2.333333,3.250000
sub-503252d4,0.129630,0.240741,0.185185,0.148148,0.296296,2.333333,4.333333,3.333333,4.000000,4.000000
sub-50537bb4,0.037736,0.150943,0.037736,0.339623,0.433962,1.000000,1.600000,1.000000,3.600000,3.833333
sub-50dcaf86,0.268293,0.097561,0.219512,0.097561,0.317073,3.666667,2.000000,3.000000,2.000000,6.500000
sub-512e75ea,0.240000,0.160000,0.160000,0.320000,0.120000,3.000000,2.400000,3.000000,4.800000,2.250000
sub-52aa46c0,0.355932,0.271186,0.152542,0.135593,0.084746,5.250000,5.333333,4.500000,4.000000,1.250000
sub-53072377,0.160000,0.060000,0.200000,0.380000,0.200000,2.000000,1.500000,3.333333,4.750000,3.333333
sub-554535d0,0.316239,0.333333,0.111111,0.136752,0.102564,4.625000,5.571429,2.166667,2.000000,3.000000
sub-565f562c,0.170732,0.304878,0.158537,0.182927,0.182927,3.500000,3.571429,4.333333,1.875000,3.750000
sub-56e0ac2b,0.277778,0.324074,0.129630,0.138889,0.129630,5.000000,5.000000,2.800000,3.000000,2.333333
sub-57c8968f,0.232877,0.260274,0.150685,0.232877,0.123288,5.666667,4.750000,2.750000,3.400000,3.000000
sub-583b83af,0.275000,0.325000,0.050000,0.250000,0.100000,2.750000,3.250000,2.000000,3.333333,1.333333
sub-585b8040,0.227273,0.340909,0.204545,0.125000,0.102273,4.000000,3.750000,3.600000,2.200000,1.800000
sub-5a17c30b,0.175000,0.075000,0.200000,0.225000,0.325000,2.333333,1.500000,4.000000,3.000000,3.250000
sub-5ac87eeb,0.100000,0.075000,0.408333,0.366667,0.050000,3.000000,2.250000,8.166667,7.333333,2.000000
