ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-0038f6d3,0.207207,0.180180,0.117117,0.279279,0.216216,1.642857,1.538462,1.444444,2.214286,2.000000
sub-0065c4e7,0.140496,0.338843,0.115702,0.347107,0.057851,1.214286,2.277778,1.166667,2.333333,1.000000
sub-00a5f155,0.228261,0.130435,0.239130,0.152174,0.250000,1.615385,1.714286,1.571429,1.166667,1.352941
sub-0103fd3b,0.219178,0.219178,0.123288,0.109589,0.328767,1.230769,1.142857,1.125000,1.142857,1.411765
sub-017bc66c,0.310924,0.168067,0.252101,0.176471,0.092437,2.055556,1.428571,2.000000,1.750000,1.222222
sub-0223ca30,0.245614,0.149123,0.192982,0.245614,0.166667,2.000000,1.416667,1.375000,1.750000,1.583333
sub-0262fb07,0.261682,0.196262,0.280374,0.112150,0.149533,1.555556,1.400000,1.875000,1.714286,1.600000
sub-028396a2,0.203390,0.237288,0.203390,0.245763,0.110169,1.714286,1.866667,1.714286,1.812500,1.444444
sub-02e70592,0.295918,0.163265,0.224490,0.142857,0.173469,2.071429,1.066667,1.466667,1.400000,1.307692
sub-030862f3,0.190083,0.272727,0.181818,0.247934,0.107438,1.769231,2.200000,1.571429,1.875000,1.444444
sub-030a2f21,0.196581,0.179487,0.188034,0.239316,0.196581,1.769231,1.615385,2.000000,2.153846,1.642857
sub-0312aa2f,0.227642,0.219512,0.178862,0.227642,0.146341,1.647059,1.800000,1.466667,1.750000,1.636364
sub-032bc148,0.065789,0.342105,0.184211,0.065789,0.342105,1.000000,1.529412,1.272727,1.000000,2.166667
sub-037ebdea,0.189655,0.241379,0.120690,0.310345,0.137931,1.100000,1.076923,1.000000,1.125000,1.000000
sub-03b4fac2,0.203704,0.370370,0.055556,0.314815,0.055556,1.100000,1.333333,1.000000,1.062500,1.000000
sub-03d5f6b2,0.189655,0.284483,0.198276,0.215517,0.112069,1.466667,1.736842,1.437500,1.470588,1.444444
sub-03dbb3ef,0.230769,0.288462,0.115385,0.192308,0.173077,1.000000,1.153846,1.000000,1.250000,1.000000
sub-0424f0cc,0.214876,0.247934,0.206612,0.231405,0.099174,1.529412,2.142857,1.923077,1.473684,1.500000
sub-0431abda,0.151899,0.253165,0.151899,0.303797,0.139241,1.333333,1.333333,1.200000,1.600000,1.100000
sub-044c81a4,0.275862,0.224138,0.232759,0.206897,0.060345,2.285714,1.733333,1.800000,1.714286,1.400000
sub-04d422d4,0.392405,0.151899,0.303797,0.075949,0.075949,1.476190,1.200000,1.600000,1.000000,1.200000
sub-05804543,0.360000,0.144000,0.328000,0.104000,0.064000,2.250000,1.500000,2.733333,1.625000,1.000000
sub-05b68380,0.360000,0.088000,0.352000,0.048000,0.152000,2.142857,1.375000,2.315789,1.000000,1.583333
sub-05c8148a,0.236842,0.192982,0.219298,0.201754,0.149123,1.687500,1.375000,1.666667,1.769231,1.416667
sub-05da9db8,0.226804,0.134021,0.237113,0.113402,0.288660,2.000000,1.444444,1.533333,1.100000,1.473684
sub-0618a7a8,0.217391,0.159420,0.260870,0.188406,0.173913,1.153846,1.375000,1.285714,1.300000,1.714286
sub-0619f332,0.175000,0.266667,0.225000,0.133333,0.200000,1.500000,2.285714,2.076923,1.600000,2.181818
sub-062a3828,0.213592,0.213592,0.242718,0.087379,0.242718,1.571429,1.466667,1.666667,1.285714,1.562500
sub-063189b9,0.243902,0.207317,0.195122,0.134146,0.219512,1.428571,1.000000,1.142857,1.100000,1.636364
sub-0640fc90,0.178571,0.250000,0.142857,0.321429,0.107143,1.250000,1.166667,1.142857,1.285714,1.000000
