ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-0038f6d3,0.261261,0.297297,0.090090,0.162162,0.189189,1.933333,2.357143,1.111111,1.800000,1.750000
sub-0065c4e7,0.272727,0.206612,0.223140,0.165289,0.132231,1.941176,1.470588,1.687500,1.538462,1.600000
sub-00a5f155,0.141304,0.119565,0.336957,0.260870,0.141304,1.444444,1.222222,2.066667,1.500000,1.083333
sub-0103fd3b,0.246575,0.164384,0.273973,0.273973,0.041096,1.285714,1.333333,1.428571,1.428571,1.500000
sub-017bc66c,0.285714,0.151261,0.176471,0.201681,0.184874,1.888889,1.200000,1.615385,1.846154,1.466667
sub-0223ca30,0.324561,0.254386,0.105263,0.122807,0.192982,2.055556,1.611111,1.333333,1.272727,1.375000
sub-0262fb07,0.214953,0.186916,0.158879,0.168224,0.271028,1.642857,1.538462,1.545455,1.800000,1.933333
sub-028396a2,0.169492,0.144068,0.305085,0.101695,0.279661,1.818182,1.416667,2.117647,1.200000,2.200000
sub-02e70592,0.224490,0.153061,0.163265,0.193878,0.265306,1.692308,1.250000,1.230769,1.461538,1.529412
sub-030862f3,0.305785,0.247934,0.148760,0.099174,0.198347,2.055556,1.666667,1.384615,1.500000,1.411765
sub-030a2f21,0.247863,0.307692,0.170940,0.205128,0.068376,1.933333,2.117647,1.666667,2.181818,1.333333
sub-0312aa2f,0.211382,0.219512,0.146341,0.105691,0.317073,1.857143,1.928571,1.500000,1.181818,2.166667
sub-032bc148,0.197368,0.197368,0.328947,0.236842,0.039474,1.363636,1.153846,1.470588,1.636364,1.000000
sub-037ebdea,0.206897,0.293103,0.155172,0.120690,0.224138,1.090909,1.062500,1.125000,1.166667,1.083333
sub-03b4fac2,0.148148,0.037037,0.370370,0.166667,0.277778,1.142857,1.000000,1.538462,1.125000,1.000000
sub-03d5f6b2,0.275862,0.318966,0.129310,0.155172,0.120690,2.285714,2.055556,1.666667,1.800000,1.555556
sub-03dbb3ef,0.365385,0.230769,0.192308,0.192308,0.019231,1.266667,1.090909,1.000000,1.000000,1.000000
sub-0424f0cc,0.363636,0.305785,0.082645,0.107438,0.140496,2.444444,2.466667,1.428571,1.181818,1.416667
sub-0431abda,0.151899,0.265823,0.278481,0.253165,0.050633,1.200000,1.312500,1.692308,1.176471,1.000000
sub-044c81a4,0.284483,0.318966,0.146552,0.155172,0.094828,1.941176,2.055556,1.545455,1.500000,1.222222
sub-04d422d4,0.189873,0.253165,0.265823,0.177215,0.113924,1.363636,1.428571,1.400000,1.400000,1.125000
sub-05804543,0.424000,0.368000,0.088000,0.040000,0.080000,2.650000,2.421053,1.222222,1.000000,1.250000
sub-05b68380,0.232000,0.224000,0.192000,0.144000,0.208000,1.611111,1.555556,1.500000,1.285714,1.529412
sub-05c8148a,0.219298,0.219298,0.254386,0.254386,0.052632,1.666667,1.666667,1.812500,1.933333,1.500000
sub-05da9db8,0.268041,0.371134,0.206186,0.030928,0.123711,1.529412,2.117647,1.666667,1.000000,1.200000
sub-0618a7a8,0.217391,0.217391,0.231884,0.217391,0.115942,1.363636,1.500000,1.333333,1.071429,1.142857
