ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-0038f6d3,0.279279,0.288288,0.162162,0.171171,0.099099,1.823529,2.000000,1.285714,1.357143,1.222222
sub-0065c4e7,0.487603,0.363636,0.024793,0.074380,0.049587,2.809524,2.095238,1.000000,1.285714,1.000000
sub-00a5f155,0.260870,0.282609,0.163043,0.097826,0.195652,1.500000,1.857143,1.363636,1.285714,1.384615
sub-0103fd3b,0.287671,0.232877,0.191781,0.205479,0.082192,1.750000,1.307692,1.166667,1.250000,1.500000
sub-017bc66c,0.369748,0.344538,0.092437,0.109244,0.084034,2.588235,2.562500,1.375000,1.625000,1.250000
sub-0223ca30,0.394737,0.324561,0.061404,0.087719,0.131579,2.368421,1.850000,1.400000,1.666667,1.363636
sub-0262fb07,0.336449,0.383178,0.065421,0.046729,0.168224,2.000000,2.157895,1.000000,1.000000,1.636364
sub-028396a2,0.296610,0.254237,0.101695,0.093220,0.254237,1.666667,1.764706,1.333333,1.375000,1.764706
sub-02e70592,0.357143,0.346939,0.091837,0.061224,0.142857,1.750000,1.619048,1.500000,1.200000,1.076923
sub-030862f3,0.413223,0.380165,0.049587,0.057851,0.099174,2.941176,2.555556,1.200000,1.166667,1.200000
sub-030a2f21,0.418803,0.384615,0.059829,0.094017,0.042735,2.578947,2.368421,1.000000,1.100000,1.000000
sub-0312aa2f,0.276423,0.284553,0.186992,0.097561,0.154472,2.615385,1.750000,1.916667,1.333333,1.583333
sub-032bc148,0.289474,0.394737,0.131579,0.118421,0.065789,1.375000,2.000000,1.250000,1.000000,1.000000
sub-037ebdea,0.293103,0.362069,0.137931,0.051724,0.155172,1.062500,1.166667,1.000000,1.000000,1.125000
sub-03b4fac2,0.296296,0.333333,0.166667,0.055556,0.148148,1.454545,1.500000,1.500000,1.000000,1.142857
sub-03d5f6b2,0.267241,0.284483,0.215517,0.215517,0.017241,1.937500,1.941176,1.785714,1.562500,1.000000
sub-03dbb3ef,0.307692,0.307692,0.192308,0.173077,0.019231,1.454545,1.454545,1.000000,1.000000,1.000000
sub-0424f0cc,0.371901,0.347107,0.074380,0.049587,0.157025,2.647059,2.100000,1.000000,1.000000,1.583333
sub-0431abda,0.164557,0.189873,0.329114,0.278481,0.037975,1.181818,1.250000,1.625000,1.375000,1.000000
sub-044c81a4,0.241379,0.258621,0.215517,0.189655,0.094828,1.473684,1.764706,1.785714,1.692308,1.222222
sub-04d422d4,0.278481,0.278481,0.139241,0.227848,0.075949,1.466667,1.294118,1.000000,1.285714,1.200000
sub-05804543,0.104000,0.208000,0.208000,0.256000,0.224000,1.444444,1.625000,1.857143,1.882353,2.153846
sub-05b68380,0.312000,0.304000,0.152000,0.136000,0.096000,1.857143,2.000000,1.461538,1.416667,1.200000
sub-05c8148a,0.324561,0.315789,0.131579,0.140351,0.087719,2.312500,2.250000,1.500000,1.600000,1.428571
sub-05da9db8,0.350515,0.371134,0.134021,0.092784,0.051546,2.000000,2.117647,1.444444,1.285714,1.000000
sub-0618a7a8,0.391304,0.420290,0.043478,0.130435,0.014493,1.687500,1.933333,1.000000,1.125000,1.000000
sub-0619f332,0.383333,0.400000,0.066667,0.058333,0.091667,2.000000,2.181818,1.142857,1.166667,1.375000
sub-062a3828,0.194175,0.281553,0.213592,0.203883,0.106796,1.538462,1.611111,1.466667,1.312500,1.222222
sub-063189b9,0.256098,0.219512,0.243902,0.219512,0.060976,1.500000,1.200000,1.666667,1.500000,1.250000
sub-0640fc90,0.303571,0.285714,0.160714,0.125000,0.125000,1.307692,1.454545,1.000000,1.166667,1.000000
sub-0677b0ae,0.394958,0.361345,0.084034,0.075630,0.084034,2.043478,1.954545,1.111111,1.000000,1.000000
sub-074c7ae0,0.300971,0.339806,0.126214,0.126214,0.106796,1.937500,1.666667,1.181818,1.444444,1.000000
sub-075ba38c,0.336207,0.370690,0.094828,0.060345,0.137931,2.294118,1.954545,1.375000,1.000000,1.230769
sub-078d0115,0.341463,0.260163,0.227642,0.170732,0.000000,2.100000,1.882353,1.750000,1.500000,NaN
sub-079ad0b1,0.448000,0.432000,0.024000,0.088000,0.008000,3.111111,3.000000,1.000000,1.375000,1.000000
sub-08bdadc8,0.283333,0.300000,0.150000,0.158333,0.108333,2.125000,2.250000,1.636364,1.583333,1.181818
sub-08d4a49b,0.222222,0.301587,0.253968,0.206349,0.015873,1.166667,1.357143,1.333333,1.181818,1.000000
sub-08fc6819,0.176000,0.168000,0.224000,0.128000,0.304000,1.833333,1.615385,1.750000,1.600000,2.000000
sub-09378b74,0.247706,0.201835,0.229358,0.220183,0.100917,1.500000,1.222222,1.470588,1.714286,1.375000
sub-09927d73,0.246753,0.285714,0.168831,0.103896,0.194805,1.583333,1.375000,1.444444,1.000000,1.250000
sub-09ff79ff,0.267857,0.250000,0.196429,0.205357,0.080357,1.875000,1.647059,1.375000,1.533333,1.285714
sub-0a249e33,0.254545,0.281818,0.181818,0.190909,0.090909,1.647059,1.631579,1.428571,1.400000,1.250000
sub-0aa36d72,0.398230,0.380531,0.070796,0.053097,0.097345,2.647059,2.263158,1.000000,1.200000,1.222222
sub-0ab8eedd,0.324786,0.333333,0.111111,0.102564,0.128205,2.375000,1.857143,1.181818,1.200000,1.363636
sub-0abfcc01,0.228571,0.266667,0.200000,0.209524,0.095238,1.500000,1.750000,1.615385,1.294118,1.111111
sub-0b35d330,0.410256,0.367521,0.085470,0.068376,0.068376,2.086957,2.150000,1.250000,1.142857,1.000000
sub-0bb849b5,0.382114,0.439024,0.024390,0.065041,0.089431,2.611111,2.842105,1.000000,1.142857,1.222222
sub-0bd59c4e,0.423077,0.442308,0.038462,0.076923,0.019231,1.571429,1.437500,1.000000,1.333333,1.000000
sub-0be9a317,0.301887,0.367925,0.094340,0.066038,0.169811,1.882353,1.950000,1.111111,1.166667,1.636364
sub-0bea5471,0.294872,0.243590,0.179487,0.166667,0.115385,1.533333,1.266667,1.400000,1.300000,1.285714
sub-0c41aed6,0.369048,0.333333,0.095238,0.142857,0.059524,1.550000,1.555556,1.000000,1.090909,1.250000
sub-0c6dd44d,0.322222,0.233333,0.155556,0.211111,0.077778,1.611111,1.500000,1.400000,1.117647,1.166667
sub-0cc78551,0.304878,0.317073,0.097561,0.158537,0.121951,1.785714,1.625000,1.142857,1.300000,1.250000
sub-0d109f78,0.211864,0.177966,0.254237,0.177966,0.177966,1.785714,1.615385,2.142857,1.909091,1.500000
sub-0d4055a4,0.303279,0.319672,0.090164,0.073770,0.213115,2.176471,2.437500,1.375000,1.285714,1.857143
sub-0dd04d8d,0.369048,0.345238,0.095238,0.083333,0.107143,1.631579,1.812500,1.142857,1.000000,1.125000
sub-0e0b5c03,0.386667,0.426667,0.080000,0.066667,0.040000,1.526316,1.684211,1.000000,1.250000,1.000000
