ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-0038f6d3,0.288288,0.315315,0.189189,0.171171,0.036036,2.000000,2.058824,1.909091,1.583333,1.000000
sub-0065c4e7,0.181818,0.157025,0.322314,0.239669,0.099174,1.571429,1.357143,2.294118,1.812500,1.333333
sub-00a5f155,0.195652,0.119565,0.206522,0.250000,0.228261,1.285714,1.375000,1.357143,1.642857,1.400000
sub-0103fd3b,0.315068,0.287671,0.041096,0.150685,0.205479,1.352941,1.400000,1.000000,1.100000,1.071429
sub-017bc66c,0.277311,0.268908,0.176471,0.218487,0.058824,1.941176,1.882353,1.750000,1.733333,1.166667
sub-0223ca30,0.245614,0.298246,0.114035,0.175439,0.166667,2.000000,1.789474,1.181818,1.333333,1.583333
sub-0262fb07,0.261682,0.280374,0.186916,0.186916,0.084112,1.750000,1.875000,1.333333,1.538462,1.285714
sub-028396a2,0.245763,0.254237,0.194915,0.127119,0.177966,1.705882,1.875000,1.642857,1.500000,1.500000
sub-02e70592,0.367347,0.387755,0.091837,0.102041,0.051020,2.250000,2.111111,1.000000,1.111111,1.250000
sub-030862f3,0.280992,0.272727,0.173554,0.206612,0.066116,1.789474,2.062500,1.909091,1.562500,1.333333
sub-030a2f21,0.324786,0.256410,0.162393,0.085470,0.170940,2.111111,1.875000,1.727273,1.666667,1.428571
sub-0312aa2f,0.284553,0.300813,0.178862,0.130081,0.105691,1.750000,1.947368,1.375000,1.777778,1.181818
sub-032bc148,0.236842,0.276316,0.157895,0.171053,0.157895,1.285714,1.312500,1.000000,1.444444,1.333333
sub-037ebdea,0.120690,0.103448,0.344828,0.310345,0.120690,1.000000,1.000000,1.333333,1.285714,1.000000
sub-03b4fac2,0.148148,0.018519,0.370370,0.296296,0.166667,1.000000,1.000000,1.250000,1.142857,1.125000
sub-03d5f6b2,0.224138,0.241379,0.215517,0.181034,0.137931,1.625000,1.555556,1.315789,1.400000,1.333333
sub-03dbb3ef,0.057692,0.134615,0.250000,0.192308,0.365385,1.000000,1.000000,1.181818,1.111111,1.357143
sub-0424f0cc,0.272727,0.280992,0.157025,0.198347,0.090909,1.941176,2.125000,1.461538,1.600000,1.375000
sub-0431abda,0.189873,0.227848,0.215190,0.253165,0.113924,1.500000,1.285714,1.545455,1.538462,1.000000
sub-044c81a4,0.275862,0.284483,0.155172,0.120690,0.163793,1.882353,2.062500,1.285714,1.555556,1.357143
sub-04d422d4,0.291139,0.227848,0.126582,0.151899,0.202532,1.642857,1.285714,1.111111,1.200000,1.600000
sub-05804543,0.352000,0.376000,0.088000,0.080000,0.104000,2.444444,2.473684,1.571429,1.666667,1.300000
sub-05b68380,0.304000,0.304000,0.128000,0.128000,0.136000,2.000000,1.809524,1.454545,1.333333,1.700000
sub-05c8148a,0.359649,0.333333,0.087719,0.105263,0.114035,2.157895,2.111111,1.111111,1.200000,1.625000
sub-05da9db8,0.144330,0.123711,0.175258,0.268041,0.288660,1.272727,1.333333,1.545455,1.444444,1.473684
sub-0618a7a8,0.188406,0.101449,0.333333,0.188406,0.188406,1.444444,1.166667,1.437500,1.181818,1.181818
sub-0619f332,0.225000,0.233333,0.233333,0.116667,0.191667,1.928571,1.866667,2.333333,1.272727,1.916667
sub-062a3828,0.291262,0.291262,0.106796,0.106796,0.203883,1.764706,2.142857,1.100000,1.100000,1.750000
sub-063189b9,0.182927,0.170732,0.219512,0.182927,0.243902,1.363636,1.400000,1.285714,1.250000,1.428571
sub-0640fc90,0.250000,0.196429,0.196429,0.267857,0.089286,1.400000,1.375000,1.100000,1.363636,1.000000
sub-0677b0ae,0.126050,0.151261,0.243697,0.310924,0.168067,1.500000,1.500000,2.230769,2.176471,1.538462
sub-074c7ae0,0.252427,0.194175,0.213592,0.194175,0.145631,1.300000,1.333333,1.692308,1.428571,1.363636
sub-075ba38c,0.172414,0.189655,0.198276,0.224138,0.215517,1.666667,1.466667,1.769231,1.625000,1.666667
sub-078d0115,0.235772,0.252033,0.178862,0.105691,0.227642,1.705882,1.823529,1.833333,1.444444,2.000000
sub-079ad0b1,0.264000,0.288000,0.080000,0.176000,0.192000,2.062500,2.117647,1.428571,1.692308,2.181818
sub-08bdadc8,0.233333,0.275000,0.183333,0.150000,0.158333,2.153846,1.833333,1.692308,1.384615,1.727273
sub-08d4a49b,0.396825,0.380952,0.063492,0.079365,0.079365,1.666667,1.846154,1.333333,1.000000,1.000000
sub-08fc6819,0.304000,0.288000,0.136000,0.160000,0.112000,2.375000,1.894737,1.416667,1.538462,1.555556
sub-09378b74,0.330275,0.266055,0.110092,0.146789,0.146789,2.400000,2.230769,1.333333,1.454545,1.777778
sub-09927d73,0.129870,0.181818,0.246753,0.311688,0.129870,1.111111,1.400000,1.266667,1.714286,1.250000
sub-09ff79ff,0.276786,0.276786,0.169643,0.160714,0.116071,1.823529,2.066667,1.357143,1.636364,1.444444
sub-0a249e33,0.281818,0.327273,0.100000,0.154545,0.136364,1.823529,2.000000,1.222222,1.416667,1.500000
