ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-000480a3,0.184000,0.240000,0.168000,0.240000,0.168000,1.437500,1.764706,1.500000,1.764706,1.615385
sub-002144a4,0.288000,0.296000,0.192000,0.104000,0.120000,2.250000,2.846154,1.846154,1.444444,1.500000
sub-003cb60d,0.128000,0.104000,0.136000,0.320000,0.312000,1.333333,1.300000,1.700000,1.904762,2.166667
sub-0062f44f,0.232000,0.216000,0.248000,0.208000,0.096000,1.611111,2.076923,1.631579,1.733333,1.200000
sub-007a1aa0,0.240000,0.208000,0.224000,0.096000,0.232000,2.000000,1.857143,1.750000,1.090909,1.812500
sub-00ae171b,0.304000,0.320000,0.144000,0.112000,0.120000,2.923077,2.105263,1.500000,1.400000,1.250000
sub-00b753fd,0.232000,0.200000,0.224000,0.152000,0.192000,2.230769,1.666667,1.866667,1.583333,1.714286
sub-01134d21,0.240000,0.240000,0.176000,0.184000,0.160000,1.875000,2.000000,1.571429,1.769231,1.666667
sub-01218f8b,0.176000,0.168000,0.264000,0.144000,0.248000,1.375000,1.312500,1.650000,1.384615,2.066667
sub-01511781,0.248000,0.264000,0.152000,0.160000,0.176000,1.937500,2.538462,1.461538,1.818182,1.294118
sub-0171efa5,0.280000,0.312000,0.104000,0.072000,0.232000,2.500000,2.600000,1.300000,1.285714,1.933333
sub-01cadbe4,0.280000,0.240000,0.184000,0.152000,0.144000,1.750000,2.142857,1.769231,1.357143,1.500000
sub-01f9b016,0.136000,0.088000,0.368000,0.240000,0.168000,1.888889,1.222222,2.705882,1.764706,1.500000
sub-027054b4,0.176000,0.136000,0.224000,0.184000,0.280000,1.375000,1.545455,1.866667,1.642857,2.500000
sub-02766b54,0.272000,0.304000,0.160000,0.152000,0.112000,2.266667,2.235294,2.000000,1.727273,1.272727
sub-03498ade,0.256000,0.320000,0.144000,0.160000,0.120000,2.666667,2.352941,1.500000,2.000000,1.363636
sub-03656bd1,0.216000,0.192000,0.120000,0.240000,0.232000,1.800000,1.500000,1.666667,1.875000,1.705882
sub-038704e3,0.192000,0.184000,0.232000,0.248000,0.144000,1.714286,1.769231,1.611111,1.937500,1.500000
sub-03af5f2c,0.312000,0.360000,0.104000,0.072000,0.152000,2.052632,2.500000,1.444444,1.125000,1.187500
sub-041ba06b,0.136000,0.104000,0.248000,0.312000,0.200000,1.545455,1.857143,1.937500,2.437500,1.923077
sub-04286c2c,0.088000,0.096000,0.224000,0.296000,0.296000,1.375000,1.500000,2.333333,2.055556,2.466667
sub-043cc212,0.144000,0.200000,0.240000,0.208000,0.208000,1.500000,1.785714,1.875000,1.625000,1.529412
sub-044c7174,0.176000,0.184000,0.272000,0.264000,0.104000,1.571429,1.533333,2.266667,2.062500,1.300000
sub-044d8e58,0.208000,0.168000,0.224000,0.192000,0.208000,1.857143,1.909091,2.333333,1.714286,1.733333
sub-04bd6324,0.160000,0.096000,0.272000,0.264000,0.208000,1.666667,1.500000,2.000000,2.062500,2.000000
sub-04d04ea4,0.328000,0.264000,0.152000,0.120000,0.136000,2.928571,3.000000,1.583333,1.500000,1.888889
sub-04d27e60,0.232000,0.264000,0.128000,0.160000,0.216000,1.705882,1.833333,1.230769,1.818182,2.076923
sub-04ea294f,0.200000,0.232000,0.168000,0.264000,0.136000,1.785714,1.933333,1.400000,2.062500,1.416667
sub-04f4d53b,0.224000,0.216000,0.168000,0.168000,0.224000,1.750000,1.928571,1.235294,1.615385,1.750000
sub-051d443a,0.176000,0.176000,0.168000,0.232000,0.248000,2.000000,1.571429,1.750000,1.705882,1.823529
sub-053f994f,0.296000,0.320000,0.200000,0.120000,0.064000,2.466667,3.076923,2.083333,1.363636,1.142857
sub-05462a0a,0.264000,0.208000,0.176000,0.176000,0.176000,2.538462,1.529412,2.200000,1.571429,1.692308
sub-05a3dcd8,0.200000,0.216000,0.200000,0.272000,0.112000,2.083333,1.687500,1.923077,2.125000,1.750000
sub-05e2a0c1,0.168000,0.232000,0.216000,0.232000,0.152000,1.500000,1.812500,1.687500,2.071429,1.461538
sub-06049101,0.264000,0.256000,0.120000,0.136000,0.224000,1.941176,2.000000,1.153846,1.416667,1.555556
sub-06247dd4,0.288000,0.272000,0.152000,0.144000,0.144000,2.571429,1.888889,1.461538,1.636364,1.384615
sub-062c0d92,0.240000,0.280000,0.136000,0.192000,0.152000,2.500000,2.187500,1.307692,1.600000,1.583333
sub-067ed1e5,0.168000,0.184000,0.192000,0.288000,0.168000,2.100000,1.769231,1.714286,1.894737,1.615385
sub-0681fe30,0.200000,0.152000,0.272000,0.232000,0.144000,2.272727,1.461538,2.000000,2.230769,2.000000
sub-0690e761,0.168000,0.168000,0.224000,0.232000,0.208000,1.909091,2.100000,2.000000,2.071429,1.857143
sub-069d0b5c,0.128000,0.104000,0.320000,0.304000,0.144000,2.000000,1.444444,2.500000,2.111111,1.800000
sub-06ef0422,0.176000,0.208000,0.224000,0.216000,0.176000,1.692308,1.733333,2.000000,1.687500,1.466667
sub-06fd436c,0.168000,0.248000,0.208000,0.184000,0.192000,1.750000,2.214286,1.857143,1.533333,2.181818
sub-06ff4616,0.272000,0.208000,0.224000,0.120000,0.176000,1.789474,1.733333,1.400000,1.363636,2.000000
sub-0702da0a,0.176000,0.264000,0.192000,0.176000,0.192000,1.833333,1.736842,1.600000,1.571429,1.600000
sub-07132b4d,0.256000,0.248000,0.152000,0.136000,0.208000,2.000000,1.823529,1.461538,1.416667,1.857143
sub-07286fe3,0.168000,0.216000,0.152000,0.192000,0.272000,1.909091,1.500000,1.727273,1.846154,2.125000
sub-07639182,0.328000,0.288000,0.120000,0.128000,0.136000,2.562500,2.400000,1.363636,1.600000,1.545455
sub-07808766,0.176000,0.168000,0.200000,0.272000,0.184000,1.375000,1.500000,1.666667,1.888889,1.352941
sub-078c1f13,0.264000,0.280000,0.176000,0.104000,0.176000,2.357143,2.187500,1.833333,1.444444,1.692308
sub-07bb0c3d,0.200000,0.208000,0.240000,0.232000,0.120000,1.785714,2.166667,2.142857,1.705882,1.666667
sub-07bfc1d0,0.232000,0.240000,0.176000,0.224000,0.128000,1.933333,2.000000,1.571429,1.750000,1.230769
sub-07f81fd1,0.304000,0.320000,0.128000,0.088000,0.160000,2.375000,2.666667,1.600000,1.222222,1.818182
sub-08211a03,0.104000,0.072000,0.248000,0.296000,0.280000,1.444444,1.125000,2.066667,1.761905,2.058824
sub-082bf2e9,0.192000,0.160000,0.232000,0.192000,0.224000,1.600000,1.428571,1.812500,1.714286,2.000000
sub-0841801f,0.296000,0.320000,0.152000,0.120000,0.112000,2.642857,2.666667,1.357143,1.500000,1.272727
sub-0843ac34,0.160000,0.160000,0.208000,0.216000,0.256000,1.818182,1.666667,1.625000,1.687500,2.133333
sub-0861ebb9,0.264000,0.240000,0.168000,0.136000,0.192000,2.357143,1.764706,1.615385,1.307692,1.846154
sub-086ce387,0.248000,0.176000,0.280000,0.144000,0.152000,1.722222,1.222222,1.750000,1.384615,1.461538
sub-08c17ce3,0.256000,0.240000,0.208000,0.208000,0.088000,2.133333,1.875000,1.444444,1.857143,1.375000
sub-08cdf957,0.288000,0.280000,0.136000,0.088000,0.208000,2.117647,1.842105,1.416667,1.100000,1.444444
sub-08e73149,0.160000,0.112000,0.256000,0.264000,0.208000,1.666667,1.272727,1.777778,1.833333,1.625000
sub-08e7cf1f,0.192000,0.216000,0.192000,0.248000,0.152000,1.500000,1.800000,1.600000,1.823529,1.583333
sub-08f20006,0.216000,0.232000,0.128000,0.184000,0.240000,1.800000,2.900000,1.454545,1.769231,3.000000
sub-0905ef5f,0.224000,0.208000,0.240000,0.176000,0.152000,1.555556,1.529412,2.000000,1.571429,1.461538
