ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-002144a4,0.209302,0.255814,0.162791,0.302326,0.069767,3.000000,2.750000,2.333333,3.250000,3.000000
sub-01f9b016,0.243902,0.219512,0.207317,0.109756,0.219512,2.222222,2.250000,2.125000,2.250000,2.571429
sub-027054b4,0.168831,0.220779,0.207792,0.285714,0.116883,2.166667,1.700000,2.285714,2.444444,1.285714
sub-043cc212,0.150000,0.250000,0.316667,0.150000,0.133333,2.250000,2.500000,2.714286,2.250000,2.000000
sub-04d04ea4,0.333333,0.166667,0.125000,0.125000,0.250000,2.666667,2.000000,1.500000,1.500000,2.400000
sub-04ea294f,0.193548,0.193548,0.274194,0.161290,0.177419,1.714286,2.400000,2.125000,2.000000,2.750000
sub-05a3dcd8,0.195652,0.141304,0.195652,0.163043,0.304348,1.800000,1.625000,2.250000,2.500000,3.500000
sub-05e2a0c1,0.245902,0.229508,0.229508,0.229508,0.065574,2.500000,2.333333,2.000000,2.333333,1.333333
sub-06049101,0.250000,0.163793,0.267241,0.137931,0.181034,2.636364,1.727273,2.818182,2.285714,2.333333
sub-06247dd4,0.439024,0.024390,0.073171,0.317073,0.146341,2.250000,1.000000,1.000000,2.166667,3.000000
sub-067ed1e5,0.276596,0.063830,0.106383,0.255319,0.297872,2.166667,1.000000,1.250000,2.400000,2.000000
sub-0690e761,0.299065,0.168224,0.149533,0.112150,0.271028,2.461538,1.800000,1.600000,1.714286,2.071429
sub-0702da0a,0.189189,0.171171,0.180180,0.225225,0.234234,1.909091,2.111111,2.000000,2.777778,2.000000
sub-07639182,0.073171,0.439024,0.390244,0.024390,0.073171,1.500000,3.000000,2.666667,1.000000,1.500000
sub-07bb0c3d,0.282051,0.205128,0.141026,0.141026,0.230769,2.000000,2.000000,1.375000,2.200000,2.250000
sub-07f81fd1,0.231481,0.194444,0.166667,0.259259,0.148148,3.571429,2.625000,2.000000,3.111111,1.777778
sub-082bf2e9,0.189873,0.253165,0.202532,0.227848,0.126582,1.875000,2.000000,2.000000,2.000000,1.428571
sub-0843ac34,0.188406,0.275362,0.260870,0.202899,0.072464,2.166667,2.375000,2.000000,2.000000,1.250000
sub-0861ebb9,0.290598,0.179487,0.102564,0.205128,0.222222,3.090909,2.100000,1.333333,2.666667,2.000000
sub-0905f56e,0.256637,0.168142,0.123894,0.221239,0.230088,2.230769,2.714286,2.000000,2.272727,2.888889
