ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-002144a4,0.418605,0.348837,0.093023,0.023256,0.116279,3.600000,5.000000,2.000000,1.000000,1.666667
sub-01f9b016,0.268293,0.182927,0.268293,0.207317,0.073171,2.750000,3.000000,2.444444,2.428571,1.500000
sub-027054b4,0.220779,0.194805,0.220779,0.142857,0.220779,2.125000,2.142857,2.428571,1.571429,1.700000
sub-043cc212,0.216667,0.133333,0.083333,0.233333,0.333333,2.166667,2.000000,1.250000,2.333333,2.857143
sub-04d04ea4,0.208333,0.187500,0.187500,0.229167,0.187500,1.428571,1.800000,1.800000,1.833333,2.250000
sub-04ea294f,0.193548,0.161290,0.096774,0.241935,0.306452,1.714286,1.428571,1.200000,1.875000,2.375000
sub-05a3dcd8,0.206522,0.206522,0.206522,0.228261,0.152174,2.375000,2.714286,2.375000,2.625000,1.750000
sub-05e2a0c1,0.344262,0.311475,0.098361,0.163934,0.081967,3.000000,2.714286,1.200000,1.428571,1.666667
sub-06049101,0.206897,0.224138,0.112069,0.232759,0.224138,2.181818,2.166667,1.857143,2.250000,1.857143
sub-06247dd4,0.390244,0.317073,0.170732,0.073171,0.048780,2.666667,2.600000,1.750000,1.000000,1.000000
sub-067ed1e5,0.255319,0.191489,0.170213,0.106383,0.276596,2.000000,1.800000,1.333333,1.250000,1.857143
sub-0690e761,0.196262,0.121495,0.261682,0.271028,0.149533,2.333333,2.600000,2.333333,2.071429,2.000000
sub-0702da0a,0.234234,0.162162,0.180180,0.216216,0.207207,2.000000,1.800000,1.818182,1.600000,1.916667
sub-07639182,0.121951,0.195122,0.121951,0.219512,0.341463,1.250000,2.000000,1.666667,1.800000,3.500000
sub-07bb0c3d,0.243590,0.294872,0.192308,0.217949,0.051282,2.375000,2.875000,2.142857,1.888889,1.000000
sub-07f81fd1,0.268519,0.342593,0.129630,0.074074,0.185185,2.416667,4.111111,1.750000,1.333333,1.666667
sub-082bf2e9,0.253165,0.227848,0.151899,0.164557,0.202532,2.857143,2.571429,3.000000,1.625000,2.285714
sub-0843ac34,0.260870,0.217391,0.086957,0.231884,0.202899,2.000000,1.875000,1.500000,2.285714,2.000000
sub-0861ebb9,0.273504,0.239316,0.205128,0.094017,0.188034,2.909091,3.111111,2.666667,1.375000,2.000000
sub-0905f56e,0.221239,0.194690,0.176991,0.150442,0.256637,3.125000,2.750000,2.000000,3.400000,3.222222
sub-09ab4ffe,0.342466,0.301370,0.136986,0.068493,0.150685,2.777778,3.666667,2.000000,1.000000,2.200000
sub-09b2bd27,0.319444,0.222222,0.236111,0.111111,0.111111,2.875000,2.285714,1.888889,2.000000,1.600000
sub-0a01b9d9,0.211009,0.146789,0.229358,0.192661,0.220183,2.090909,2.285714,2.500000,1.909091,2.181818
sub-0a588feb,0.245614,0.157895,0.210526,0.210526,0.175439,3.500000,3.000000,2.400000,2.400000,1.666667
sub-0a6b75dd,0.232558,0.139535,0.093023,0.255814,0.279070,2.000000,3.000000,1.000000,2.200000,3.000000
sub-0a6d3b93,0.233010,0.213592,0.184466,0.145631,0.223301,2.181818,2.750000,1.727273,2.142857,2.090909
sub-0c8924f1,0.152174,0.108696,0.326087,0.369565,0.043478,1.400000,1.250000,2.500000,2.833333,2.000000
sub-0cb28382,0.191667,0.250000,0.200000,0.150000,0.208333,1.916667,2.727273,2.000000,2.000000,2.272727
sub-0d76c045,0.146341,0.170732,0.243902,0.219512,0.219512,1.714286,2.000000,2.000000,2.571429,3.000000
sub-0d8c474d,0.145833,0.187500,0.239583,0.229167,0.197917,1.750000,2.250000,2.300000,2.444444,1.727273
sub-0e38a13d,0.281250,0.187500,0.229167,0.083333,0.218750,2.454545,2.250000,2.444444,1.142857,2.333333
sub-0ece6939,0.242105,0.210526,0.200000,0.189474,0.157895,2.300000,2.857143,2.111111,1.800000,2.142857
