ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-002144a4,0.232558,0.186047,0.255814,0.139535,0.186047,3.333333,2.000000,1.833333,1.500000,2.000000
sub-01f9b016,0.268293,0.317073,0.134146,0.195122,0.085366,2.444444,2.888889,1.571429,1.600000,1.400000
sub-027054b4,0.220779,0.090909,0.116883,0.272727,0.298701,2.428571,1.166667,1.800000,2.333333,2.300000
sub-043cc212,0.133333,0.250000,0.200000,0.283333,0.133333,2.666667,2.500000,2.000000,2.125000,2.000000
sub-04d04ea4,0.187500,0.250000,0.229167,0.229167,0.104167,2.250000,1.714286,1.833333,1.571429,1.666667
sub-04ea294f,0.306452,0.290323,0.096774,0.064516,0.241935,2.375000,2.571429,1.200000,1.000000,2.142857
sub-05a3dcd8,0.173913,0.206522,0.293478,0.130435,0.195652,2.285714,1.900000,2.076923,2.000000,2.250000
sub-05e2a0c1,0.278689,0.213115,0.180328,0.213115,0.114754,2.833333,2.600000,2.200000,2.600000,1.400000
sub-06049101,0.258621,0.189655,0.172414,0.206897,0.172414,2.000000,1.833333,1.818182,1.600000,1.666667
sub-06247dd4,0.121951,0.292683,0.195122,0.121951,0.268293,1.666667,2.400000,2.000000,1.666667,2.200000
sub-067ed1e5,0.191489,0.297872,0.106383,0.212766,0.191489,1.800000,2.333333,1.250000,2.000000,1.800000
sub-0690e761,0.205607,0.308411,0.130841,0.140187,0.214953,2.750000,2.062500,1.555556,1.500000,2.300000
sub-0702da0a,0.216216,0.252252,0.171171,0.189189,0.171171,2.666667,2.153846,1.900000,1.909091,1.727273
sub-07639182,0.073171,0.146341,0.317073,0.146341,0.317073,1.500000,1.500000,2.166667,2.000000,3.250000
sub-07bb0c3d,0.192308,0.166667,0.166667,0.307692,0.166667,2.500000,1.857143,1.857143,2.400000,2.166667
sub-07f81fd1,0.296296,0.333333,0.166667,0.166667,0.037037,3.200000,2.769231,1.636364,1.500000,1.333333
sub-082bf2e9,0.278481,0.189873,0.227848,0.151899,0.151899,2.750000,1.666667,2.571429,1.500000,2.400000
sub-0843ac34,0.275362,0.188406,0.217391,0.188406,0.130435,2.714286,2.166667,3.000000,1.857143,1.800000
sub-0861ebb9,0.358974,0.333333,0.102564,0.111111,0.094017,3.818182,3.545455,1.500000,1.625000,1.375000
sub-0905f56e,0.230088,0.265487,0.194690,0.238938,0.070796,2.166667,2.307692,2.000000,1.928571,1.142857
sub-09ab4ffe,0.301370,0.356164,0.109589,0.027397,0.205479,3.142857,3.714286,1.000000,2.000000,2.142857
sub-09b2bd27,0.208333,0.263889,0.166667,0.236111,0.125000,2.142857,2.375000,1.333333,2.428571,1.125000
sub-0a01b9d9,0.165138,0.192661,0.247706,0.192661,0.201835,2.571429,3.000000,3.000000,2.333333,1.833333
sub-0a588feb,0.245614,0.175439,0.228070,0.157895,0.192982,2.333333,2.000000,2.166667,1.800000,1.833333
sub-0a6b75dd,0.209302,0.279070,0.139535,0.162791,0.209302,1.800000,2.000000,2.000000,1.750000,2.250000
sub-0a6d3b93,0.291262,0.262136,0.165049,0.174757,0.106796,3.000000,3.000000,2.125000,2.000000,1.833333
sub-0c8924f1,0.108696,0.000000,0.369565,0.391304,0.130435,2.500000,NaN,3.400000,3.600000,1.500000
sub-0cb28382,0.291667,0.300000,0.091667,0.125000,0.191667,2.916667,2.400000,1.571429,1.500000,2.555556
sub-0d76c045,0.158537,0.146341,0.317073,0.256098,0.121951,2.166667,2.000000,2.600000,2.625000,1.666667
sub-0d8c474d,0.083333,0.062500,0.333333,0.427083,0.093750,1.600000,1.500000,2.909091,3.153846,1.500000
sub-0e38a13d,0.281250,0.302083,0.177083,0.187500,0.052083,3.000000,2.230769,2.428571,1.636364,1.000000
sub-0ece6939,0.242105,0.115789,0.242105,0.168421,0.231579,2.090909,1.571429,2.300000,2.000000,2.444444
sub-0eeacdcc,0.209302,0.116279,0.162791,0.279070,0.232558,2.250000,1.250000,1.750000,2.400000,2.000000
sub-0fd33fbd,0.283019,0.226415,0.160377,0.056604,0.273585,3.000000,2.400000,1.700000,1.500000,2.230769
sub-100ae6a8,0.403226,0.282258,0.096774,0.080645,0.137097,3.571429,3.500000,2.400000,1.111111,2.125000
sub-102dbf16,0.209302,0.139535,0.325581,0.279070,0.046512,1.800000,1.500000,2.333333,2.400000,1.000000
sub-10cc8e1a,0.247706,0.321101,0.183486,0.155963,0.091743,3.000000,2.500000,1.818182,1.700000,2.000000
sub-10ef2d14,0.178218,0.198020,0.158416,0.217822,0.247525,1.636364,2.222222,1.600000,2.000000,2.083333
sub-111c7d70,0.297521,0.214876,0.115702,0.198347,0.173554,2.250000,2.166667,1.750000,1.600000,2.625000
sub-11ac5d6f,0.153846,0.153846,0.192308,0.173077,0.326923,2.000000,2.000000,2.000000,2.250000,2.125000
sub-11c2856c,0.280374,0.271028,0.158879,0.102804,0.186916,2.307692,2.900000,1.888889,1.833333,2.500000
sub-11d0f29c,0.228070,0.210526,0.228070,0.210526,0.122807,1.625000,2.000000,1.625000,1.500000,2.333333
sub-1312d0ff,0.352459,0.311475,0.081967,0.122951,0.131148,3.307692,3.166667,1.250000,1.500000,2.285714
sub-1320dd84,0.180556,0.152778,0.263889,0.250000,0.152778,1.857143,1.833333,1.900000,2.250000,1.571429
sub-1332af4c,0.166667,0.200000,0.266667,0.183333,0.183333,3.333333,3.000000,2.666667,1.571429,1.833333
sub-15a4b244,0.142857,0.207792,0.246753,0.181818,0.220779,1.833333,2.285714,1.727273,2.000000,2.833333
sub-163d7ed3,0.203390,0.186441,0.237288,0.338983,0.033898,2.000000,1.833333,2.000000,2.500000,1.000000
sub-16433f95,0.182796,0.118280,0.333333,0.322581,0.043011,1.416667,1.222222,2.384615,2.000000,2.000000
sub-16aa832a,0.062500,0.125000,0.375000,0.312500,0.125000,1.500000,1.200000,2.571429,2.142857,1.200000
sub-17a0e410,0.235294,0.196078,0.205882,0.186275,0.176471,2.666667,2.500000,2.625000,1.583333,2.000000
sub-17a748b7,0.250000,0.142857,0.238095,0.190476,0.178571,2.100000,1.500000,2.222222,2.000000,1.875000
sub-17d6eab1,0.173913,0.195652,0.326087,0.304348,0.000000,2.000000,1.800000,2.500000,2.333333,NaN
sub-189c4ed9,0.181818,0.103896,0.272727,0.324675,0.116883,3.500000,1.600000,1.750000,2.500000,1.500000
sub-18ebfa2a,0.238806,0.223881,0.179104,0.298507,0.059701,2.285714,2.142857,2.000000,1.818182,1.333333
sub-199064eb,0.111111,0.174603,0.301587,0.126984,0.285714,1.400000,2.200000,2.375000,2.000000,2.250000
sub-1a220630,0.294118,0.362745,0.107843,0.166667,0.068627,2.500000,4.111111,1.222222,2.125000,1.750000
sub-1a220b08,0.325000,0.316667,0.100000,0.091667,0.166667,3.545455,2.533333,1.500000,1.833333,2.000000
sub-1a554710,0.108696,0.065217,0.369565,0.413043,0.043478,1.250000,1.500000,3.400000,3.800000,1.000000
sub-1ab48098,0.186047,0.186047,0.255814,0.302326,0.069767,4.000000,2.666667,1.833333,2.600000,1.500000
sub-1abb75bb,0.121495,0.121495,0.383178,0.299065,0.074766,1.625000,1.625000,3.727273,2.666667,1.333333
sub-1ad3126c,0.333333,0.333333,0.133333,0.142857,0.057143,5.000000,3.181818,2.000000,1.875000,1.200000
