ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-002144a4,0.348837,0.395349,0.116279,0.023256,0.116279,5.000000,4.250000,1.250000,1.000000,2.500000
sub-01f9b016,0.195122,0.268293,0.207317,0.219512,0.109756,3.200000,3.142857,2.428571,2.571429,2.250000
sub-027054b4,0.311688,0.285714,0.194805,0.051948,0.155844,2.666667,2.444444,2.500000,2.000000,1.500000
sub-043cc212,0.116667,0.250000,0.266667,0.133333,0.233333,1.400000,2.142857,2.285714,1.333333,2.000000
sub-04d04ea4,0.250000,0.229167,0.187500,0.187500,0.145833,2.000000,2.200000,2.250000,2.250000,1.750000
sub-04ea294f,0.274194,0.258065,0.096774,0.225806,0.145161,2.428571,2.000000,1.200000,2.800000,1.500000
sub-05a3dcd8,0.239130,0.195652,0.184783,0.217391,0.163043,3.142857,2.571429,2.428571,3.333333,2.142857
sub-05e2a0c1,0.295082,0.311475,0.147541,0.147541,0.098361,2.571429,3.166667,1.800000,1.500000,1.200000
sub-06049101,0.284483,0.293103,0.137931,0.086207,0.198276,2.750000,3.090909,1.777778,1.666667,1.916667
sub-06247dd4,0.146341,0.414634,0.121951,0.048780,0.268293,2.000000,2.833333,1.666667,2.000000,1.833333
sub-067ed1e5,0.212766,0.234043,0.212766,0.127660,0.212766,2.000000,1.833333,1.666667,2.000000,2.000000
sub-0690e761,0.130841,0.130841,0.261682,0.271028,0.205607,2.333333,1.750000,2.333333,2.636364,2.444444
sub-0702da0a,0.225225,0.234234,0.189189,0.216216,0.135135,2.500000,2.363636,1.909091,1.846154,1.500000
sub-07639182,0.365854,0.292683,0.048780,0.048780,0.243902,2.500000,2.400000,1.000000,1.000000,2.000000
sub-07bb0c3d,0.269231,0.256410,0.166667,0.179487,0.128205,2.333333,2.857143,1.625000,1.555556,1.666667
sub-07f81fd1,0.398148,0.305556,0.083333,0.092593,0.120370,4.777778,3.000000,1.500000,1.666667,1.857143
sub-082bf2e9,0.189873,0.215190,0.265823,0.151899,0.177215,2.500000,2.428571,2.625000,2.400000,2.000000
sub-0843ac34,0.159420,0.188406,0.246377,0.144928,0.260870,2.200000,1.857143,1.888889,1.428571,2.000000
sub-0861ebb9,0.264957,0.239316,0.205128,0.076923,0.213675,4.428571,3.500000,3.428571,1.800000,3.571429
sub-0905f56e,0.230088,0.230088,0.185841,0.185841,0.168142,2.363636,3.250000,2.333333,3.500000,2.375000
sub-09ab4ffe,0.328767,0.356164,0.150685,0.068493,0.095890,3.428571,3.250000,2.200000,1.250000,1.400000
sub-09b2bd27,0.277778,0.319444,0.166667,0.152778,0.083333,2.857143,2.300000,1.200000,1.833333,3.000000
sub-0a01b9d9,0.238532,0.201835,0.220183,0.119266,0.220183,2.600000,2.200000,3.000000,1.857143,2.000000
sub-0a588feb,0.228070,0.263158,0.192982,0.192982,0.122807,2.600000,5.000000,2.200000,1.833333,1.400000
sub-0a6b75dd,0.116279,0.139535,0.069767,0.302326,0.372093,5.000000,1.500000,1.500000,2.600000,3.200000
sub-0a6d3b93,0.194175,0.242718,0.242718,0.145631,0.174757,2.500000,2.777778,2.083333,1.875000,1.500000
sub-0c8924f1,0.173913,0.239130,0.217391,0.195652,0.173913,2.000000,2.200000,2.500000,2.250000,1.600000
sub-0cb28382,0.241667,0.200000,0.175000,0.166667,0.216667,2.900000,1.846154,1.909091,2.000000,2.000000
sub-0d76c045,0.207317,0.170732,0.231707,0.146341,0.243902,2.125000,1.750000,2.111111,2.000000,2.857143
sub-0d8c474d,0.218750,0.166667,0.208333,0.208333,0.197917,2.100000,1.777778,2.500000,2.222222,1.900000
sub-0e38a13d,0.187500,0.218750,0.260417,0.156250,0.177083,2.250000,2.333333,3.125000,1.666667,2.428571
sub-0ece6939,0.221053,0.305263,0.200000,0.063158,0.210526,2.333333,2.636364,1.900000,1.500000,2.222222
sub-0eeacdcc,0.302326,0.232558,0.139535,0.093023,0.232558,2.166667,2.000000,2.000000,1.333333,2.000000
sub-0fd33fbd,0.254717,0.235849,0.207547,0.141509,0.160377,2.454545,1.923077,1.833333,3.000000,1.700000
sub-100ae6a8,0.362903,0.314516,0.153226,0.088710,0.080645,3.000000,3.250000,1.900000,1.222222,1.666667
sub-102dbf16,0.232558,0.209302,0.232558,0.232558,0.093023,2.000000,1.800000,1.666667,1.666667,2.000000
