ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-000480a3,0.280000,0.280000,0.160000,0.180000,0.100000,1.400000,1.272727,1.333333,1.125000,1.250000
sub-002144a4,0.380531,0.353982,0.106195,0.079646,0.079646,2.150000,2.000000,1.500000,1.285714,1.000000
sub-0062f44f,0.327273,0.327273,0.145455,0.036364,0.163636,1.636364,1.500000,1.142857,1.000000,1.285714
sub-007a1aa0,0.261905,0.190476,0.238095,0.261905,0.047619,1.375000,1.142857,1.111111,1.000000,1.000000
sub-00ae171b,0.179245,0.207547,0.283019,0.235849,0.094340,1.461538,1.466667,1.578947,1.666667,1.428571
sub-01134d21,0.161290,0.161290,0.247312,0.279570,0.150538,1.363636,1.071429,1.352941,1.733333,1.400000
sub-01218f8b,0.148148,0.157407,0.268519,0.305556,0.120370,1.230769,1.307692,1.526316,2.062500,1.083333
sub-01511781,0.238532,0.211009,0.174312,0.220183,0.155963,1.444444,1.437500,1.583333,1.333333,1.416667
sub-0171efa5,0.172043,0.150538,0.311828,0.290323,0.075269,1.142857,1.400000,1.526316,1.285714,1.166667
sub-01cadbe4,0.298851,0.241379,0.160920,0.218391,0.080460,1.444444,1.312500,1.076923,1.357143,1.166667
sub-01f9b016,0.333333,0.307692,0.153846,0.170940,0.034188,1.857143,2.000000,1.285714,1.333333,1.000000
sub-027054b4,0.233871,0.258065,0.258065,0.209677,0.040323,1.611111,1.777778,2.000000,1.625000,1.000000
sub-02766b54,0.225000,0.191667,0.225000,0.200000,0.158333,1.588235,1.533333,1.687500,1.333333,1.727273
sub-03498ade,0.066038,0.075472,0.311321,0.320755,0.226415,1.400000,1.333333,1.833333,2.000000,1.411765
sub-03656bd1,0.351351,0.333333,0.099099,0.144144,0.072072,1.857143,1.947368,1.100000,1.230769,1.333333
sub-038704e3,0.292929,0.232323,0.141414,0.161616,0.171717,1.611111,1.642857,1.400000,1.142857,1.545455
sub-041ba06b,0.351648,0.340659,0.153846,0.109890,0.043956,1.777778,1.823529,1.400000,1.428571,1.000000
sub-04286c2c,0.282051,0.217949,0.256410,0.205128,0.038462,1.466667,1.133333,1.428571,1.333333,1.500000
sub-043cc212,0.280702,0.271930,0.201754,0.149123,0.096491,1.523810,1.347826,1.642857,1.416667,1.375000
sub-044c7174,0.191919,0.131313,0.212121,0.212121,0.252525,1.461538,1.083333,1.615385,1.500000,1.666667
sub-04bd6324,0.309859,0.394366,0.112676,0.140845,0.042254,1.692308,2.153846,1.333333,1.111111,1.500000
sub-04d04ea4,0.211864,0.177966,0.228814,0.211864,0.169492,1.785714,1.400000,1.588235,1.785714,1.538462
sub-04d27e60,0.271186,0.271186,0.135593,0.101695,0.220339,1.684211,1.684211,1.142857,1.200000,1.733333
sub-04ea294f,0.339130,0.313043,0.156522,0.121739,0.069565,1.857143,2.000000,1.500000,1.750000,1.142857
sub-04f4d53b,0.200000,0.233333,0.150000,0.316667,0.100000,1.200000,1.400000,1.500000,1.461538,1.000000
sub-051d443a,0.219048,0.266667,0.238095,0.161905,0.114286,1.916667,1.750000,1.923077,1.700000,1.333333
sub-053f994f,0.178571,0.214286,0.294643,0.276786,0.035714,1.666667,1.411765,1.434783,2.214286,1.000000
sub-05462a0a,0.408163,0.408163,0.040816,0.061224,0.081633,1.333333,1.333333,1.000000,1.000000,1.000000
sub-05a3dcd8,0.272727,0.223140,0.173554,0.223140,0.107438,1.571429,1.500000,1.750000,1.421053,1.625000
sub-05e2a0c1,0.260163,0.243902,0.203252,0.227642,0.065041,1.600000,2.142857,1.562500,1.647059,1.142857
sub-06049101,0.248000,0.216000,0.200000,0.272000,0.064000,1.550000,1.500000,1.250000,1.416667,1.142857
sub-06247dd4,0.260870,0.339130,0.147826,0.208696,0.043478,1.764706,2.052632,1.545455,1.500000,1.250000
sub-062c0d92,0.322034,0.322034,0.152542,0.169492,0.033898,1.357143,1.583333,1.125000,1.111111,1.000000
sub-067ed1e5,0.270492,0.344262,0.172131,0.122951,0.090164,1.941176,2.210526,1.615385,1.153846,1.375000
sub-0681fe30,0.196581,0.213675,0.273504,0.239316,0.076923,1.437500,1.315789,1.882353,1.555556,1.125000
sub-0690e761,0.286885,0.204918,0.163934,0.172131,0.172131,1.666667,1.388889,1.428571,1.750000,1.750000
sub-069d0b5c,0.170732,0.138211,0.268293,0.276423,0.146341,1.400000,1.545455,1.650000,2.125000,1.384615
sub-06ef0422,0.090909,0.090909,0.363636,0.409091,0.045455,1.000000,1.000000,1.454545,1.500000,1.000000
sub-06fd436c,0.395349,0.046512,0.093023,0.069767,0.395349,1.307692,1.000000,1.000000,1.000000,1.307692
sub-0702da0a,0.200000,0.184000,0.224000,0.240000,0.152000,1.388889,1.533333,1.866667,1.578947,1.187500
sub-07132b4d,0.236559,0.204301,0.172043,0.258065,0.129032,1.571429,1.266667,1.333333,1.333333,1.500000
sub-07286fe3,0.295082,0.352459,0.155738,0.106557,0.090164,2.000000,2.047619,1.357143,1.300000,1.571429
sub-07639182,0.327731,0.302521,0.126050,0.176471,0.067227,1.560000,2.000000,1.153846,1.400000,1.333333
sub-078c1f13,0.231707,0.207317,0.195122,0.134146,0.231707,1.461538,1.545455,1.230769,1.375000,1.357143
sub-07bb0c3d,0.256198,0.206612,0.173554,0.198347,0.165289,1.631579,1.562500,1.500000,1.500000,1.818182
sub-07bfc1d0,0.461538,0.435897,0.051282,0.038462,0.012821,2.250000,2.125000,1.000000,1.000000,1.000000
sub-07f81fd1,0.225806,0.193548,0.225806,0.169355,0.185484,1.555556,1.714286,2.153846,1.750000,1.437500
sub-08211a03,0.390244,0.463415,0.048780,0.097561,0.000000,1.777778,1.583333,1.000000,1.000000,NaN
sub-082bf2e9,0.190909,0.163636,0.263636,0.254545,0.127273,1.500000,1.285714,1.812500,1.473684,1.555556
sub-0841801f,0.208333,0.156250,0.208333,0.239583,0.187500,1.666667,1.250000,1.538462,1.437500,1.636364
sub-0843ac34,0.148148,0.166667,0.185185,0.175926,0.324074,1.230769,1.200000,1.818182,1.187500,1.944444
sub-0861ebb9,0.201613,0.233871,0.266129,0.209677,0.088710,1.190476,1.380952,1.941176,1.529412,1.375000
sub-086ce387,0.140187,0.046729,0.308411,0.327103,0.177570,1.250000,1.000000,1.833333,1.842105,1.266667
sub-08c17ce3,0.048780,0.048780,0.439024,0.146341,0.317073,1.000000,1.000000,1.200000,1.000000,1.181818
sub-08cdf957,0.272727,0.340909,0.113636,0.181818,0.090909,1.090909,1.500000,1.250000,1.142857,1.000000
sub-08e73149,0.304348,0.293478,0.108696,0.119565,0.173913,1.647059,1.500000,1.250000,1.222222,1.333333
sub-08f20006,0.245283,0.245283,0.207547,0.150943,0.150943,1.625000,1.300000,1.375000,1.333333,1.600000
sub-0905ef5f,0.190909,0.154545,0.254545,0.254545,0.145455,1.500000,1.307692,1.750000,1.473684,1.454545
sub-0905f56e,0.233333,0.216667,0.183333,0.183333,0.183333,1.866667,1.529412,1.375000,1.571429,1.692308
sub-091dc9fd,0.241379,0.275862,0.206897,0.181034,0.094828,1.647059,1.684211,1.714286,1.235294,1.100000
sub-094333f4,0.271186,0.211864,0.152542,0.127119,0.237288,1.777778,1.562500,1.384615,1.500000,2.000000
sub-0951b084,0.182692,0.144231,0.288462,0.298077,0.086538,1.266667,1.363636,1.666667,1.722222,1.500000
sub-0967cdf4,0.302326,0.232558,0.116279,0.139535,0.209302,1.083333,1.000000,1.250000,1.000000,1.285714
sub-09ab4ffe,0.181818,0.245455,0.254545,0.190909,0.127273,1.538462,1.500000,2.000000,1.400000,1.272727
sub-09b2bd27,0.155738,0.254098,0.213115,0.221311,0.155738,1.266667,1.823529,1.625000,1.421053,1.357143
sub-0a01b9d9,0.233871,0.306452,0.129032,0.137097,0.193548,2.230769,2.533333,1.333333,1.307692,1.500000
sub-0a04e1f3,0.187500,0.197917,0.166667,0.166667,0.281250,1.384615,1.187500,1.333333,1.777778,1.588235
sub-0a0df5f6,0.292035,0.309735,0.176991,0.150442,0.070796,2.200000,1.842105,1.538462,1.307692,1.000000
sub-0a588feb,0.239316,0.299145,0.188034,0.247863,0.025641,1.750000,1.842105,1.466667,1.705882,1.500000
sub-0a6b75dd,0.188119,0.178218,0.257426,0.316832,0.059406,1.357143,1.200000,1.733333,1.684211,1.000000
