ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-000480a3,0.300000,0.320000,0.120000,0.160000,0.100000,1.363636,1.600000,1.200000,1.333333,1.000000
sub-002144a4,0.309735,0.274336,0.150442,0.168142,0.097345,2.187500,2.066667,1.700000,1.461538,2.200000
sub-0062f44f,0.254545,0.236364,0.145455,0.254545,0.109091,1.272727,1.300000,1.000000,1.166667,1.200000
sub-007a1aa0,0.285714,0.285714,0.190476,0.166667,0.071429,1.200000,1.090909,1.142857,1.000000,1.000000
sub-00ae171b,0.320755,0.330189,0.169811,0.113208,0.066038,2.266667,1.750000,1.384615,1.500000,1.166667
sub-01134d21,0.225806,0.172043,0.268817,0.236559,0.096774,1.400000,1.230769,2.500000,1.466667,1.125000
sub-01218f8b,0.231481,0.240741,0.203704,0.185185,0.138889,1.315789,1.857143,1.375000,1.333333,1.250000
sub-01511781,0.275229,0.302752,0.229358,0.128440,0.064220,2.142857,2.357143,1.562500,1.555556,1.166667
sub-0171efa5,0.225806,0.311828,0.204301,0.096774,0.161290,1.750000,1.933333,1.461538,1.000000,1.363636
sub-01cadbe4,0.275862,0.218391,0.195402,0.195402,0.114943,1.600000,1.583333,1.545455,1.416667,1.111111
sub-01f9b016,0.179487,0.145299,0.290598,0.307692,0.076923,2.100000,1.545455,2.428571,2.571429,1.285714
sub-027054b4,0.241935,0.290323,0.129032,0.137097,0.201613,2.000000,2.000000,1.230769,1.700000,1.470588
sub-02766b54,0.375000,0.291667,0.116667,0.125000,0.091667,2.142857,2.187500,1.750000,1.500000,1.571429
sub-03498ade,0.377358,0.339623,0.066038,0.113208,0.103774,2.666667,2.250000,1.400000,1.500000,1.100000
sub-03656bd1,0.252252,0.189189,0.162162,0.162162,0.234234,1.750000,1.615385,1.636364,1.500000,1.529412
sub-038704e3,0.212121,0.232323,0.222222,0.181818,0.151515,1.909091,1.916667,1.571429,1.384615,1.153846
sub-041ba06b,0.175824,0.285714,0.175824,0.252747,0.109890,1.600000,1.300000,1.454545,1.210526,1.428571
sub-04286c2c,0.179487,0.166667,0.269231,0.192308,0.192308,1.166667,1.181818,1.400000,1.071429,1.153846
sub-043cc212,0.210526,0.210526,0.201754,0.166667,0.210526,2.181818,1.500000,1.642857,1.266667,1.600000
sub-044c7174,0.262626,0.232323,0.222222,0.222222,0.060606,1.529412,2.090909,1.692308,1.833333,1.500000
sub-04bd6324,0.225352,0.056338,0.281690,0.197183,0.239437,1.333333,1.333333,1.538462,1.555556,1.545455
sub-04d04ea4,0.186441,0.279661,0.127119,0.194915,0.211864,1.692308,2.357143,1.500000,1.352941,2.083333
sub-04d27e60,0.381356,0.279661,0.127119,0.127119,0.084746,2.647059,2.538462,1.363636,1.500000,1.428571
sub-04ea294f,0.226087,0.243478,0.139130,0.260870,0.130435,1.733333,2.000000,1.777778,1.666667,1.363636
sub-04f4d53b,0.316667,0.283333,0.166667,0.083333,0.150000,1.461538,1.416667,1.000000,1.000000,1.125000
sub-051d443a,0.247619,0.180952,0.209524,0.238095,0.123810,1.857143,1.583333,1.466667,1.785714,1.181818
sub-053f994f,0.321429,0.267857,0.160714,0.151786,0.098214,2.400000,2.000000,1.384615,1.416667,1.375000
sub-05462a0a,0.183673,0.306122,0.122449,0.183673,0.204082,1.285714,1.500000,1.000000,1.125000,1.250000
sub-05a3dcd8,0.223140,0.181818,0.181818,0.305785,0.107438,1.800000,2.444444,2.200000,2.642857,1.444444
sub-05e2a0c1,0.097561,0.121951,0.284553,0.300813,0.195122,1.500000,1.363636,2.333333,2.176471,2.000000
sub-06049101,0.312000,0.360000,0.088000,0.088000,0.152000,2.785714,2.812500,1.100000,1.833333,1.727273
sub-06247dd4,0.391304,0.347826,0.069565,0.052174,0.139130,2.812500,3.333333,1.142857,1.200000,1.777778
sub-062c0d92,0.322034,0.322034,0.050847,0.118644,0.186441,1.266667,1.461538,1.000000,1.166667,1.222222
sub-067ed1e5,0.229508,0.245902,0.180328,0.188525,0.155738,2.000000,1.764706,1.375000,1.916667,1.357143
sub-0681fe30,0.179487,0.162393,0.333333,0.282051,0.042735,1.500000,1.461538,2.166667,1.941176,1.250000
sub-0690e761,0.204918,0.262295,0.155738,0.245902,0.131148,2.500000,2.133333,1.461538,2.142857,2.000000
sub-069d0b5c,0.203252,0.170732,0.268293,0.260163,0.097561,1.666667,2.333333,2.357143,2.285714,1.714286
sub-06ef0422,0.204545,0.159091,0.272727,0.227273,0.136364,1.000000,1.000000,1.200000,1.111111,1.200000
sub-06fd436c,0.372093,0.348837,0.069767,0.093023,0.116279,1.142857,1.153846,1.500000,1.000000,1.250000
sub-0702da0a,0.296000,0.264000,0.136000,0.144000,0.160000,1.947368,1.833333,1.214286,1.800000,1.428571
sub-07132b4d,0.333333,0.354839,0.129032,0.075269,0.107527,2.214286,1.941176,1.200000,1.166667,1.428571
sub-07286fe3,0.147541,0.237705,0.254098,0.139344,0.221311,1.384615,1.933333,1.722222,1.545455,1.800000
sub-07639182,0.252101,0.193277,0.184874,0.184874,0.184874,1.578947,1.352941,1.375000,1.466667,1.692308
sub-078c1f13,0.182927,0.170732,0.231707,0.256098,0.158537,1.363636,1.272727,1.583333,1.750000,1.444444
sub-07bb0c3d,0.289256,0.330579,0.099174,0.181818,0.099174,1.842105,3.076923,1.714286,1.571429,1.714286
sub-07bfc1d0,0.217949,0.230769,0.153846,0.269231,0.128205,1.133333,1.285714,1.200000,1.312500,1.250000
sub-07f81fd1,0.330645,0.274194,0.129032,0.137097,0.129032,2.277778,2.266667,1.454545,1.545455,1.454545
sub-08211a03,0.219512,0.243902,0.073171,0.146341,0.317073,1.125000,1.111111,1.000000,1.200000,1.083333
sub-082bf2e9,0.290909,0.245455,0.200000,0.054545,0.209091,2.285714,2.076923,1.692308,1.200000,1.533333
sub-0841801f,0.427083,0.354167,0.125000,0.052083,0.041667,3.153846,2.833333,1.333333,1.000000,1.333333
sub-0843ac34,0.166667,0.231481,0.166667,0.250000,0.185185,1.800000,1.785714,1.285714,1.687500,1.666667
sub-0861ebb9,0.282258,0.314516,0.104839,0.145161,0.153226,1.842105,2.052632,1.857143,1.384615,1.583333
sub-086ce387,0.336449,0.308411,0.149533,0.093458,0.112150,2.117647,2.538462,1.454545,1.428571,1.714286
sub-08c17ce3,0.097561,0.146341,0.243902,0.341463,0.170732,1.000000,1.000000,1.111111,1.076923,1.400000
sub-08cdf957,0.340909,0.318182,0.113636,0.113636,0.113636,1.250000,1.166667,1.000000,1.250000,1.000000
sub-08e73149,0.206522,0.195652,0.184783,0.304348,0.108696,1.583333,1.800000,1.545455,2.153846,1.111111
sub-08f20006,0.235849,0.226415,0.188679,0.188679,0.160377,1.666667,1.714286,2.000000,1.818182,1.700000
sub-0905ef5f,0.218182,0.200000,0.236364,0.227273,0.118182,1.714286,1.294118,1.529412,1.785714,1.444444
sub-0905f56e,0.200000,0.233333,0.200000,0.183333,0.183333,1.714286,1.555556,1.600000,1.692308,1.571429
sub-091dc9fd,0.215517,0.163793,0.241379,0.250000,0.129310,2.083333,1.357143,1.866667,1.705882,1.666667
sub-094333f4,0.161017,0.127119,0.288136,0.338983,0.084746,1.461538,1.500000,2.000000,2.105263,1.250000
sub-0951b084,0.240385,0.240385,0.134615,0.221154,0.163462,1.785714,1.785714,1.555556,2.090909,1.307692
sub-0967cdf4,0.488372,0.395349,0.046512,0.046512,0.023256,1.615385,1.214286,1.000000,1.000000,1.000000
sub-09ab4ffe,0.209091,0.272727,0.163636,0.236364,0.118182,1.916667,2.000000,1.384615,1.733333,1.300000
sub-09b2bd27,0.163934,0.196721,0.262295,0.262295,0.114754,1.538462,1.600000,2.133333,2.285714,1.400000
sub-0a01b9d9,0.306452,0.338710,0.104839,0.080645,0.169355,2.923077,2.333333,1.625000,1.428571,2.100000
sub-0a04e1f3,0.250000,0.302083,0.104167,0.197917,0.145833,1.600000,1.526316,1.250000,1.357143,1.555556
sub-0a0df5f6,0.265487,0.238938,0.132743,0.185841,0.176991,3.000000,1.928571,1.666667,1.500000,1.666667
sub-0a588feb,0.256410,0.230769,0.170940,0.179487,0.162393,2.000000,2.076923,1.333333,1.750000,1.357143
sub-0a6b75dd,0.158416,0.128713,0.267327,0.326733,0.118812,1.777778,1.181818,2.454545,2.062500,1.333333
sub-0a6d3b93,0.226891,0.302521,0.168067,0.100840,0.201681,1.928571,2.400000,2.222222,1.500000,1.846154
sub-0a9fe617,0.190476,0.180952,0.219048,0.323810,0.085714,1.333333,1.357143,1.642857,2.000000,1.500000
sub-0aab6c55,0.292683,0.317073,0.146341,0.138211,0.105691,2.117647,2.166667,1.800000,1.416667,1.444444
sub-0b30ae22,0.319149,0.255319,0.021277,0.170213,0.234043,1.153846,1.200000,1.000000,1.000000,1.222222
sub-0b54ebaf,0.250000,0.231481,0.231481,0.203704,0.083333,1.928571,1.562500,1.562500,1.571429,1.125000
sub-0bdfa1cf,0.255102,0.224490,0.183673,0.142857,0.193878,1.785714,1.571429,1.800000,1.400000,1.583333
sub-0c04b9df,0.197802,0.208791,0.230769,0.230769,0.131868,1.285714,1.357143,1.312500,1.312500,1.500000
sub-0c7bad92,0.235849,0.292453,0.188679,0.122642,0.160377,2.083333,1.823529,1.666667,1.181818,1.416667
sub-0c8924f1,0.274510,0.323529,0.137255,0.156863,0.107843,2.545455,2.538462,1.400000,1.230769,1.571429
sub-0cb28382,0.272000,0.280000,0.168000,0.160000,0.120000,1.888889,1.842105,1.400000,1.666667,1.071429
sub-0d76c045,0.209677,0.177419,0.209677,0.201613,0.201613,1.733333,1.375000,1.625000,1.470588,1.470588
sub-0d8c474d,0.216000,0.200000,0.256000,0.208000,0.120000,1.687500,1.666667,2.000000,1.733333,1.666667
sub-0dab4f8e,0.283582,0.253731,0.059701,0.179104,0.223881,1.266667,1.214286,1.000000,1.714286,1.071429
sub-0dc3f19e,0.257576,0.272727,0.212121,0.196970,0.060606,1.133333,1.500000,1.272727,1.181818,1.000000
sub-0e220281,0.297872,0.276596,0.127660,0.085106,0.212766,2.000000,1.529412,1.333333,1.600000,1.538462
sub-0e37dd14,0.329412,0.341176,0.129412,0.117647,0.082353,1.647059,2.230769,1.222222,1.000000,1.166667
sub-0e38a13d,0.295082,0.295082,0.155738,0.172131,0.081967,2.400000,2.117647,1.461538,1.400000,1.250000
sub-0e791afe,0.320000,0.310000,0.140000,0.120000,0.110000,2.000000,1.631579,1.272727,1.200000,1.100000
sub-0e8e98ef,0.224138,0.241379,0.275862,0.206897,0.051724,1.857143,1.866667,1.684211,1.600000,1.000000
sub-0ece6939,0.237288,0.262712,0.211864,0.067797,0.220339,1.473684,2.214286,1.315789,1.142857,1.625000
sub-0eeacdcc,0.216216,0.198198,0.207207,0.162162,0.216216,1.714286,2.200000,1.533333,1.500000,1.500000
sub-0eef4b12,0.225806,0.290323,0.161290,0.129032,0.193548,1.615385,1.687500,1.250000,1.333333,1.384615
