ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-000480a3,0.280000,0.320000,0.080000,0.120000,0.200000,1.166667,2.000000,1.000000,1.200000,1.428571
sub-002144a4,0.318584,0.283186,0.115044,0.185841,0.097345,2.400000,2.133333,1.444444,1.909091,1.571429
sub-0062f44f,0.254545,0.181818,0.236364,0.236364,0.090909,1.400000,1.250000,1.083333,1.181818,1.250000
sub-007a1aa0,0.285714,0.238095,0.119048,0.166667,0.190476,1.200000,1.111111,1.250000,1.000000,1.142857
sub-00ae171b,0.292453,0.301887,0.132075,0.141509,0.132075,1.937500,1.684211,1.400000,1.250000,1.400000
sub-01134d21,0.129032,0.150538,0.268817,0.333333,0.118280,1.200000,1.272727,1.785714,1.823529,1.375000
sub-01218f8b,0.120370,0.129630,0.231481,0.277778,0.240741,1.444444,1.555556,1.470588,1.764706,1.857143
sub-01511781,0.229358,0.256881,0.183486,0.201835,0.128440,2.500000,2.000000,1.666667,1.571429,1.076923
sub-0171efa5,0.204301,0.258065,0.172043,0.172043,0.193548,1.461538,1.500000,1.600000,1.454545,1.800000
sub-01cadbe4,0.252874,0.172414,0.126437,0.241379,0.206897,1.466667,1.153846,1.100000,1.500000,1.384615
sub-01f9b016,0.145299,0.196581,0.264957,0.273504,0.119658,1.545455,2.090909,2.583333,2.133333,1.272727
sub-027054b4,0.161290,0.129032,0.201613,0.225806,0.282258,1.428571,1.230769,1.923077,1.647059,2.500000
sub-02766b54,0.333333,0.266667,0.200000,0.066667,0.133333,2.352941,2.133333,1.846154,1.142857,1.600000
sub-03498ade,0.339623,0.358491,0.132075,0.075472,0.094340,2.400000,2.375000,1.750000,1.333333,1.000000
sub-03656bd1,0.198198,0.162162,0.261261,0.162162,0.216216,1.692308,1.800000,1.933333,1.384615,1.600000
sub-038704e3,0.212121,0.212121,0.262626,0.202020,0.111111,1.750000,1.750000,1.625000,1.538462,1.571429
sub-041ba06b,0.230769,0.109890,0.230769,0.197802,0.230769,1.615385,1.111111,1.500000,1.125000,1.500000
sub-04286c2c,0.141026,0.115385,0.243590,0.179487,0.320513,1.571429,1.125000,1.461538,1.555556,1.562500
sub-043cc212,0.157895,0.149123,0.228070,0.201754,0.263158,1.636364,1.888889,1.857143,1.642857,1.500000
sub-044c7174,0.222222,0.222222,0.292929,0.202020,0.060606,1.466667,1.833333,2.416667,1.818182,1.200000
sub-04bd6324,0.084507,0.042254,0.323944,0.211268,0.338028,1.000000,1.000000,1.916667,1.875000,1.846154
sub-04d04ea4,0.262712,0.262712,0.135593,0.152542,0.186441,2.066667,2.818182,2.285714,1.636364,1.833333
sub-04d27e60,0.271186,0.211864,0.169492,0.186441,0.161017,1.684211,2.083333,1.538462,1.833333,1.187500
sub-04ea294f,0.173913,0.208696,0.234783,0.191304,0.191304,1.428571,1.600000,1.687500,1.692308,1.692308
sub-04f4d53b,0.233333,0.266667,0.083333,0.200000,0.216667,1.555556,1.230769,1.000000,1.000000,1.181818
sub-051d443a,0.209524,0.171429,0.238095,0.161905,0.219048,2.000000,1.800000,1.666667,1.700000,1.352941
sub-053f994f,0.223214,0.250000,0.196429,0.178571,0.151786,2.083333,2.000000,2.000000,1.250000,1.700000
sub-05462a0a,0.163265,0.224490,0.265306,0.204082,0.142857,1.142857,1.222222,1.083333,1.111111,1.000000
sub-05a3dcd8,0.214876,0.148760,0.247934,0.206612,0.181818,1.625000,1.800000,2.000000,1.785714,1.466667
sub-05e2a0c1,0.130081,0.130081,0.268293,0.260163,0.211382,1.600000,1.600000,1.941176,2.461538,2.166667
sub-06049101,0.296000,0.288000,0.160000,0.096000,0.160000,2.642857,2.117647,1.428571,1.500000,1.538462
sub-06247dd4,0.304348,0.278261,0.182609,0.078261,0.156522,2.058824,2.666667,1.750000,1.285714,1.500000
sub-062c0d92,0.305085,0.305085,0.186441,0.050847,0.152542,1.384615,1.800000,1.375000,1.000000,1.000000
sub-067ed1e5,0.204918,0.172131,0.278689,0.172131,0.172131,1.785714,1.750000,2.000000,1.500000,1.500000
sub-0681fe30,0.085470,0.094017,0.333333,0.316239,0.170940,1.250000,1.375000,2.166667,1.947368,1.538462
sub-0690e761,0.163934,0.204918,0.213115,0.229508,0.188525,1.818182,1.785714,2.000000,1.647059,1.642857
sub-069d0b5c,0.105691,0.130081,0.382114,0.300813,0.081301,1.625000,1.454545,3.133333,2.312500,1.428571
sub-06ef0422,0.113636,0.090909,0.204545,0.340909,0.250000,1.000000,1.000000,1.500000,1.250000,1.222222
sub-06fd436c,0.255814,0.232558,0.209302,0.162791,0.139535,1.100000,1.000000,1.285714,1.166667,1.000000
sub-0702da0a,0.176000,0.240000,0.200000,0.184000,0.200000,1.571429,2.000000,1.388889,1.533333,1.785714
sub-07132b4d,0.301075,0.279570,0.107527,0.107527,0.204301,2.000000,1.733333,1.428571,1.111111,1.583333
sub-07286fe3,0.188525,0.180328,0.229508,0.155738,0.245902,1.210526,1.833333,1.473684,1.461538,1.875000
sub-07639182,0.277311,0.260504,0.151261,0.201681,0.109244,2.062500,1.722222,1.500000,1.846154,1.444444
sub-078c1f13,0.317073,0.243902,0.085366,0.207317,0.146341,2.000000,1.818182,1.000000,1.545455,1.200000
sub-07bb0c3d,0.272727,0.231405,0.157025,0.181818,0.157025,2.062500,1.866667,2.111111,2.200000,1.461538
sub-07bfc1d0,0.179487,0.166667,0.256410,0.256410,0.141026,1.166667,1.181818,1.538462,1.818182,1.222222
sub-07f81fd1,0.330645,0.282258,0.120968,0.120968,0.145161,2.157895,2.058824,1.666667,1.363636,1.500000
sub-08211a03,0.073171,0.048780,0.390244,0.219512,0.268293,1.000000,1.000000,1.066667,1.125000,1.222222
sub-082bf2e9,0.136364,0.190909,0.109091,0.263636,0.300000,1.666667,2.333333,1.200000,2.071429,1.736842
sub-0841801f,0.343750,0.281250,0.156250,0.135417,0.083333,2.357143,2.250000,1.250000,1.300000,1.600000
sub-0843ac34,0.111111,0.194444,0.268519,0.175926,0.250000,1.200000,1.750000,2.071429,1.583333,1.588235
sub-0861ebb9,0.241935,0.250000,0.137097,0.169355,0.201613,1.666667,1.937500,1.307692,1.500000,2.500000
sub-086ce387,0.336449,0.242991,0.140187,0.158879,0.121495,1.894737,1.857143,2.142857,1.416667,1.444444
sub-08c17ce3,0.219512,0.170732,0.317073,0.121951,0.170732,1.000000,1.000000,1.000000,1.000000,1.166667
sub-08cdf957,0.340909,0.318182,0.068182,0.181818,0.090909,1.500000,1.166667,1.000000,1.142857,1.000000
sub-08e73149,0.195652,0.195652,0.260870,0.228261,0.119565,1.636364,1.636364,1.846154,1.750000,1.222222
