ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-000480a3,0.260000,0.380000,0.120000,0.100000,0.140000,1.083333,1.900000,1.000000,1.250000,1.400000
sub-002144a4,0.327434,0.309735,0.106195,0.123894,0.132743,1.947368,2.500000,1.200000,1.272727,1.666667
sub-0062f44f,0.236364,0.254545,0.272727,0.145455,0.090909,1.444444,1.400000,1.153846,1.333333,1.000000
sub-007a1aa0,0.261905,0.190476,0.261905,0.047619,0.238095,1.222222,1.142857,1.100000,1.000000,1.111111
sub-00ae171b,0.311321,0.386792,0.084906,0.094340,0.122642,1.941176,1.952381,1.125000,1.250000,1.300000
sub-01134d21,0.290323,0.279570,0.182796,0.053763,0.193548,2.076923,1.733333,1.700000,1.000000,1.800000
sub-01218f8b,0.287037,0.222222,0.129630,0.212963,0.148148,2.214286,1.714286,1.166667,1.533333,1.230769
sub-01511781,0.275229,0.256881,0.174312,0.220183,0.073394,2.000000,2.333333,1.266667,1.714286,1.333333
sub-0171efa5,0.215054,0.301075,0.129032,0.150538,0.204301,1.538462,2.000000,1.200000,1.555556,1.357143
sub-01cadbe4,0.275862,0.275862,0.103448,0.160920,0.183908,1.714286,1.263158,1.285714,1.400000,1.600000
sub-01f9b016,0.213675,0.222222,0.205128,0.213675,0.145299,2.083333,2.363636,1.600000,1.785714,2.125000
sub-027054b4,0.258065,0.201613,0.145161,0.274194,0.120968,2.000000,1.923077,1.500000,2.000000,1.363636
sub-02766b54,0.350000,0.300000,0.158333,0.125000,0.066667,2.000000,2.571429,1.461538,1.250000,1.000000
sub-03498ade,0.207547,0.207547,0.235849,0.235849,0.113208,2.444444,1.466667,1.666667,1.470588,1.333333
sub-03656bd1,0.279279,0.315315,0.126126,0.144144,0.135135,1.937500,2.058824,1.400000,1.333333,1.500000
sub-038704e3,0.272727,0.242424,0.141414,0.191919,0.151515,2.076923,1.846154,1.272727,1.461538,1.500000
sub-041ba06b,0.142857,0.164835,0.252747,0.274725,0.164835,1.181818,1.250000,1.533333,1.923077,1.500000
sub-04286c2c,0.179487,0.269231,0.205128,0.217949,0.128205,1.400000,1.615385,1.454545,1.545455,1.111111
sub-043cc212,0.289474,0.333333,0.114035,0.149123,0.114035,2.357143,2.375000,1.300000,1.307692,1.444444
sub-044c7174,0.303030,0.262626,0.101010,0.202020,0.131313,1.666667,1.857143,1.250000,1.538462,1.444444
sub-04bd6324,0.154930,0.126761,0.281690,0.295775,0.140845,1.100000,1.285714,1.250000,1.615385,1.428571
sub-04d04ea4,0.305085,0.305085,0.161017,0.152542,0.076271,2.250000,2.250000,1.727273,1.384615,1.125000
sub-04d27e60,0.347458,0.347458,0.042373,0.110169,0.152542,2.157895,2.562500,1.000000,1.625000,1.200000
sub-04ea294f,0.321739,0.356522,0.078261,0.069565,0.173913,2.312500,2.157895,1.000000,1.142857,1.428571
sub-04f4d53b,0.116667,0.216667,0.216667,0.250000,0.200000,1.166667,1.083333,1.181818,1.500000,1.090909
sub-051d443a,0.171429,0.171429,0.219048,0.276190,0.161905,1.384615,1.636364,1.642857,1.705882,1.416667
sub-053f994f,0.383929,0.339286,0.089286,0.044643,0.142857,2.687500,2.714286,1.428571,1.000000,1.600000
sub-05462a0a,0.306122,0.346939,0.102041,0.061224,0.183673,1.500000,1.888889,1.000000,1.000000,1.285714
sub-05a3dcd8,0.165289,0.165289,0.173554,0.206612,0.289256,1.250000,2.000000,1.312500,1.666667,2.058824
sub-05e2a0c1,0.162602,0.130081,0.186992,0.195122,0.325203,1.818182,1.454545,1.916667,1.600000,2.666667
sub-06049101,0.272000,0.240000,0.184000,0.208000,0.096000,1.789474,2.500000,2.090909,1.529412,1.200000
sub-06247dd4,0.260870,0.208696,0.252174,0.234783,0.043478,2.142857,1.500000,1.526316,1.500000,1.250000
sub-062c0d92,0.271186,0.305085,0.186441,0.084746,0.152542,1.333333,1.636364,1.000000,1.000000,1.125000
sub-067ed1e5,0.188525,0.213115,0.172131,0.180328,0.245902,1.916667,1.625000,1.400000,1.692308,1.578947
sub-0681fe30,0.299145,0.282051,0.153846,0.102564,0.162393,2.500000,2.200000,1.285714,1.500000,1.461538
sub-0690e761,0.188525,0.311475,0.155738,0.163934,0.180328,2.090909,2.375000,1.583333,1.666667,1.692308
sub-069d0b5c,0.349593,0.268293,0.121951,0.065041,0.195122,3.307692,2.357143,1.250000,1.333333,1.846154
sub-06ef0422,0.227273,0.250000,0.136364,0.272727,0.113636,1.111111,1.100000,1.000000,1.200000,1.000000
sub-06fd436c,0.162791,0.139535,0.255814,0.302326,0.139535,1.166667,1.000000,1.000000,1.181818,1.000000
sub-0702da0a,0.208000,0.216000,0.208000,0.208000,0.160000,1.733333,1.421053,1.529412,1.529412,1.333333
sub-07132b4d,0.322581,0.354839,0.075269,0.118280,0.129032,1.875000,2.062500,1.000000,1.222222,1.333333
sub-07286fe3,0.172131,0.221311,0.229508,0.278689,0.098361,1.500000,1.800000,1.750000,1.789474,2.000000
sub-07639182,0.151261,0.201681,0.252101,0.226891,0.168067,1.800000,1.500000,1.578947,1.588235,1.538462
sub-078c1f13,0.304878,0.256098,0.256098,0.097561,0.085366,2.272727,1.615385,1.909091,1.142857,1.166667
sub-07bb0c3d,0.289256,0.264463,0.198347,0.132231,0.115702,2.333333,2.000000,1.500000,1.333333,1.555556
sub-07bfc1d0,0.166667,0.230769,0.179487,0.115385,0.307692,1.083333,1.500000,1.555556,1.000000,1.500000
sub-07f81fd1,0.322581,0.290323,0.137097,0.185484,0.064516,2.105263,2.250000,1.214286,1.642857,1.333333
sub-08211a03,0.097561,0.097561,0.268293,0.170732,0.365854,1.000000,1.000000,1.100000,1.000000,1.153846
sub-082bf2e9,0.290909,0.254545,0.163636,0.200000,0.090909,2.000000,1.866667,1.500000,1.571429,1.666667
sub-0841801f,0.375000,0.333333,0.093750,0.114583,0.083333,2.250000,2.461538,1.285714,1.222222,1.000000
sub-0843ac34,0.175926,0.185185,0.231481,0.268519,0.138889,1.461538,1.666667,1.785714,1.933333,1.500000
sub-0861ebb9,0.217742,0.290323,0.120968,0.169355,0.201613,1.687500,2.117647,1.250000,1.500000,1.923077
sub-086ce387,0.252336,0.205607,0.214953,0.233645,0.093458,2.076923,1.833333,2.090909,1.785714,1.000000
sub-08c17ce3,0.292683,0.195122,0.219512,0.146341,0.146341,1.200000,1.000000,1.125000,1.200000,1.000000
sub-08cdf957,0.386364,0.272727,0.068182,0.181818,0.090909,1.416667,1.200000,1.000000,2.000000,1.000000
sub-08e73149,0.380435,0.326087,0.054348,0.032609,0.206522,2.058824,2.307692,1.250000,1.500000,1.583333
sub-08f20006,0.264151,0.207547,0.169811,0.132075,0.226415,1.647059,1.571429,1.125000,1.555556,1.500000
sub-0905ef5f,0.209091,0.181818,0.254545,0.236364,0.118182,1.916667,1.428571,1.400000,1.444444,1.083333
sub-0905f56e,0.266667,0.291667,0.158333,0.158333,0.125000,1.882353,1.944444,1.266667,1.266667,1.500000
sub-091dc9fd,0.362069,0.267241,0.112069,0.086207,0.172414,2.625000,2.066667,1.625000,1.666667,1.666667
sub-094333f4,0.220339,0.228814,0.161017,0.177966,0.211864,1.857143,2.454545,1.727273,1.500000,1.562500
sub-0951b084,0.211538,0.125000,0.182692,0.192308,0.288462,1.466667,1.300000,1.461538,1.538462,2.000000
sub-0967cdf4,0.279070,0.325581,0.069767,0.139535,0.186047,1.200000,1.272727,1.000000,1.000000,1.000000
sub-09ab4ffe,0.263636,0.272727,0.081818,0.163636,0.218182,2.230769,2.000000,1.000000,1.200000,2.181818
sub-09b2bd27,0.221311,0.295082,0.147541,0.188525,0.147541,2.076923,2.117647,2.000000,1.533333,1.384615
sub-0a01b9d9,0.225806,0.185484,0.153226,0.201613,0.233871,2.153846,1.769231,1.900000,2.083333,2.416667
sub-0a04e1f3,0.291667,0.302083,0.135417,0.145833,0.125000,1.750000,1.705882,1.300000,1.272727,1.500000
sub-0a0df5f6,0.115044,0.141593,0.292035,0.292035,0.159292,1.300000,1.454545,1.833333,1.571429,1.636364
sub-0a588feb,0.222222,0.239316,0.188034,0.145299,0.205128,1.733333,2.000000,1.571429,1.416667,1.500000
sub-0a6b75dd,0.227723,0.247525,0.188119,0.148515,0.188119,2.090909,1.785714,1.461538,1.500000,1.727273
sub-0a6d3b93,0.310924,0.361345,0.109244,0.058824,0.159664,2.466667,2.529412,1.181818,1.000000,1.461538
sub-0a9fe617,0.276190,0.314286,0.114286,0.066667,0.228571,1.450000,2.062500,1.714286,1.166667,1.411765
sub-0aab6c55,0.317073,0.292683,0.130081,0.130081,0.130081,1.950000,1.714286,1.333333,1.333333,1.333333
sub-0b30ae22,0.106383,0.191489,0.340426,0.297872,0.063830,1.000000,1.125000,1.230769,1.272727,1.000000
sub-0b54ebaf,0.361111,0.351852,0.055556,0.111111,0.120370,2.294118,2.923077,1.200000,1.333333,1.857143
sub-0bdfa1cf,0.285714,0.255102,0.102041,0.183673,0.173469,1.647059,1.666667,1.250000,1.636364,1.307692
sub-0c04b9df,0.098901,0.076923,0.252747,0.307692,0.263736,1.285714,1.166667,1.642857,1.750000,1.846154
sub-0c7bad92,0.254717,0.226415,0.207547,0.207547,0.103774,2.076923,1.600000,1.692308,1.466667,1.222222
sub-0c8924f1,0.186275,0.176471,0.245098,0.215686,0.176471,1.900000,1.800000,1.785714,1.833333,1.636364
sub-0cb28382,0.272000,0.192000,0.056000,0.216000,0.264000,1.888889,2.000000,1.166667,1.800000,2.200000
sub-0d76c045,0.241935,0.290323,0.201613,0.177419,0.088710,2.142857,2.117647,1.923077,1.692308,1.375000
sub-0d8c474d,0.104000,0.096000,0.304000,0.384000,0.112000,1.181818,1.500000,2.000000,2.666667,1.750000
sub-0dab4f8e,0.164179,0.268657,0.179104,0.149254,0.238806,1.100000,1.384615,1.090909,1.000000,1.333333
sub-0dc3f19e,0.166667,0.121212,0.196970,0.242424,0.272727,1.100000,1.000000,1.083333,1.333333,1.800000
sub-0e220281,0.085106,0.117021,0.340426,0.340426,0.117021,1.142857,1.222222,1.777778,1.777778,1.100000
sub-0e37dd14,0.388235,0.341176,0.082353,0.117647,0.070588,2.062500,2.071429,1.000000,1.250000,1.200000
sub-0e38a13d,0.360656,0.344262,0.081967,0.098361,0.114754,2.750000,2.210526,1.428571,1.200000,1.166667
sub-0e791afe,0.210000,0.250000,0.250000,0.210000,0.080000,1.500000,1.666667,1.388889,1.500000,1.333333
sub-0e8e98ef,0.250000,0.189655,0.181034,0.215517,0.163793,1.933333,1.571429,1.312500,1.388889,1.266667
sub-0ece6939,0.245763,0.228814,0.194915,0.211864,0.118644,1.705882,1.421053,1.352941,2.083333,1.555556
