ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-000480a3,0.340000,0.320000,0.160000,0.140000,0.040000,1.545455,1.333333,1.000000,1.400000,1.000000
sub-002144a4,0.292035,0.292035,0.168142,0.141593,0.106195,1.941176,1.941176,1.727273,2.000000,1.500000
sub-0062f44f,0.218182,0.218182,0.236364,0.054545,0.272727,1.333333,1.200000,1.300000,1.000000,1.153846
sub-007a1aa0,0.238095,0.285714,0.190476,0.190476,0.095238,1.111111,1.200000,1.000000,1.142857,1.000000
sub-00ae171b,0.349057,0.330189,0.084906,0.094340,0.141509,2.055556,2.187500,1.500000,1.000000,1.153846
sub-01134d21,0.150538,0.096774,0.344086,0.236559,0.172043,1.555556,1.285714,2.285714,1.571429,1.600000
sub-01218f8b,0.268519,0.259259,0.166667,0.185185,0.120370,1.933333,1.750000,1.285714,1.250000,1.083333
sub-01511781,0.266055,0.311927,0.183486,0.119266,0.119266,2.416667,2.266667,1.333333,1.444444,1.625000
sub-0171efa5,0.279570,0.215054,0.150538,0.236559,0.118280,1.733333,1.666667,1.272727,1.833333,1.375000
sub-01cadbe4,0.252874,0.275862,0.183908,0.149425,0.137931,1.833333,1.714286,1.600000,1.444444,1.200000
sub-01f9b016,0.170940,0.128205,0.290598,0.145299,0.264957,1.818182,1.666667,2.428571,1.888889,2.384615
sub-027054b4,0.266129,0.233871,0.217742,0.193548,0.088710,1.941176,1.526316,1.687500,1.600000,1.375000
sub-02766b54,0.266667,0.300000,0.133333,0.133333,0.166667,2.666667,2.571429,1.454545,1.454545,1.818182
sub-03498ade,0.339623,0.311321,0.132075,0.094340,0.122642,2.250000,2.538462,1.555556,1.250000,1.625000
sub-03656bd1,0.216216,0.261261,0.162162,0.216216,0.144144,1.846154,1.812500,1.125000,1.714286,1.454545
sub-038704e3,0.212121,0.252525,0.171717,0.131313,0.232323,1.909091,1.785714,1.214286,1.444444,1.352941
sub-041ba06b,0.219780,0.197802,0.263736,0.131868,0.186813,1.250000,1.500000,1.333333,1.333333,1.307692
sub-04286c2c,0.153846,0.192308,0.192308,0.256410,0.205128,1.333333,1.363636,1.363636,1.176471,1.142857
sub-043cc212,0.228070,0.131579,0.263158,0.228070,0.149123,1.529412,1.363636,1.500000,1.444444,1.416667
sub-044c7174,0.242424,0.242424,0.202020,0.121212,0.191919,1.846154,1.411765,2.000000,1.333333,1.900000
sub-04bd6324,0.084507,0.126761,0.211268,0.338028,0.239437,1.000000,1.000000,1.666667,1.500000,1.416667
sub-04d04ea4,0.271186,0.254237,0.161017,0.135593,0.177966,2.461538,2.307692,1.357143,1.333333,2.100000
sub-04d27e60,0.237288,0.313559,0.203390,0.161017,0.084746,2.545455,2.466667,1.600000,1.357143,1.428571
sub-04ea294f,0.304348,0.252174,0.113043,0.173913,0.156522,1.944444,1.705882,1.300000,1.428571,1.500000
sub-04f4d53b,0.266667,0.316667,0.166667,0.200000,0.050000,1.333333,1.727273,1.000000,1.333333,1.000000
sub-051d443a,0.228571,0.219048,0.200000,0.142857,0.209524,1.846154,1.769231,1.500000,1.250000,1.375000
sub-053f994f,0.276786,0.258929,0.125000,0.214286,0.125000,2.384615,2.071429,1.400000,2.181818,1.555556
sub-05462a0a,0.244898,0.163265,0.183673,0.102041,0.306122,1.333333,1.142857,1.125000,1.000000,1.250000
sub-05a3dcd8,0.140496,0.247934,0.198347,0.157025,0.256198,2.125000,2.000000,2.181818,1.900000,2.583333
sub-05e2a0c1,0.170732,0.146341,0.292683,0.146341,0.243902,1.500000,1.500000,2.400000,1.800000,2.727273
sub-06049101,0.344000,0.320000,0.104000,0.128000,0.104000,3.071429,2.500000,1.625000,1.142857,1.300000
sub-06247dd4,0.304348,0.356522,0.086957,0.121739,0.130435,2.692308,2.733333,1.666667,1.750000,1.363636
sub-062c0d92,0.322034,0.338983,0.101695,0.118644,0.118644,1.461538,1.333333,1.200000,1.000000,1.000000
sub-067ed1e5,0.303279,0.237705,0.163934,0.139344,0.155738,2.312500,1.933333,1.818182,1.888889,1.727273
sub-0681fe30,0.136752,0.188034,0.299145,0.128205,0.247863,1.777778,1.692308,2.692308,1.153846,1.705882
sub-0690e761,0.180328,0.163934,0.254098,0.196721,0.204918,1.692308,2.222222,1.722222,1.714286,2.083333
sub-069d0b5c,0.130081,0.097561,0.219512,0.235772,0.317073,1.454545,2.000000,2.076923,2.071429,2.437500
sub-06ef0422,0.181818,0.159091,0.250000,0.227273,0.181818,1.000000,1.000000,1.100000,1.111111,1.333333
sub-06fd436c,0.279070,0.279070,0.162791,0.069767,0.209302,1.090909,1.200000,1.166667,1.000000,1.500000
sub-0702da0a,0.240000,0.256000,0.144000,0.152000,0.208000,1.764706,1.882353,1.500000,1.357143,1.625000
sub-07132b4d,0.333333,0.344086,0.096774,0.129032,0.096774,1.823529,2.133333,1.285714,1.200000,1.500000
sub-07286fe3,0.229508,0.237705,0.147541,0.196721,0.188525,2.153846,1.812500,1.500000,1.714286,1.437500
sub-07639182,0.235294,0.235294,0.235294,0.151261,0.142857,1.647059,1.750000,2.000000,1.285714,1.888889
sub-078c1f13,0.268293,0.317073,0.182927,0.121951,0.109756,1.692308,1.625000,1.666667,1.111111,1.285714
sub-07bb0c3d,0.289256,0.280992,0.165289,0.090909,0.173554,2.916667,2.428571,1.666667,1.222222,2.625000
sub-07bfc1d0,0.179487,0.205128,0.256410,0.128205,0.230769,1.272727,1.142857,1.428571,1.000000,1.500000
sub-07f81fd1,0.266129,0.346774,0.137097,0.120968,0.129032,2.200000,2.529412,1.545455,1.250000,1.454545
sub-08211a03,0.170732,0.170732,0.219512,0.170732,0.268293,1.000000,1.000000,1.500000,1.000000,1.000000
sub-082bf2e9,0.200000,0.181818,0.245455,0.300000,0.072727,2.200000,1.818182,1.800000,2.200000,1.000000
sub-0841801f,0.312500,0.333333,0.072917,0.197917,0.083333,2.500000,2.461538,1.400000,1.727273,1.142857
sub-0843ac34,0.268519,0.129630,0.148148,0.203704,0.250000,2.230769,1.400000,1.454545,1.571429,1.928571
sub-0861ebb9,0.290323,0.241935,0.193548,0.153226,0.120968,2.250000,1.666667,1.600000,1.583333,1.363636
sub-086ce387,0.289720,0.345794,0.130841,0.130841,0.102804,2.066667,2.176471,1.555556,1.400000,1.571429
sub-08c17ce3,0.170732,0.195122,0.195122,0.097561,0.341463,1.000000,1.000000,1.000000,1.000000,1.076923
sub-08cdf957,0.340909,0.340909,0.181818,0.113636,0.022727,1.153846,1.250000,1.142857,1.000000,1.000000
sub-08e73149,0.195652,0.195652,0.293478,0.086957,0.228261,1.500000,1.800000,1.800000,1.333333,1.750000
sub-08f20006,0.235849,0.245283,0.235849,0.216981,0.066038,1.470588,2.000000,1.470588,1.533333,1.750000
sub-0905ef5f,0.154545,0.172727,0.236364,0.272727,0.163636,1.307692,1.727273,1.733333,2.500000,1.800000
sub-0905f56e,0.250000,0.250000,0.158333,0.191667,0.150000,1.666667,2.000000,1.583333,1.533333,1.636364
sub-091dc9fd,0.163793,0.275862,0.267241,0.146552,0.146552,1.727273,2.133333,1.937500,1.214286,1.700000
sub-094333f4,0.135593,0.127119,0.372881,0.101695,0.262712,1.333333,1.363636,2.200000,1.200000,1.937500
sub-0951b084,0.298077,0.259615,0.144231,0.115385,0.182692,1.937500,1.588235,1.666667,1.714286,1.461538
sub-0967cdf4,0.302326,0.279070,0.093023,0.232558,0.093023,1.083333,1.200000,1.000000,1.111111,1.000000
sub-09ab4ffe,0.245455,0.209091,0.172727,0.145455,0.227273,1.800000,2.090909,1.583333,1.454545,1.562500
sub-09b2bd27,0.221311,0.204918,0.270492,0.073770,0.229508,1.928571,1.785714,2.200000,1.285714,1.866667
sub-0a01b9d9,0.258065,0.306452,0.129032,0.169355,0.137097,1.882353,2.714286,2.000000,1.615385,1.700000
sub-0a04e1f3,0.312500,0.239583,0.187500,0.145833,0.114583,1.500000,1.769231,1.200000,1.400000,1.222222
