ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-000480a3,0.400000,0.384000,0.096000,0.096000,0.024000,2.380952,2.285714,1.333333,1.000000,1.000000
sub-002144a4,0.264000,0.248000,0.208000,0.200000,0.080000,1.833333,1.823529,1.625000,1.666667,1.250000
sub-003cb60d,0.344000,0.328000,0.144000,0.112000,0.072000,2.047619,2.733333,1.500000,1.555556,1.125000
sub-0062f44f,0.280000,0.352000,0.168000,0.176000,0.024000,1.750000,1.760000,1.750000,1.375000,1.000000
sub-007a1aa0,0.288000,0.208000,0.168000,0.152000,0.184000,1.894737,1.733333,1.615385,1.461538,1.437500
sub-00ae171b,0.352000,0.344000,0.120000,0.056000,0.128000,2.000000,2.263158,1.500000,1.400000,1.777778
sub-00b753fd,0.184000,0.160000,0.344000,0.272000,0.040000,1.437500,1.333333,1.954545,2.000000,1.250000
sub-01134d21,0.256000,0.272000,0.208000,0.168000,0.096000,1.600000,1.888889,1.238095,1.400000,1.200000
sub-01218f8b,0.392000,0.352000,0.000000,0.024000,0.232000,2.130435,1.913043,NaN,1.000000,1.611111
sub-01511781,0.440000,0.376000,0.040000,0.056000,0.088000,2.750000,2.350000,1.000000,1.000000,1.100000
sub-0171efa5,0.184000,0.248000,0.280000,0.272000,0.016000,1.533333,2.066667,2.187500,1.789474,1.000000
sub-01cadbe4,0.256000,0.208000,0.192000,0.168000,0.176000,2.285714,1.529412,1.846154,2.100000,1.375000
sub-01f9b016,0.272000,0.112000,0.176000,0.104000,0.336000,1.700000,1.272727,1.466667,1.444444,1.909091
sub-027054b4,0.264000,0.296000,0.192000,0.232000,0.016000,1.833333,2.055556,1.714286,1.611111,1.000000
sub-02766b54,0.232000,0.288000,0.232000,0.168000,0.080000,1.450000,2.000000,1.705882,1.312500,1.111111
sub-03498ade,0.264000,0.224000,0.192000,0.176000,0.144000,2.062500,1.647059,1.411765,1.466667,1.384615
sub-03656bd1,0.128000,0.168000,0.336000,0.336000,0.032000,1.230769,1.615385,2.210526,2.800000,1.000000
sub-038704e3,0.408000,0.352000,0.072000,0.080000,0.088000,1.961538,1.692308,1.125000,1.111111,1.000000
sub-03af5f2c,0.224000,0.216000,0.248000,0.240000,0.072000,1.647059,1.800000,1.937500,1.666667,1.500000
sub-041ba06b,0.016000,0.048000,0.432000,0.496000,0.008000,1.000000,1.200000,2.842105,2.695652,1.000000
sub-04286c2c,0.224000,0.168000,0.232000,0.312000,0.064000,1.400000,1.400000,1.611111,1.695652,1.000000
sub-043cc212,0.304000,0.320000,0.160000,0.096000,0.120000,1.583333,1.600000,1.538462,1.200000,1.000000
sub-044c7174,0.400000,0.368000,0.048000,0.040000,0.144000,2.173913,1.840000,1.200000,1.000000,1.285714
sub-044d8e58,0.192000,0.176000,0.264000,0.248000,0.120000,1.600000,2.000000,1.941176,1.550000,1.153846
sub-04bd6324,0.136000,0.104000,0.368000,0.360000,0.032000,1.416667,1.444444,2.000000,2.250000,1.000000
sub-04d04ea4,0.344000,0.320000,0.112000,0.136000,0.088000,2.687500,2.000000,2.000000,1.307692,1.571429
sub-04d27e60,0.240000,0.296000,0.192000,0.176000,0.096000,1.500000,1.761905,1.411765,1.375000,1.333333
sub-04ea294f,0.280000,0.280000,0.192000,0.208000,0.040000,1.842105,2.187500,1.600000,1.733333,1.000000
sub-04f4d53b,0.112000,0.128000,0.352000,0.336000,0.072000,1.555556,1.066667,1.760000,1.826087,1.125000
sub-051d443a,0.256000,0.256000,0.168000,0.200000,0.120000,1.600000,1.882353,1.400000,1.470588,1.153846
sub-053f994f,0.384000,0.384000,0.112000,0.096000,0.024000,2.526316,2.526316,1.400000,1.090909,1.000000
sub-05462a0a,0.256000,0.208000,0.272000,0.232000,0.032000,1.882353,1.733333,1.700000,2.416667,1.000000
sub-05a3dcd8,0.264000,0.272000,0.240000,0.200000,0.024000,1.650000,1.545455,1.666667,1.470588,1.000000
sub-05e2a0c1,0.240000,0.144000,0.256000,0.208000,0.152000,1.500000,1.500000,1.600000,1.625000,1.357143
sub-06049101,0.184000,0.216000,0.288000,0.288000,0.024000,1.352941,1.285714,1.500000,1.500000,1.000000
sub-06247dd4,0.256000,0.200000,0.256000,0.192000,0.096000,1.600000,1.666667,1.523810,1.411765,1.200000
sub-062c0d92,0.184000,0.136000,0.296000,0.272000,0.112000,1.642857,1.888889,1.761905,2.125000,1.400000
sub-067ed1e5,0.376000,0.368000,0.096000,0.128000,0.032000,2.238095,2.300000,1.090909,1.454545,1.000000
sub-0681fe30,0.240000,0.168000,0.272000,0.256000,0.064000,1.764706,1.500000,1.789474,1.777778,1.142857
sub-0690e761,0.264000,0.208000,0.192000,0.168000,0.168000,1.650000,1.444444,1.600000,1.400000,1.400000
sub-069d0b5c,0.368000,0.440000,0.096000,0.072000,0.024000,2.190476,2.291667,1.333333,1.000000,1.000000
sub-06ef0422,0.128000,0.208000,0.304000,0.288000,0.072000,1.333333,1.625000,2.000000,2.000000,1.125000
sub-06fd436c,0.344000,0.320000,0.152000,0.144000,0.040000,2.388889,2.500000,1.461538,1.500000,1.000000
sub-06ff4616,0.216000,0.304000,0.224000,0.168000,0.088000,1.800000,2.111111,1.750000,1.615385,1.222222
sub-0702da0a,0.432000,0.352000,0.040000,0.048000,0.128000,2.076923,1.913043,1.000000,1.000000,1.066667
sub-07132b4d,0.168000,0.192000,0.288000,0.256000,0.096000,1.400000,1.600000,1.714286,1.684211,1.200000
sub-07286fe3,0.232000,0.160000,0.264000,0.152000,0.192000,1.611111,1.333333,2.062500,1.266667,1.600000
sub-07639182,0.160000,0.168000,0.288000,0.320000,0.064000,1.176471,1.235294,1.894737,1.904762,1.000000
sub-07808766,0.248000,0.232000,0.176000,0.192000,0.152000,1.631579,1.526316,1.571429,1.500000,1.187500
sub-078c1f13,0.104000,0.096000,0.296000,0.312000,0.192000,1.083333,1.200000,1.681818,2.600000,1.500000
sub-07bb0c3d,0.272000,0.280000,0.160000,0.120000,0.168000,2.000000,2.058824,1.666667,1.875000,1.615385
sub-07bfc1d0,0.264000,0.256000,0.240000,0.216000,0.024000,1.736842,1.777778,1.578947,1.421053,1.000000
sub-07f81fd1,0.408000,0.312000,0.104000,0.080000,0.096000,2.040000,1.857143,1.300000,1.000000,1.200000
sub-08211a03,0.232000,0.184000,0.232000,0.216000,0.136000,1.611111,1.352941,1.611111,1.421053,1.133333
sub-082bf2e9,0.176000,0.200000,0.264000,0.240000,0.120000,1.375000,1.250000,1.500000,1.500000,1.500000
sub-0841801f,0.248000,0.216000,0.240000,0.184000,0.112000,1.937500,2.076923,1.764706,1.916667,1.400000
sub-0843ac34,0.272000,0.336000,0.080000,0.072000,0.240000,1.545455,1.615385,1.111111,1.125000,1.428571
sub-0861ebb9,0.296000,0.272000,0.136000,0.200000,0.096000,1.761905,1.700000,1.133333,1.470588,1.714286
sub-086ce387,0.216000,0.192000,0.192000,0.192000,0.208000,1.800000,1.263158,1.333333,1.333333,1.368421
sub-08c17ce3,0.272000,0.240000,0.128000,0.104000,0.256000,1.700000,1.764706,1.142857,1.000000,1.882353
sub-08cdf957,0.280000,0.160000,0.176000,0.192000,0.192000,2.058824,1.666667,1.571429,1.333333,1.263158
sub-08e73149,0.240000,0.184000,0.256000,0.216000,0.104000,1.578947,1.277778,1.684211,1.588235,1.444444
sub-08e7cf1f,0.304000,0.336000,0.184000,0.128000,0.048000,2.111111,1.826087,1.642857,1.777778,1.000000
sub-08f20006,0.232000,0.312000,0.208000,0.192000,0.056000,1.933333,2.437500,1.444444,1.500000,1.000000
sub-0905ef5f,0.400000,0.368000,0.064000,0.088000,0.080000,2.380952,2.000000,1.142857,1.222222,1.250000
sub-0905f56e,0.280000,0.280000,0.232000,0.176000,0.032000,1.842105,1.666667,1.611111,1.375000,1.000000
sub-091dc9fd,0.320000,0.240000,0.152000,0.160000,0.128000,1.600000,1.578947,1.266667,1.176471,1.333333
sub-094333f4,0.288000,0.272000,0.176000,0.184000,0.080000,1.894737,1.619048,1.294118,1.352941,1.428571
sub-0951b084,0.256000,0.256000,0.224000,0.160000,0.104000,1.777778,1.684211,2.153846,1.428571,1.444444
sub-0967cdf4,0.368000,0.312000,0.120000,0.096000,0.104000,2.090909,2.052632,1.250000,1.200000,1.625000
sub-09ab4ffe,0.136000,0.136000,0.296000,0.328000,0.104000,1.416667,1.133333,1.850000,1.952381,1.000000
sub-09b2bd27,0.304000,0.320000,0.088000,0.152000,0.136000,2.000000,2.105263,1.100000,1.266667,1.214286
sub-0a01b9d9,0.256000,0.336000,0.152000,0.184000,0.072000,2.000000,2.625000,1.727273,1.642857,1.125000
sub-0a04e1f3,0.248000,0.200000,0.216000,0.200000,0.136000,1.631579,1.562500,1.421053,1.470588,1.307692
sub-0a0df5f6,0.152000,0.128000,0.336000,0.304000,0.080000,1.583333,1.777778,2.333333,2.235294,1.250000
sub-0a588feb,0.232000,0.232000,0.216000,0.240000,0.080000,1.380952,1.611111,1.800000,1.363636,1.000000
sub-0a6b75dd,0.096000,0.136000,0.328000,0.368000,0.072000,1.500000,1.416667,2.050000,2.421053,1.285714
sub-0a6d3b93,0.368000,0.272000,0.080000,0.088000,0.192000,2.300000,1.888889,1.428571,1.100000,1.411765
sub-0a9fe617,0.304000,0.272000,0.144000,0.152000,0.128000,1.809524,2.000000,1.200000,1.357143,1.454545
sub-0aab6c55,0.408000,0.368000,0.088000,0.112000,0.024000,2.684211,2.875000,1.100000,1.555556,1.000000
sub-0afca00b,0.208000,0.240000,0.200000,0.256000,0.096000,1.444444,1.666667,1.470588,2.285714,1.200000
sub-0b30ae22,0.312000,0.264000,0.136000,0.128000,0.160000,1.695652,1.736842,1.416667,1.600000,1.538462
sub-0b54ebaf,0.144000,0.184000,0.336000,0.288000,0.048000,1.285714,1.769231,2.333333,2.000000,1.000000
sub-0bdfa1cf,0.288000,0.304000,0.160000,0.104000,0.144000,1.800000,2.235294,1.428571,1.181818,1.500000
