ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-000480a3,0.232000,0.248000,0.176000,0.168000,0.176000,2.636364,2.066667,1.833333,2.333333,2.200000
sub-002144a4,0.344000,0.328000,0.112000,0.104000,0.112000,3.909091,3.153846,2.000000,1.300000,1.555556
sub-003cb60d,0.112000,0.024000,0.280000,0.376000,0.208000,2.000000,1.000000,2.916667,3.357143,2.363636
sub-0062f44f,0.312000,0.264000,0.160000,0.152000,0.112000,2.600000,3.000000,2.000000,1.900000,1.555556
sub-007a1aa0,0.240000,0.232000,0.256000,0.128000,0.144000,2.307692,1.705882,1.882353,2.000000,2.000000
sub-00ae171b,0.288000,0.312000,0.200000,0.144000,0.056000,2.000000,2.785714,1.388889,2.571429,1.400000
sub-00b753fd,0.200000,0.272000,0.184000,0.184000,0.160000,1.923077,2.615385,2.090909,1.916667,1.818182
sub-01134d21,0.200000,0.208000,0.216000,0.160000,0.216000,2.272727,2.600000,2.700000,1.428571,2.076923
sub-01218f8b,0.184000,0.200000,0.264000,0.144000,0.208000,1.769231,1.666667,2.200000,1.800000,1.857143
sub-01511781,0.208000,0.240000,0.200000,0.152000,0.200000,2.363636,2.142857,1.923077,1.727273,1.785714
sub-0171efa5,0.256000,0.264000,0.160000,0.184000,0.136000,2.666667,2.750000,2.222222,1.916667,1.700000
sub-01cadbe4,0.272000,0.304000,0.152000,0.152000,0.120000,2.615385,2.235294,1.727273,1.461538,1.500000
sub-01f9b016,0.208000,0.208000,0.232000,0.176000,0.176000,2.166667,2.363636,2.416667,2.200000,2.000000
sub-027054b4,0.280000,0.280000,0.144000,0.152000,0.144000,3.500000,2.692308,1.636364,2.375000,2.000000
sub-02766b54,0.216000,0.216000,0.144000,0.232000,0.192000,2.076923,2.454545,1.636364,2.900000,2.181818
sub-03498ade,0.280000,0.304000,0.152000,0.088000,0.176000,2.500000,3.166667,1.900000,1.222222,2.000000
sub-03656bd1,0.256000,0.248000,0.152000,0.160000,0.184000,2.461538,2.818182,2.111111,1.666667,1.916667
sub-038704e3,0.264000,0.240000,0.192000,0.184000,0.120000,1.650000,2.307692,2.181818,1.437500,2.142857
sub-03af5f2c,0.384000,0.368000,0.128000,0.056000,0.064000,3.200000,3.285714,1.600000,1.400000,1.333333
sub-041ba06b,0.112000,0.136000,0.344000,0.240000,0.168000,1.750000,1.700000,3.307692,2.727273,2.625000
sub-04286c2c,0.152000,0.136000,0.240000,0.216000,0.256000,1.727273,2.125000,2.307692,2.250000,2.461538
sub-043cc212,0.184000,0.192000,0.232000,0.280000,0.112000,2.090909,2.000000,2.636364,2.692308,1.400000
sub-044c7174,0.304000,0.240000,0.208000,0.112000,0.136000,3.166667,2.307692,2.000000,1.555556,2.428571
sub-044d8e58,0.224000,0.232000,0.192000,0.144000,0.208000,2.800000,2.416667,1.846154,1.800000,2.166667
sub-04bd6324,0.136000,0.144000,0.240000,0.288000,0.192000,2.125000,1.800000,2.307692,2.250000,2.000000
sub-04d04ea4,0.272000,0.192000,0.176000,0.144000,0.216000,3.400000,1.846154,1.833333,2.571429,3.000000
sub-04d27e60,0.280000,0.272000,0.176000,0.120000,0.152000,2.187500,2.125000,1.833333,1.875000,1.900000
sub-04ea294f,0.200000,0.216000,0.240000,0.168000,0.176000,2.272727,2.700000,2.500000,2.625000,2.444444
sub-04f4d53b,0.328000,0.312000,0.160000,0.088000,0.112000,3.416667,2.785714,1.428571,1.222222,1.555556
sub-051d443a,0.208000,0.192000,0.280000,0.128000,0.192000,1.625000,2.000000,2.058824,1.600000,2.000000
sub-053f994f,0.272000,0.224000,0.192000,0.160000,0.152000,2.615385,2.000000,2.000000,1.818182,1.727273
sub-05462a0a,0.256000,0.256000,0.144000,0.160000,0.184000,2.909091,2.133333,1.500000,2.000000,1.642857
