ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-000480a3,0.160000,0.176000,0.328000,0.200000,0.136000,1.818182,1.692308,2.411765,1.923077,2.428571
sub-002144a4,0.376000,0.352000,0.112000,0.096000,0.064000,2.764706,2.588235,1.272727,1.714286,1.600000
sub-003cb60d,0.224000,0.216000,0.176000,0.200000,0.184000,2.153846,2.454545,2.000000,1.923077,3.285714
sub-0062f44f,0.296000,0.280000,0.112000,0.136000,0.176000,2.466667,2.187500,1.555556,2.125000,1.833333
sub-007a1aa0,0.192000,0.184000,0.240000,0.256000,0.128000,2.181818,2.555556,3.000000,2.909091,2.000000
sub-00ae171b,0.176000,0.112000,0.296000,0.280000,0.136000,1.692308,1.400000,2.312500,2.333333,1.888889
sub-00b753fd,0.304000,0.344000,0.160000,0.120000,0.072000,2.111111,2.150000,1.538462,1.666667,1.285714
sub-01134d21,0.184000,0.184000,0.296000,0.224000,0.112000,2.090909,2.300000,2.846154,2.333333,1.750000
sub-01218f8b,0.168000,0.208000,0.288000,0.240000,0.096000,1.909091,1.529412,1.894737,2.727273,1.200000
sub-01511781,0.208000,0.248000,0.216000,0.192000,0.136000,1.857143,1.937500,1.588235,1.600000,1.700000
sub-0171efa5,0.264000,0.256000,0.200000,0.208000,0.072000,2.200000,2.133333,1.562500,1.625000,1.125000
sub-01cadbe4,0.296000,0.272000,0.192000,0.168000,0.072000,2.846154,2.833333,2.400000,2.625000,1.800000
sub-01f9b016,0.216000,0.176000,0.200000,0.160000,0.248000,2.076923,2.000000,2.272727,2.000000,2.583333
sub-027054b4,0.192000,0.248000,0.240000,0.264000,0.056000,1.600000,2.818182,2.307692,2.357143,1.166667
sub-02766b54,0.272000,0.216000,0.168000,0.160000,0.184000,2.266667,1.928571,1.909091,1.666667,1.916667
sub-03498ade,0.136000,0.064000,0.328000,0.336000,0.136000,2.428571,2.000000,3.727273,3.500000,1.700000
sub-03656bd1,0.400000,0.360000,0.096000,0.088000,0.056000,3.571429,2.812500,1.333333,1.571429,1.400000
sub-038704e3,0.248000,0.256000,0.160000,0.096000,0.240000,1.937500,2.133333,1.333333,1.333333,2.727273
sub-03af5f2c,0.280000,0.232000,0.200000,0.184000,0.104000,2.058824,2.230769,1.562500,2.300000,1.625000
sub-041ba06b,0.360000,0.480000,0.056000,0.064000,0.040000,4.090909,3.750000,1.000000,1.142857,1.000000
sub-04286c2c,0.200000,0.192000,0.296000,0.232000,0.080000,1.923077,2.000000,2.312500,2.071429,2.000000
sub-043cc212,0.248000,0.184000,0.160000,0.144000,0.264000,1.722222,2.090909,1.666667,1.384615,3.300000
