ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-000480a3,0.216000,0.224000,0.256000,0.232000,0.072000,1.421053,1.555556,1.882353,1.812500,1.500000
sub-002144a4,0.360000,0.408000,0.064000,0.088000,0.080000,2.250000,2.550000,1.333333,1.222222,1.111111
sub-003cb60d,0.296000,0.272000,0.208000,0.168000,0.056000,1.947368,1.789474,1.529412,1.400000,1.000000
sub-0062f44f,0.248000,0.240000,0.176000,0.128000,0.208000,1.823529,1.500000,2.200000,1.230769,1.529412
sub-007a1aa0,0.240000,0.200000,0.248000,0.248000,0.064000,1.666667,1.315789,1.722222,1.823529,1.142857
sub-00ae171b,0.136000,0.128000,0.320000,0.272000,0.144000,1.545455,1.454545,1.818182,1.545455,1.500000
sub-00b753fd,0.304000,0.320000,0.128000,0.184000,0.064000,1.727273,2.000000,1.142857,1.533333,1.142857
sub-01134d21,0.128000,0.136000,0.296000,0.296000,0.144000,1.333333,1.545455,1.681818,1.681818,1.500000
sub-01218f8b,0.144000,0.176000,0.264000,0.240000,0.176000,1.200000,1.466667,1.650000,2.000000,1.571429
sub-01511781,0.192000,0.208000,0.200000,0.248000,0.152000,1.500000,1.368421,1.666667,1.631579,1.583333
sub-0171efa5,0.208000,0.280000,0.256000,0.152000,0.104000,1.529412,2.500000,1.777778,1.266667,1.444444
sub-01cadbe4,0.304000,0.360000,0.096000,0.144000,0.096000,2.235294,2.812500,1.333333,1.384615,1.200000
sub-01f9b016,0.272000,0.336000,0.088000,0.184000,0.120000,2.125000,2.100000,1.222222,1.352941,1.363636
sub-027054b4,0.224000,0.184000,0.224000,0.280000,0.088000,1.866667,1.437500,1.866667,1.944444,1.222222
sub-02766b54,0.176000,0.152000,0.288000,0.224000,0.160000,1.692308,1.583333,1.800000,1.473684,1.538462
sub-03498ade,0.032000,0.104000,0.312000,0.280000,0.272000,1.000000,1.181818,1.950000,2.333333,1.888889
sub-03656bd1,0.256000,0.248000,0.184000,0.168000,0.144000,2.000000,1.823529,1.210526,1.500000,1.500000
sub-038704e3,0.256000,0.296000,0.160000,0.096000,0.192000,1.684211,1.850000,1.538462,1.333333,1.600000
sub-03af5f2c,0.224000,0.304000,0.136000,0.152000,0.184000,1.473684,2.000000,1.307692,1.357143,1.642857
sub-041ba06b,0.384000,0.368000,0.072000,0.128000,0.048000,2.666667,1.916667,1.000000,1.454545,1.000000
sub-04286c2c,0.200000,0.256000,0.240000,0.240000,0.064000,1.470588,1.777778,1.875000,1.363636,1.333333
sub-043cc212,0.328000,0.320000,0.128000,0.128000,0.096000,1.782609,1.818182,1.230769,1.230769,1.333333
sub-044c7174,0.152000,0.168000,0.240000,0.240000,0.200000,1.117647,1.235294,1.500000,1.500000,1.470588
sub-044d8e58,0.280000,0.312000,0.168000,0.136000,0.104000,1.944444,1.857143,1.615385,1.307692,1.625000
sub-04bd6324,0.352000,0.352000,0.112000,0.168000,0.016000,2.095238,2.315789,1.400000,1.615385,2.000000
sub-04d04ea4,0.184000,0.184000,0.200000,0.192000,0.240000,1.769231,1.916667,1.666667,1.500000,1.875000
sub-04d27e60,0.176000,0.216000,0.192000,0.128000,0.288000,1.294118,1.588235,1.500000,1.333333,2.117647
sub-04ea294f,0.328000,0.280000,0.104000,0.168000,0.120000,1.952381,1.842105,1.181818,1.615385,1.500000
sub-04f4d53b,0.352000,0.368000,0.080000,0.104000,0.096000,1.692308,2.090909,1.000000,1.444444,1.200000
sub-051d443a,0.168000,0.200000,0.232000,0.232000,0.168000,1.615385,1.470588,1.933333,2.071429,1.500000
sub-053f994f,0.168000,0.224000,0.280000,0.264000,0.064000,1.500000,2.000000,1.842105,1.833333,1.142857
sub-05462a0a,0.256000,0.280000,0.192000,0.136000,0.136000,1.684211,1.590909,1.846154,1.307692,1.307692
sub-05a3dcd8,0.208000,0.240000,0.256000,0.192000,0.104000,1.368421,1.578947,1.882353,1.263158,1.444444
sub-05e2a0c1,0.192000,0.184000,0.264000,0.232000,0.128000,1.411765,1.437500,1.736842,1.705882,1.454545
sub-06049101,0.208000,0.232000,0.240000,0.288000,0.032000,1.625000,1.611111,1.363636,1.565217,1.000000
sub-06247dd4,0.312000,0.280000,0.176000,0.208000,0.024000,2.052632,1.944444,1.375000,1.625000,1.000000
sub-062c0d92,0.216000,0.272000,0.208000,0.224000,0.080000,1.500000,1.545455,1.733333,1.473684,1.666667
sub-067ed1e5,0.280000,0.232000,0.200000,0.144000,0.144000,1.842105,1.705882,1.562500,1.384615,1.636364
sub-0681fe30,0.240000,0.264000,0.192000,0.208000,0.096000,1.764706,1.650000,1.500000,1.857143,1.714286
sub-0690e761,0.176000,0.240000,0.216000,0.160000,0.208000,1.466667,1.764706,1.500000,1.428571,1.625000
sub-069d0b5c,0.152000,0.152000,0.272000,0.248000,0.176000,1.266667,1.266667,2.000000,2.066667,1.466667
sub-06ef0422,0.240000,0.248000,0.256000,0.216000,0.040000,1.666667,1.823529,1.523810,1.588235,1.000000
sub-06fd436c,0.176000,0.144000,0.200000,0.264000,0.216000,1.375000,1.285714,1.666667,1.941176,1.800000
sub-06ff4616,0.224000,0.216000,0.240000,0.264000,0.056000,1.473684,1.588235,1.578947,1.434783,1.166667
sub-0702da0a,0.208000,0.216000,0.208000,0.184000,0.184000,1.444444,1.285714,1.625000,1.642857,1.352941
sub-07132b4d,0.248000,0.216000,0.248000,0.232000,0.056000,1.823529,1.421053,1.476190,1.705882,1.166667
sub-07286fe3,0.320000,0.320000,0.176000,0.104000,0.080000,1.818182,1.904762,1.692308,1.300000,1.428571
sub-07639182,0.280000,0.312000,0.128000,0.184000,0.096000,1.590909,1.772727,1.333333,1.437500,1.500000
sub-07808766,0.240000,0.272000,0.256000,0.136000,0.096000,1.764706,1.478261,1.333333,1.133333,1.090909
sub-078c1f13,0.144000,0.160000,0.200000,0.152000,0.344000,1.500000,1.538462,1.388889,1.357143,2.263158
sub-07bb0c3d,0.296000,0.288000,0.144000,0.088000,0.184000,1.947368,1.714286,1.285714,1.222222,1.277778
sub-07bfc1d0,0.440000,0.440000,0.040000,0.072000,0.008000,2.619048,2.750000,1.250000,1.500000,1.000000
sub-07f81fd1,0.176000,0.272000,0.184000,0.192000,0.176000,1.466667,1.888889,1.642857,1.500000,1.466667
sub-08211a03,0.272000,0.248000,0.208000,0.232000,0.040000,1.545455,1.550000,1.444444,1.812500,1.000000
sub-082bf2e9,0.176000,0.152000,0.256000,0.296000,0.120000,1.222222,1.357143,1.454545,1.608696,1.500000
sub-0841801f,0.152000,0.128000,0.344000,0.272000,0.104000,1.357143,1.454545,2.263158,2.000000,1.300000
sub-0843ac34,0.176000,0.112000,0.208000,0.240000,0.264000,1.466667,1.272727,1.529412,1.666667,1.833333
sub-0861ebb9,0.224000,0.232000,0.208000,0.200000,0.136000,1.473684,2.071429,1.625000,1.785714,1.700000
sub-086ce387,0.064000,0.136000,0.328000,0.280000,0.192000,1.000000,1.416667,1.952381,1.458333,1.714286
sub-08c17ce3,0.160000,0.200000,0.248000,0.200000,0.192000,1.538462,1.562500,1.823529,1.470588,1.411765
sub-08cdf957,0.168000,0.240000,0.224000,0.320000,0.048000,1.500000,1.500000,1.750000,1.818182,1.000000
sub-08e73149,0.192000,0.232000,0.176000,0.224000,0.176000,1.333333,1.380952,1.375000,1.750000,1.466667
sub-08e7cf1f,0.256000,0.264000,0.192000,0.200000,0.088000,1.777778,2.200000,1.263158,1.315789,1.000000
sub-08f20006,0.280000,0.288000,0.184000,0.136000,0.112000,1.521739,1.636364,1.642857,1.700000,1.400000
sub-0905ef5f,0.208000,0.160000,0.248000,0.240000,0.144000,1.529412,1.428571,1.823529,1.666667,1.500000
sub-0905f56e,0.240000,0.256000,0.232000,0.176000,0.096000,1.500000,1.230769,1.611111,1.466667,1.500000
sub-091dc9fd,0.312000,0.240000,0.208000,0.136000,0.104000,1.950000,2.307692,1.300000,1.545455,1.300000
sub-094333f4,0.144000,0.136000,0.240000,0.200000,0.280000,1.125000,1.416667,1.578947,1.666667,1.944444
sub-0951b084,0.144000,0.128000,0.296000,0.344000,0.088000,1.200000,1.142857,1.947368,1.954545,1.100000
sub-0967cdf4,0.320000,0.352000,0.160000,0.096000,0.072000,2.500000,2.315789,1.666667,1.500000,1.125000
sub-09ab4ffe,0.208000,0.208000,0.216000,0.184000,0.184000,1.529412,1.529412,1.421053,1.769231,1.916667
sub-09b2bd27,0.232000,0.160000,0.272000,0.240000,0.096000,1.611111,1.333333,1.888889,1.578947,1.333333
sub-0a01b9d9,0.272000,0.216000,0.120000,0.104000,0.288000,2.833333,1.588235,1.363636,1.444444,2.250000
sub-0a04e1f3,0.224000,0.256000,0.096000,0.160000,0.264000,1.473684,2.000000,1.200000,1.538462,1.736842
sub-0a0df5f6,0.288000,0.280000,0.192000,0.216000,0.024000,2.000000,2.058824,1.500000,1.500000,1.000000
sub-0a588feb,0.280000,0.224000,0.248000,0.240000,0.008000,1.666667,2.000000,1.631579,1.875000,1.000000
sub-0a6b75dd,0.192000,0.224000,0.224000,0.256000,0.104000,1.333333,1.555556,1.647059,1.777778,1.444444
sub-0a6d3b93,0.144000,0.160000,0.288000,0.272000,0.136000,1.500000,1.428571,2.000000,1.888889,1.307692
sub-0a9fe617,0.224000,0.240000,0.208000,0.208000,0.120000,1.750000,2.142857,1.857143,1.444444,1.500000
sub-0aab6c55,0.240000,0.240000,0.216000,0.208000,0.096000,1.666667,1.764706,1.350000,1.444444,1.333333
sub-0afca00b,0.352000,0.376000,0.048000,0.064000,0.160000,2.095238,2.473684,1.500000,1.142857,1.428571
sub-0b30ae22,0.264000,0.192000,0.200000,0.184000,0.160000,1.375000,1.263158,1.562500,1.437500,1.250000
sub-0b54ebaf,0.136000,0.152000,0.240000,0.224000,0.248000,1.700000,1.357143,2.000000,1.473684,1.823529
sub-0bdfa1cf,0.256000,0.264000,0.184000,0.192000,0.104000,2.133333,1.833333,1.642857,1.500000,1.000000
sub-0bebdc5e,0.168000,0.192000,0.280000,0.280000,0.080000,1.500000,1.500000,2.058824,2.333333,1.250000
sub-0c04b9df,0.280000,0.240000,0.160000,0.152000,0.168000,1.590909,1.428571,1.333333,1.117647,1.615385
sub-0c1f06e4,0.256000,0.296000,0.176000,0.200000,0.072000,1.882353,1.541667,1.692308,1.562500,1.800000
sub-0c7bad92,0.304000,0.264000,0.136000,0.144000,0.152000,2.000000,1.736842,1.062500,1.125000,1.357143
sub-0c8924f1,0.304000,0.280000,0.200000,0.184000,0.032000,1.727273,1.842105,1.923077,1.642857,1.000000
sub-0ca847bb,0.216000,0.272000,0.160000,0.168000,0.184000,1.500000,1.789474,1.111111,2.100000,1.642857
sub-0cb28382,0.152000,0.128000,0.288000,0.280000,0.152000,1.583333,1.333333,1.894737,2.692308,1.583333
sub-0d16baa9,0.248000,0.296000,0.184000,0.216000,0.056000,2.066667,1.850000,1.352941,1.421053,1.166667
sub-0d76c045,0.296000,0.288000,0.160000,0.152000,0.104000,1.761905,1.714286,1.538462,1.266667,1.181818
sub-0d8c474d,0.232000,0.168000,0.280000,0.296000,0.024000,1.611111,1.500000,1.666667,1.850000,1.000000
sub-0dab4f8e,0.112000,0.112000,0.336000,0.400000,0.040000,1.400000,1.272727,2.333333,2.500000,1.000000
sub-0dc3f19e,0.232000,0.248000,0.192000,0.176000,0.152000,1.526316,1.937500,1.714286,1.571429,1.187500
sub-0e220281,0.208000,0.224000,0.256000,0.176000,0.136000,1.733333,1.555556,1.454545,1.466667,1.307692
sub-0e37dd14,0.304000,0.192000,0.216000,0.168000,0.120000,1.727273,1.846154,1.588235,1.615385,1.153846
sub-0e38a13d,0.432000,0.384000,0.056000,0.104000,0.024000,2.700000,2.181818,1.166667,1.181818,1.000000
sub-0e791afe,0.104000,0.104000,0.360000,0.376000,0.056000,1.300000,1.300000,1.730769,2.350000,1.000000
sub-0e8e98ef,0.208000,0.232000,0.184000,0.208000,0.168000,1.529412,1.611111,1.352941,1.529412,1.909091
sub-0ece6939,0.224000,0.168000,0.248000,0.272000,0.088000,1.647059,1.500000,1.722222,1.789474,1.100000
sub-0eeacdcc,0.184000,0.160000,0.304000,0.264000,0.088000,1.533333,1.818182,2.000000,1.650000,1.100000
sub-0eef4b12,0.200000,0.224000,0.168000,0.152000,0.256000,1.388889,1.555556,1.400000,1.266667,1.777778
sub-0f07420c,0.120000,0.168000,0.304000,0.288000,0.120000,1.363636,1.615385,1.583333,2.000000,1.071429
sub-0fc2d13a,0.256000,0.280000,0.208000,0.136000,0.120000,1.523810,1.666667,1.625000,1.307692,1.250000
