ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-002144a4,0.186047,0.255814,0.186047,0.302326,0.069767,2.666667,2.750000,2.000000,3.250000,3.000000
sub-01f9b016,0.243902,0.243902,0.207317,0.085366,0.219512,2.222222,2.222222,2.125000,1.750000,2.571429
sub-027054b4,0.168831,0.246753,0.207792,0.259740,0.116883,2.166667,1.900000,2.285714,2.222222,1.285714
sub-043cc212,0.150000,0.250000,0.316667,0.133333,0.150000,2.250000,2.500000,2.714286,2.666667,1.800000
sub-04d04ea4,0.312500,0.166667,0.125000,0.125000,0.270833,2.500000,2.000000,1.500000,1.500000,2.600000
sub-04ea294f,0.209677,0.209677,0.258065,0.145161,0.177419,2.166667,3.250000,2.285714,1.800000,2.750000
sub-05a3dcd8,0.195652,0.141304,0.195652,0.163043,0.304348,1.800000,1.625000,2.250000,2.500000,3.500000
sub-05e2a0c1,0.262295,0.213115,0.213115,0.245902,0.065574,2.285714,1.857143,1.857143,2.500000,1.333333
sub-06049101,0.241379,0.181034,0.275862,0.120690,0.181034,2.545455,1.909091,2.666667,2.333333,2.333333
sub-06247dd4,0.414634,0.024390,0.121951,0.317073,0.121951,2.125000,1.000000,1.250000,2.166667,1.666667
sub-067ed1e5,0.255319,0.106383,0.106383,0.255319,0.276596,2.000000,1.666667,1.250000,2.000000,2.166667
sub-0690e761,0.299065,0.168224,0.149533,0.112150,0.271028,2.461538,1.800000,1.600000,1.714286,2.071429
sub-0702da0a,0.198198,0.162162,0.180180,0.225225,0.234234,1.833333,2.000000,2.000000,2.777778,2.000000
sub-07639182,0.048780,0.439024,0.390244,0.024390,0.097561,1.000000,3.000000,2.666667,1.000000,2.000000
sub-07bb0c3d,0.282051,0.205128,0.141026,0.141026,0.230769,2.000000,2.000000,1.375000,2.200000,2.250000
sub-07f81fd1,0.240741,0.203704,0.157407,0.250000,0.148148,3.714286,2.444444,1.888889,2.700000,1.777778
sub-082bf2e9,0.189873,0.253165,0.202532,0.215190,0.139241,1.875000,2.000000,2.000000,2.125000,1.571429
sub-0843ac34,0.173913,0.275362,0.275362,0.202899,0.072464,2.400000,2.375000,2.111111,2.000000,1.250000
sub-0861ebb9,0.290598,0.179487,0.094017,0.213675,0.222222,3.090909,2.100000,1.375000,3.125000,2.166667
sub-0905f56e,0.256637,0.168142,0.123894,0.221239,0.230088,2.230769,2.714286,2.000000,2.272727,2.888889
sub-09ab4ffe,0.342466,0.095890,0.109589,0.260274,0.191781,3.571429,1.400000,1.600000,2.375000,2.333333
sub-09b2bd27,0.250000,0.250000,0.194444,0.069444,0.236111,1.800000,1.636364,1.750000,1.666667,2.125000
sub-0a01b9d9,0.174312,0.238532,0.183486,0.275229,0.128440,2.111111,2.600000,1.818182,3.333333,2.800000
sub-0a588feb,0.157895,0.228070,0.263158,0.192982,0.157895,2.250000,2.600000,2.142857,2.750000,1.800000
sub-0a6b75dd,0.255814,0.209302,0.116279,0.279070,0.139535,2.200000,2.250000,1.250000,2.400000,2.000000
sub-0a6d3b93,0.271845,0.174757,0.145631,0.281553,0.126214,3.111111,1.800000,2.142857,3.625000,2.166667
