ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-002144a4,0.418605,0.395349,0.069767,0.069767,0.046512,3.000000,2.833333,1.000000,1.000000,2.000000
sub-01f9b016,0.317073,0.353659,0.134146,0.146341,0.048780,2.000000,2.900000,1.571429,1.714286,1.000000
sub-027054b4,0.285714,0.246753,0.207792,0.207792,0.051948,2.200000,2.111111,2.285714,2.285714,1.000000
sub-043cc212,0.200000,0.200000,0.233333,0.250000,0.116667,2.400000,1.714286,2.000000,2.500000,1.750000
sub-04d04ea4,0.083333,0.166667,0.312500,0.291667,0.145833,2.000000,1.333333,2.142857,2.000000,1.750000
sub-04ea294f,0.241935,0.193548,0.209677,0.306452,0.048387,1.500000,1.714286,1.625000,2.111111,1.500000
sub-05a3dcd8,0.228261,0.282609,0.239130,0.206522,0.043478,1.750000,2.000000,2.750000,1.900000,1.000000
sub-05e2a0c1,0.196721,0.196721,0.229508,0.278689,0.098361,2.000000,1.714286,2.333333,2.428571,2.000000
sub-06049101,0.232759,0.215517,0.267241,0.267241,0.017241,2.076923,2.272727,2.583333,2.818182,1.000000
sub-06247dd4,0.219512,0.219512,0.219512,0.243902,0.097561,1.800000,1.800000,1.800000,1.666667,2.000000
sub-067ed1e5,0.446809,0.276596,0.106383,0.106383,0.063830,3.500000,2.166667,1.666667,1.250000,1.500000
sub-0690e761,0.242991,0.233645,0.205607,0.177570,0.140187,2.166667,2.083333,1.692308,1.900000,1.875000
sub-0702da0a,0.162162,0.270270,0.171171,0.234234,0.162162,2.250000,2.307692,1.900000,2.363636,1.800000
sub-07639182,0.463415,0.463415,0.024390,0.000000,0.048780,2.714286,2.714286,1.000000,NaN,1.000000
sub-07bb0c3d,0.320513,0.358974,0.089744,0.141026,0.089744,2.083333,3.111111,1.400000,1.571429,1.000000
sub-07f81fd1,0.222222,0.268519,0.185185,0.185185,0.138889,1.846154,2.416667,2.222222,1.818182,1.666667
sub-082bf2e9,0.227848,0.215190,0.278481,0.189873,0.088608,1.800000,2.125000,1.833333,1.666667,1.166667
sub-0843ac34,0.144928,0.231884,0.217391,0.130435,0.275362,1.428571,1.777778,1.666667,1.500000,1.900000
sub-0861ebb9,0.213675,0.205128,0.239316,0.196581,0.145299,1.785714,1.846154,2.000000,2.300000,2.428571
sub-0905f56e,0.300885,0.256637,0.168142,0.141593,0.132743,2.125000,2.416667,1.727273,1.600000,1.875000
sub-09ab4ffe,0.301370,0.273973,0.164384,0.136986,0.123288,2.444444,2.500000,2.000000,1.428571,1.800000
sub-09b2bd27,0.166667,0.208333,0.263889,0.291667,0.069444,1.500000,1.500000,2.111111,2.100000,1.000000
sub-0a01b9d9,0.357798,0.311927,0.064220,0.045872,0.220183,3.900000,2.615385,1.400000,1.000000,2.400000
sub-0a588feb,0.298246,0.298246,0.140351,0.228070,0.035088,2.125000,2.833333,1.600000,1.857143,1.000000
sub-0a6b75dd,0.093023,0.069767,0.325581,0.302326,0.209302,2.000000,1.000000,3.500000,1.857143,1.500000
sub-0a6d3b93,0.184466,0.203883,0.252427,0.252427,0.106796,1.900000,1.909091,2.000000,2.363636,1.222222
sub-0c8924f1,0.282609,0.347826,0.173913,0.152174,0.043478,3.250000,2.666667,2.666667,2.333333,1.000000
sub-0cb28382,0.116667,0.150000,0.300000,0.233333,0.200000,1.272727,1.636364,2.400000,1.866667,1.600000
sub-0d76c045,0.365854,0.365854,0.158537,0.097561,0.012195,2.500000,2.727273,1.444444,1.333333,1.000000
sub-0d8c474d,0.156250,0.177083,0.333333,0.302083,0.031250,1.500000,1.888889,2.285714,2.900000,1.000000
sub-0e38a13d,0.395833,0.375000,0.062500,0.104167,0.062500,2.533333,2.571429,1.200000,1.666667,1.000000
sub-0ece6939,0.168421,0.136842,0.294737,0.273684,0.126316,2.000000,1.857143,2.545455,2.363636,1.714286
sub-0eeacdcc,0.139535,0.139535,0.348837,0.372093,0.000000,2.000000,1.500000,2.500000,3.200000,NaN
sub-0fd33fbd,0.132075,0.150943,0.330189,0.292453,0.094340,1.400000,1.777778,2.500000,2.384615,1.428571
sub-100ae6a8,0.241935,0.258065,0.241935,0.137097,0.120968,3.000000,3.200000,3.750000,2.428571,1.500000
sub-102dbf16,0.302326,0.325581,0.116279,0.093023,0.162791,2.166667,2.800000,1.666667,2.000000,2.333333
sub-10cc8e1a,0.229358,0.238532,0.174312,0.183486,0.174312,2.500000,2.000000,1.727273,2.500000,2.375000
sub-10ef2d14,0.148515,0.118812,0.336634,0.336634,0.059406,1.875000,1.714286,2.615385,2.615385,1.500000
sub-111c7d70,0.264463,0.256198,0.165289,0.173554,0.140496,2.461538,2.066667,1.538462,1.312500,1.888889
sub-11ac5d6f,0.153846,0.173077,0.288462,0.250000,0.134615,1.600000,1.500000,3.000000,3.250000,1.400000
sub-11c2856c,0.074766,0.177570,0.345794,0.336449,0.065421,1.142857,1.583333,2.312500,3.000000,1.000000
sub-11d0f29c,0.228070,0.157895,0.210526,0.315789,0.087719,1.625000,1.285714,1.714286,2.000000,1.250000
sub-1312d0ff,0.147541,0.147541,0.311475,0.278689,0.114754,1.800000,2.000000,2.714286,3.090909,1.750000
sub-1320dd84,0.319444,0.291667,0.166667,0.097222,0.125000,2.875000,2.333333,1.333333,1.400000,1.285714
sub-1332af4c,0.266667,0.200000,0.233333,0.150000,0.150000,2.000000,1.500000,1.750000,2.250000,1.285714
sub-15a4b244,0.129870,0.142857,0.389610,0.285714,0.051948,1.428571,1.222222,2.307692,2.200000,1.000000
sub-163d7ed3,0.305085,0.220339,0.220339,0.169492,0.084746,2.000000,2.166667,1.857143,1.666667,1.250000
sub-16433f95,0.279570,0.290323,0.182796,0.204301,0.043011,2.600000,2.076923,1.545455,1.900000,1.333333
