ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-002144a4,0.348837,0.418605,0.093023,0.023256,0.116279,5.000000,4.500000,1.333333,1.000000,2.500000
sub-01f9b016,0.195122,0.243902,0.195122,0.243902,0.121951,3.200000,2.500000,2.666667,2.500000,3.333333
sub-027054b4,0.311688,0.272727,0.207792,0.051948,0.155844,3.000000,2.333333,2.285714,2.000000,1.714286
sub-043cc212,0.116667,0.233333,0.266667,0.150000,0.233333,1.400000,2.000000,2.285714,1.500000,2.000000
sub-04d04ea4,0.250000,0.229167,0.187500,0.208333,0.125000,2.000000,2.200000,2.250000,2.500000,2.000000
sub-04ea294f,0.274194,0.274194,0.096774,0.209677,0.145161,2.428571,2.125000,1.200000,2.600000,1.500000
sub-05a3dcd8,0.239130,0.195652,0.184783,0.217391,0.163043,3.142857,2.571429,2.428571,3.333333,2.142857
sub-05e2a0c1,0.295082,0.311475,0.163934,0.131148,0.098361,3.600000,3.166667,2.000000,1.333333,1.200000
sub-06049101,0.293103,0.293103,0.129310,0.086207,0.198276,2.833333,3.090909,1.875000,1.666667,1.916667
sub-06247dd4,0.170732,0.414634,0.121951,0.048780,0.243902,2.333333,2.833333,1.666667,2.000000,1.666667
sub-067ed1e5,0.234043,0.212766,0.212766,0.148936,0.191489,2.200000,2.000000,1.666667,2.333333,1.800000
sub-0690e761,0.140187,0.121495,0.252336,0.289720,0.196262,2.500000,1.625000,2.454545,2.583333,2.333333
sub-0702da0a,0.234234,0.216216,0.189189,0.207207,0.153153,2.363636,2.181818,1.909091,1.769231,1.416667
sub-07639182,0.365854,0.292683,0.048780,0.048780,0.243902,2.500000,2.400000,1.000000,1.000000,2.000000
sub-07bb0c3d,0.256410,0.256410,0.179487,0.179487,0.128205,2.222222,2.857143,1.750000,1.555556,1.666667
sub-07f81fd1,0.398148,0.296296,0.083333,0.101852,0.120370,4.777778,3.200000,1.500000,2.200000,1.857143
sub-082bf2e9,0.177215,0.215190,0.278481,0.164557,0.164557,2.333333,2.428571,2.750000,2.600000,1.857143
