ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-000480a3,0.420000,0.340000,0.100000,0.120000,0.020000,1.615385,1.545455,1.000000,1.000000,1.000000
sub-002144a4,0.194690,0.176991,0.292035,0.256637,0.079646,1.466667,1.428571,1.833333,1.705882,1.285714
sub-0062f44f,0.218182,0.254545,0.254545,0.254545,0.018182,1.200000,1.076923,1.272727,1.750000,1.000000
sub-007a1aa0,0.190476,0.261905,0.285714,0.214286,0.047619,1.142857,1.571429,1.200000,1.125000,1.000000
sub-00ae171b,0.301887,0.320755,0.141509,0.113208,0.122642,1.523810,1.700000,1.500000,1.500000,1.181818
sub-01134d21,0.268817,0.301075,0.150538,0.172043,0.107527,1.470588,1.866667,1.272727,1.333333,1.428571
sub-01218f8b,0.333333,0.398148,0.009259,0.000000,0.259259,2.400000,2.388889,1.000000,NaN,1.647059
sub-01511781,0.385321,0.467890,0.036697,0.055046,0.055046,2.333333,2.684211,1.000000,1.000000,1.200000
sub-0171efa5,0.182796,0.139785,0.290323,0.354839,0.032258,1.307692,1.300000,2.076923,2.062500,1.000000
sub-01cadbe4,0.321839,0.229885,0.137931,0.114943,0.195402,1.473684,1.250000,1.200000,1.111111,1.307692
sub-01f9b016,0.222222,0.111111,0.213675,0.102564,0.350427,1.529412,1.083333,1.562500,1.333333,1.952381
sub-027054b4,0.250000,0.266129,0.217742,0.250000,0.016129,1.937500,1.736842,1.421053,2.384615,1.000000
sub-02766b54,0.283333,0.300000,0.133333,0.175000,0.108333,1.789474,1.714286,1.142857,1.500000,1.300000
sub-03498ade,0.283019,0.216981,0.188679,0.160377,0.150943,1.578947,1.642857,1.250000,1.214286,1.333333
sub-03656bd1,0.225225,0.189189,0.306306,0.261261,0.018018,1.923077,1.909091,1.789474,2.230769,1.000000
sub-038704e3,0.323232,0.383838,0.111111,0.090909,0.090909,1.600000,2.111111,1.100000,1.500000,1.800000
sub-041ba06b,0.032967,0.054945,0.472527,0.439560,0.000000,1.000000,1.666667,2.388889,2.352941,NaN
