ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-000480a3,0.280000,0.300000,0.100000,0.120000,0.200000,1.166667,1.875000,1.000000,1.200000,1.428571
sub-002144a4,0.300885,0.292035,0.115044,0.194690,0.097345,2.125000,2.200000,1.444444,2.000000,1.571429
sub-0062f44f,0.254545,0.181818,0.236364,0.236364,0.090909,1.400000,1.250000,1.083333,1.181818,1.250000
sub-007a1aa0,0.261905,0.238095,0.095238,0.190476,0.214286,1.222222,1.111111,1.000000,1.000000,1.125000
sub-00ae171b,0.292453,0.301887,0.122642,0.150943,0.132075,1.823529,1.684211,1.444444,1.333333,1.400000
sub-01134d21,0.139785,0.139785,0.268817,0.333333,0.118280,1.300000,1.181818,1.666667,1.823529,1.375000
sub-01218f8b,0.120370,0.129630,0.222222,0.277778,0.250000,1.300000,1.555556,1.411765,1.764706,1.800000
sub-01511781,0.238532,0.238532,0.192661,0.201835,0.128440,2.363636,2.166667,1.750000,1.571429,1.076923
sub-0171efa5,0.204301,0.247312,0.182796,0.172043,0.193548,1.461538,1.437500,1.700000,1.454545,1.800000
sub-01cadbe4,0.252874,0.183908,0.114943,0.241379,0.206897,1.466667,1.142857,1.111111,1.500000,1.285714
sub-01f9b016,0.145299,0.196581,0.264957,0.273504,0.119658,1.545455,2.090909,2.583333,2.133333,1.272727
sub-027054b4,0.153226,0.137097,0.193548,0.233871,0.282258,1.357143,1.307692,1.846154,1.812500,2.500000
sub-02766b54,0.325000,0.266667,0.191667,0.083333,0.133333,2.437500,2.133333,1.769231,1.428571,1.600000
sub-03498ade,0.349057,0.358491,0.122642,0.075472,0.094340,2.466667,2.375000,1.857143,1.333333,1.000000
sub-03656bd1,0.198198,0.162162,0.261261,0.162162,0.216216,1.692308,1.800000,1.933333,1.384615,1.600000
sub-038704e3,0.212121,0.232323,0.262626,0.181818,0.111111,1.750000,1.642857,1.625000,1.500000,1.571429
sub-041ba06b,0.230769,0.109890,0.230769,0.197802,0.230769,1.615385,1.111111,1.500000,1.125000,1.500000
sub-04286c2c,0.128205,0.115385,0.243590,0.192308,0.320513,1.428571,1.125000,1.461538,1.500000,1.562500
sub-043cc212,0.166667,0.157895,0.219298,0.192982,0.263158,1.727273,1.800000,1.785714,1.571429,1.500000
sub-044c7174,0.252525,0.222222,0.252525,0.202020,0.070707,1.470588,1.833333,2.083333,1.818182,1.166667
sub-04bd6324,0.084507,0.042254,0.323944,0.211268,0.338028,1.000000,1.000000,1.916667,1.875000,1.846154
sub-04d04ea4,0.262712,0.262712,0.135593,0.152542,0.186441,2.066667,2.818182,2.285714,1.636364,1.833333
sub-04d27e60,0.262712,0.211864,0.169492,0.186441,0.169492,1.631579,2.083333,1.538462,1.833333,1.176471
sub-04ea294f,0.173913,0.226087,0.243478,0.173913,0.182609,1.428571,1.625000,1.647059,1.538462,1.615385
sub-04f4d53b,0.233333,0.266667,0.100000,0.200000,0.200000,1.555556,1.230769,1.000000,1.000000,1.200000
sub-051d443a,0.209524,0.161905,0.238095,0.161905,0.228571,2.000000,1.888889,1.923077,1.700000,1.411765
sub-053f994f,0.232143,0.258929,0.196429,0.169643,0.142857,2.166667,2.071429,1.833333,1.266667,1.600000
sub-05462a0a,0.183673,0.244898,0.244898,0.183673,0.142857,1.125000,1.200000,1.090909,1.000000,1.000000
sub-05a3dcd8,0.190083,0.140496,0.256198,0.223140,0.190083,1.533333,1.888889,2.066667,1.928571,1.437500
sub-05e2a0c1,0.138211,0.130081,0.260163,0.260163,0.211382,1.700000,1.600000,2.000000,2.461538,2.166667
sub-06049101,0.288000,0.296000,0.160000,0.096000,0.160000,2.769231,2.176471,1.428571,1.333333,1.538462
sub-06247dd4,0.295652,0.278261,0.191304,0.078261,0.156522,2.000000,2.666667,1.692308,1.285714,1.636364
sub-062c0d92,0.305085,0.322034,0.186441,0.050847,0.135593,1.384615,1.900000,1.375000,1.000000,1.000000
sub-067ed1e5,0.213115,0.180328,0.270492,0.163934,0.172131,1.857143,1.692308,2.062500,1.428571,1.500000
sub-0681fe30,0.094017,0.094017,0.316239,0.324786,0.170940,1.375000,1.375000,1.947368,2.000000,1.538462
sub-0690e761,0.163934,0.213115,0.213115,0.229508,0.180328,1.818182,1.857143,2.000000,1.647059,1.571429
sub-069d0b5c,0.105691,0.130081,0.390244,0.292683,0.081301,1.625000,1.454545,3.200000,2.250000,1.428571
sub-06ef0422,0.113636,0.090909,0.204545,0.340909,0.250000,1.000000,1.000000,1.500000,1.250000,1.222222
sub-06fd436c,0.255814,0.232558,0.209302,0.162791,0.139535,1.100000,1.000000,1.285714,1.166667,1.000000
sub-0702da0a,0.176000,0.240000,0.200000,0.184000,0.200000,1.571429,2.000000,1.388889,1.533333,1.785714
sub-07132b4d,0.311828,0.290323,0.096774,0.096774,0.204301,1.933333,1.800000,1.500000,1.125000,1.583333
sub-07286fe3,0.188525,0.180328,0.229508,0.155738,0.245902,1.210526,1.833333,1.473684,1.461538,1.875000
sub-07639182,0.285714,0.260504,0.134454,0.201681,0.117647,2.125000,1.722222,1.454545,1.846154,1.400000
sub-078c1f13,0.341463,0.256098,0.060976,0.195122,0.146341,2.000000,1.909091,1.000000,1.454545,1.200000
sub-07bb0c3d,0.272727,0.264463,0.157025,0.157025,0.148760,2.062500,2.000000,2.111111,2.111111,1.384615
sub-07bfc1d0,0.179487,0.166667,0.256410,0.256410,0.141026,1.166667,1.181818,1.538462,1.818182,1.222222
sub-07f81fd1,0.338710,0.282258,0.112903,0.120968,0.145161,2.210526,2.058824,1.750000,1.363636,1.500000
sub-08211a03,0.073171,0.048780,0.390244,0.219512,0.268293,1.000000,1.000000,1.066667,1.125000,1.222222
sub-082bf2e9,0.163636,0.200000,0.090909,0.254545,0.290909,1.800000,2.200000,1.111111,2.153846,1.684211
sub-0841801f,0.354167,0.281250,0.145833,0.135417,0.083333,2.266667,2.250000,1.166667,1.300000,1.600000
sub-0843ac34,0.111111,0.194444,0.268519,0.175926,0.250000,1.200000,1.750000,2.071429,1.583333,1.588235
sub-0861ebb9,0.241935,0.258065,0.145161,0.161290,0.193548,1.666667,2.000000,1.384615,1.428571,2.400000
sub-086ce387,0.345794,0.252336,0.130841,0.149533,0.121495,1.947368,1.928571,2.000000,1.454545,1.444444
sub-08c17ce3,0.243902,0.170732,0.292683,0.121951,0.170732,1.000000,1.000000,1.000000,1.000000,1.166667
sub-08cdf957,0.340909,0.318182,0.068182,0.181818,0.090909,1.500000,1.166667,1.000000,1.142857,1.000000
sub-08e73149,0.195652,0.206522,0.271739,0.206522,0.119565,1.636364,1.727273,1.923077,1.583333,1.222222
sub-08f20006,0.198113,0.169811,0.160377,0.245283,0.226415,1.750000,1.636364,1.700000,1.625000,2.000000
sub-0905ef5f,0.200000,0.136364,0.218182,0.209091,0.236364,2.200000,1.500000,2.000000,1.916667,2.166667
sub-0905f56e,0.266667,0.166667,0.166667,0.216667,0.183333,1.882353,1.250000,1.538462,1.625000,1.692308
sub-091dc9fd,0.250000,0.189655,0.155172,0.241379,0.163793,2.071429,1.571429,2.000000,1.647059,1.117647
sub-094333f4,0.110169,0.059322,0.372881,0.389831,0.067797,1.300000,1.166667,2.315789,2.300000,1.333333
sub-0951b084,0.240385,0.201923,0.192308,0.163462,0.201923,1.562500,1.500000,1.666667,1.545455,1.615385
sub-0967cdf4,0.209302,0.279070,0.116279,0.093023,0.302326,1.000000,1.000000,1.250000,1.000000,1.300000
sub-09ab4ffe,0.209091,0.236364,0.190909,0.227273,0.136364,1.916667,1.625000,1.750000,1.388889,1.363636
sub-09b2bd27,0.147541,0.163934,0.262295,0.303279,0.122951,1.636364,1.538462,2.133333,2.312500,1.363636
sub-0a01b9d9,0.217742,0.185484,0.161290,0.217742,0.217742,1.588235,1.533333,1.666667,1.687500,1.500000
sub-0a04e1f3,0.281250,0.354167,0.093750,0.156250,0.114583,1.800000,1.700000,1.285714,1.071429,1.000000
sub-0a0df5f6,0.238938,0.247788,0.230088,0.123894,0.159292,2.076923,1.866667,1.368421,1.400000,1.384615
sub-0a588feb,0.213675,0.196581,0.213675,0.188034,0.188034,2.272727,1.916667,1.785714,1.692308,1.692308
sub-0a6b75dd,0.178218,0.178218,0.188119,0.287129,0.168317,1.636364,1.285714,1.357143,1.705882,1.416667
sub-0a6d3b93,0.159664,0.277311,0.193277,0.159664,0.210084,1.900000,2.200000,1.916667,2.111111,1.785714
sub-0a9fe617,0.133333,0.142857,0.266667,0.285714,0.171429,1.400000,1.363636,2.333333,2.000000,1.384615
sub-0aab6c55,0.219512,0.284553,0.130081,0.162602,0.203252,1.928571,2.187500,1.333333,1.538462,1.923077
sub-0b30ae22,0.382979,0.297872,0.148936,0.106383,0.063830,1.636364,1.166667,1.166667,1.000000,1.000000
sub-0b54ebaf,0.212963,0.194444,0.250000,0.222222,0.120370,1.769231,1.615385,2.250000,1.846154,1.300000
sub-0bdfa1cf,0.193878,0.224490,0.142857,0.204082,0.234694,1.357143,1.466667,1.555556,1.666667,1.916667
sub-0c04b9df,0.142857,0.175824,0.142857,0.252747,0.285714,1.181818,1.454545,1.300000,1.437500,1.300000
sub-0c7bad92,0.254717,0.245283,0.150943,0.179245,0.169811,2.076923,1.529412,1.600000,1.583333,1.285714
sub-0c8924f1,0.274510,0.294118,0.107843,0.196078,0.127451,1.866667,2.727273,1.375000,1.666667,1.625000
sub-0cb28382,0.224000,0.248000,0.160000,0.208000,0.160000,1.555556,1.722222,1.176471,1.300000,1.428571
sub-0d76c045,0.233871,0.217742,0.161290,0.225806,0.161290,2.071429,1.588235,2.000000,1.400000,1.538462
