ID,fracocc_1,fracocc_2,fracocc_3,fracocc_4,fracocc_5,dwell_1,dwell_2,dwell_3,dwell_4,dwell_5
sub-000480a3,0.360000,0.280000,0.180000,0.020000,0.160000,1.800000,1.272727,1.000000,1.000000,1.333333
sub-002144a4,0.292035,0.292035,0.168142,0.115044,0.132743,1.941176,1.941176,1.727273,1.444444,1.666667
sub-0062f44f,0.218182,0.218182,0.236364,0.272727,0.054545,1.333333,1.200000,1.300000,1.153846,1.000000
sub-007a1aa0,0.238095,0.285714,0.190476,0.095238,0.190476,1.111111,1.200000,1.000000,1.000000,1.142857
sub-00ae171b,0.367925,0.320755,0.094340,0.141509,0.075472,2.166667,2.125000,1.428571,1.250000,1.000000
sub-01134d21,0.161290,0.096774,0.333333,0.172043,0.236559,1.875000,1.285714,2.384615,1.777778,1.571429
sub-01218f8b,0.268519,0.250000,0.175926,0.129630,0.175926,1.933333,1.800000,1.266667,1.166667,1.357143
sub-01511781,0.266055,0.311927,0.183486,0.119266,0.119266,2.416667,2.266667,1.333333,1.625000,1.444444
sub-0171efa5,0.279570,0.215054,0.150538,0.118280,0.236559,1.733333,1.666667,1.272727,1.375000,1.833333
sub-01cadbe4,0.252874,0.275862,0.195402,0.126437,0.149425,1.833333,1.714286,1.700000,1.222222,1.444444
sub-01f9b016,0.162393,0.128205,0.307692,0.256410,0.145299,1.900000,1.666667,2.400000,2.142857,1.888889
sub-027054b4,0.266129,0.241935,0.209677,0.088710,0.193548,1.941176,1.666667,1.733333,1.375000,1.714286
sub-02766b54,0.258333,0.291667,0.133333,0.166667,0.150000,2.583333,2.500000,1.454545,1.818182,1.500000
sub-03498ade,0.339623,0.311321,0.132075,0.122642,0.094340,2.250000,2.538462,1.555556,1.625000,1.250000
sub-03656bd1,0.234234,0.252252,0.162162,0.126126,0.225225,2.000000,1.647059,1.125000,1.400000,1.666667
sub-038704e3,0.212121,0.232323,0.181818,0.232323,0.141414,1.909091,1.437500,1.200000,1.437500,1.750000
sub-041ba06b,0.219780,0.197802,0.263736,0.186813,0.131868,1.250000,1.500000,1.333333,1.307692,1.333333
sub-04286c2c,0.153846,0.192308,0.192308,0.205128,0.256410,1.333333,1.363636,1.363636,1.142857,1.176471
sub-043cc212,0.228070,0.131579,0.254386,0.175439,0.210526,1.529412,1.363636,1.526316,1.428571,1.411765
